feature,Selection count,Pair count,CPSS Score
TPM__TMEM191A,100,50,1.0
TPM__SLFN11,100,50,1.0
TPM__HNRNPA1,99,49,0.99
TPM__CETN2,97,47,0.97
TPM__MRPS18AP1,95,45,0.95
METH__CELSR3,94,44,0.94
TPM__NRBP2,69,20,0.69
TPM__CUEDC1,68,19,0.68
TPM__CYTH4,67,17,0.67
METH__CDC14B,67,19,0.67
TPM__KITLG,66,17,0.66
TPM__SGMS2,65,15,0.65
TPM__BAIAP2,65,16,0.65
TPM__LAPTM4B,64,14,0.64
TPM__MET,64,15,0.64
TPM__MGAT4B,64,14,0.64
METH__MLL2,59,11,0.59
METH__TBC1D10C,59,10,0.59
TPM__CSK,58,12,0.58
TPM__RHPN2,58,10,0.58
TPM__KDELR3,58,10,0.58
TPM__NOL3,56,7,0.56
TPM__C11orf52,54,5,0.54
TPM__KIF21B,54,7,0.54
TPM__NBL1,53,7,0.53
METH__EVL,53,6,0.53
TPM__FMNL1,53,7,0.53
TPM__PKP3,51,4,0.51
TPM__ARHGAP19,51,2,0.51
TPM__AP1M2,49,5,0.49
TPM__SLC35D2,49,4,0.49
TPM__ATP1B1,48,5,0.48
TPM__EPB41L4B,48,7,0.48
METH__MTMR11,46,3,0.46
METH__PTGFRN,46,5,0.46
TPM__LGALS3,46,3,0.46
METH__BCL9L,45,4,0.45
METH__FAM84A,45,3,0.45
TPM__CARD10,45,3,0.45
METH__C7orf23,44,1,0.44
TPM__SOX13,44,6,0.44
TPM__ARHGAP29,43,4,0.43
TPM__SHTN1,42,2,0.42
METH__BOK,42,1,0.42
TPM__RND3,41,4,0.41
TPM__ADGRG1,41,1,0.41
TPM__PLS3,41,1,0.41
TPM__DDR1,39,1,0.39
TPM__IL17RC,39,0,0.39
TPM__TM4SF1,39,3,0.39
TPM__NECTIN2,39,1,0.39
TPM__PXK,38,2,0.38
TPM__PVR,38,0,0.38
METH__LOC148709,38,1,0.38
TPM__PPP1R16B,37,0,0.37
TPM__TSPOAP1-AS1,37,2,0.37
TPM__PDCD6IP-DT,37,3,0.37
METH__KRI1,37,2,0.37
TPM__CAMK2N1,36,4,0.36
TPM__TNKS1BP1,36,0,0.36
METH__LOC100130776,36,1,0.36
METH__TSPAN12,36,2,0.36
TPM__FUCA2,35,0,0.35
TPM__CARD8-AS1,35,0,0.35
METH__NUP43,35,1,0.35
METH__EIF3K,35,0,0.35
METH__FAIM3,35,1,0.35
METH__PERP,34,1,0.34
METH__RASAL2,34,1,0.34
TPM__SH3RF1,34,4,0.34
METH__C1orf55,34,1,0.34
TPM__STARD10,34,2,0.34
METH__TNK1,33,1,0.33
METH__FAM196B,33,0,0.33
METH__PSD4,33,1,0.33
TPM__NR2F2,33,0,0.33
TPM__PIP4K2C,33,1,0.33
TPM__HDAC11,32,2,0.32
TPM__EPB41L1,32,2,0.32
METH__HCST,32,0,0.32
TPM__PLCD3,31,2,0.31
TPM__EPCAM,31,0,0.31
METH__RAB27B,30,0,0.3
TPM__ASAP2,30,0,0.3
TPM__PON2,30,2,0.3
TPM__TUFT1,30,0,0.3
TPM__TSKU,29,1,0.29
TPM__RASAL2,29,0,0.29
TPM__RIN2,28,0,0.28
TPM__LAPTM4A,28,0,0.28
METH__RAVER1,28,0,0.28
TPM__SPR,28,0,0.28
TPM__MANBAL,28,0,0.28
METH__GALNT11,28,0,0.28
TPM__PLPP2,28,0,0.28
TPM__TACC2,28,1,0.28
TPM__NQO1,28,0,0.28
TPM__PERP,27,0,0.27
TPM__GPSM3,27,0,0.27
METH__PKP2,26,0,0.26
TPM__SEPTIN6,26,1,0.26
TPM__SH3BP4,26,1,0.26
TPM__CHMP3,25,1,0.25
METH__SH3BGRL2,25,0,0.25
TPM__DOCK1,25,0,0.25
TPM__IL12RB1,25,1,0.25
TPM__FLI1,25,1,0.25
TPM__AGAP2,25,0,0.25
METH__LAMB2,25,0,0.25
METH__PWWP2A,25,1,0.25
TPM__AGRN,24,0,0.24
