feature,Selection count,Pair count,CPSS Score
TPM__BCL2L1,100,50,1.0
TPM__POLR1H,96,46,0.96
TPM__CDT1,91,41,0.91
TPM__BCL11A,90,40,0.9
TPM__PLPP2,84,34,0.84
TPM__PXDC1,83,33,0.83
TPM__EVA1A,82,32,0.82
TPM__ARHGEF6,79,29,0.79
TPM__SEPTIN6,79,29,0.79
TPM__TMEM51,77,27,0.77
TPM__BTC,77,27,0.77
METH__PRKAG1,76,26,0.76
TPM__NPTN,75,25,0.75
TPM__LINC00973,75,25,0.75
TPM__DDN,71,22,0.71
TPM__SNX24,71,23,0.71
TPM__PDCD6IP-DT,70,20,0.7
TPM__TRNP1,69,19,0.69
TPM__RASAL2-AS1,68,18,0.68
METH__CEBPE,65,17,0.65
METH__PER3,65,15,0.65
TPM__KCNAB2,64,16,0.64
TPM__DOT1L,64,16,0.64
TPM__SH3BP4,63,14,0.63
TPM__ASPH,63,13,0.63
TPM__OSBPL10,62,13,0.62
TPM__NPAS2,62,12,0.62
TPM__ABLIM3,61,13,0.61
METH__CAP2,60,11,0.6
METH__RASSF1,59,12,0.59
TPM__WFS1,58,10,0.58
TPM__TGFBI,58,11,0.58
TPM__CORO1A-AS1,57,10,0.57
TPM__RRAS,57,11,0.57
METH__RASAL2,56,7,0.56
TPM__NECTIN2,56,8,0.56
TPM__MFNG,56,8,0.56
METH__C7orf23,56,9,0.56
METH__P4HA2,55,8,0.55
METH__GCET2,55,7,0.55
TPM__THAP10,54,8,0.54
TPM__EMP1,54,6,0.54
TPM__KRT8P3,53,5,0.53
METH__RUFY1,53,6,0.53
TPM__ANKRD1,52,5,0.52
TPM__EAF2,51,5,0.51
TPM__PLEC,50,4,0.5
TPM__RAI14,49,4,0.49
TPM__BCAR3,49,6,0.49
TPM__CRIM1-DT,47,4,0.47
TPM__CCND1,47,4,0.47
TPM__GULP1,46,7,0.46
TPM__ENC1,46,2,0.46
TPM__LGALS3,45,3,0.45
METH__NCRNA00111,45,3,0.45
TPM__GNG12,45,1,0.45
TPM__F2RL1,44,2,0.44
TPM__MEAK7,44,4,0.44
TPM__CHMP3,42,2,0.42
METH__C9orf150,41,1,0.41
TPM__PTTG1IP,41,2,0.41
METH__C1orf55,41,2,0.41
TPM__PSTPIP1,41,2,0.41
TPM__IL13RA1,41,0,0.41
TPM__CRIM1,40,2,0.4
METH__ZNF214,40,4,0.4
TPM__PTPN21,39,1,0.39
TPM__PERP,39,2,0.39
METH__DOK3,39,0,0.39
METH__MGAT1,39,1,0.39
TPM__TRG-AS1,39,1,0.39
TPM__ITGAV,38,2,0.38
TPM__CUEDC1,37,0,0.37
TPM__CD59,37,1,0.37
METH__KCNK1,37,0,0.37
METH__TBC1D10C,37,2,0.37
TPM__IL17RC,37,3,0.37
TPM__SHB,36,2,0.36
METH__SSH3,36,0,0.36
METH__TERF1,35,2,0.35
TPM__KRT80,35,1,0.35
METH__NLRP14,35,0,0.35
TPM__ATP1B1,35,0,0.35
METH__MARVELD3,35,2,0.35
TPM__P4HA2,35,0,0.35
METH__PFKFB2,35,0,0.35
TPM__ARHGAP29,35,0,0.35
TPM__CCDC9B,34,0,0.34
METH__TLCD2,34,0,0.34
TPM__DSTN,34,0,0.34
TPM__RGL3,34,3,0.34
METH__KRT18,33,0,0.33
TPM__CD37,33,0,0.33
TPM__DCBLD2,33,0,0.33
TPM__ELMO1,33,0,0.33
TPM__NQO1,32,1,0.32
TPM__LAMB1,32,0,0.32
TPM__PHLDB2,31,2,0.31
TPM__LTBR,31,1,0.31
METH__SCARF1,31,3,0.31
TPM__EPS8,31,2,0.31
TPM__TAX1BP3,31,0,0.31
METH__PROCA1,31,0,0.31
TPM__RAPH1,31,0,0.31
TPM__KIFC3,30,0,0.3
TPM__RNASEH2B,30,3,0.3
METH__SLC44A3,29,0,0.29
TPM__KIF21B,29,0,0.29
METH__TMEM160,29,0,0.29
METH__DDAH1,28,0,0.28
TPM__GFI1,28,0,0.28
TPM__FAT1,28,2,0.28
METH__EPHA2,27,0,0.27
METH__PATL1,27,2,0.27
TPM__THSD4,27,1,0.27
METH__LYPD6,26,3,0.26
METH__DOK2,26,0,0.26
TPM__CAST,26,1,0.26
TPM__SHISA4,26,0,0.26
TPM__WASL,25,0,0.25
TPM__MANBAL,25,0,0.25
TPM__ATP2A3,25,0,0.25
METH__MAP4K1,25,1,0.25
TPM__SEC14L2,25,0,0.25
TPM__KBTBD8,25,7,0.25
TPM__CD276,25,0,0.25
TPM__MET,24,0,0.24
TPM__TWF1,24,2,0.24
METH__AGAP2,24,0,0.24
TPM__PHLDB1,23,0,0.23
TPM__AMIGO2,23,2,0.23
TPM__MYO1E,23,1,0.23
TPM__LGALS3BP,23,8,0.23
TPM__NHSL3,23,0,0.23
TPM__MORC4,23,1,0.23
TPM__UACA,23,3,0.23
TPM__BAIAP2,23,0,0.23
TPM__NRP1,23,3,0.23
TPM__PXN,22,1,0.22
TPM__CLCF1,22,1,0.22
METH__CD1C,22,1,0.22
METH__RHEB,22,8,0.22
TPM__TM4SF1,22,1,0.22
TPM__NTN4,22,1,0.22
METH__MET,22,4,0.22
TPM__TNFAIP1,22,1,0.22
TPM__STAC3,22,2,0.22
TPM__RBPMS,21,1,0.21
TPM__PHLDA1,21,0,0.21
TPM__MID1,21,2,0.21
TPM__CST3,21,0,0.21
METH__DSTN,21,0,0.21
TPM__LYL1,21,0,0.21
TPM__ANXA1,21,0,0.21
TPM__HVCN1,21,2,0.21
METH__JUB,21,1,0.21
METH__CD22,21,1,0.21
METH__TSPAN12,21,3,0.21
TPM__TBC1D10C,20,0,0.2
TPM__SSH3,20,0,0.2
TPM__CD63,20,0,0.2
TPM__ITPRIPL1,20,5,0.2
METH__LGMN,20,2,0.2
TPM__TGFA,20,1,0.2
METH__CASZ1,20,0,0.2
METH__RHOBTB1,19,0,0.19
TPM__FHL2,19,1,0.19
TPM__SEMA3C,19,0,0.19
METH__LAMB1,19,2,0.19
TPM__SLC35D2,19,0,0.19
TPM__SH2D4A,19,4,0.19
METH__PTPN14,19,0,0.19
TPM__PTGR1,19,0,0.19
TPM__CD52,19,7,0.19
TPM__ARHGAP4,19,1,0.19
TPM__RAB13,18,5,0.18
TPM__RFXAP,18,3,0.18
TPM__CAVIN1,18,0,0.18
TPM__MLPH,18,0,0.18
METH__CRIM1,18,0,0.18
METH__EIF3K,18,0,0.18
TPM__MGAT4B,17,1,0.17
TPM__PPP2R3A,17,0,0.17
METH__TNK1,17,4,0.17
METH__C13orf29,17,0,0.17
TPM__BMS1P23,17,0,0.17
TPM__IGFBP3,17,4,0.17
METH__AMOTL2,16,1,0.16
TPM__EXT1,16,2,0.16
TPM__KIF13A,16,4,0.16
TPM__CTTN,16,0,0.16
METH__GHRLOS,16,0,0.16
TPM__MIR22HG,16,1,0.16
TPM__CHPF,16,3,0.16
TPM__ARHGEF28,16,1,0.16
METH__GSPT1,16,2,0.16
TPM__CBFA2T3,16,3,0.16
METH__HRCT1,16,6,0.16
TPM__LAMC1,16,1,0.16
TPM__IGFBP6,16,1,0.16
