feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue,threshold_type,threshold_value,above_threshold
TPM__EPHA2-AS1,100,50,1.0,0.12999999523162842,0.47,0.23,True,1.0,unimodal,0.71,True
TPM__IKZF1,100,50,1.0,0.25,-0.36,0.26,True,1.0,unimodal,0.71,True
TPM__PHLDA2,100,50,1.0,0.1899999976158142,0.43,0.22,True,1.0,unimodal,0.71,True
TPM__PLPP2,100,50,1.0,0.23999999463558197,0.44,0.23,True,1.0,unimodal,0.71,True
METH__MIR574,100,50,1.0,0.1599999964237213,-0.42,0.26,True,1.0,unimodal,0.71,True
TPM__NIBAN2,100,50,1.0,0.25,0.52,0.24,True,1.0,unimodal,0.71,True
TPM__TNFRSF12A,100,50,1.0,0.2800000011920929,0.55,0.26,True,1.0,unimodal,0.71,True
TPM__NCKAP1,100,50,1.0,0.23000000417232513,0.36,0.24,True,1.0,unimodal,0.71,True
TPM__PLS3,100,50,1.0,0.20999999344348907,0.43,0.22,True,1.0,unimodal,0.71,True
TPM__ARHGAP9,100,50,1.0,0.25,-0.4,0.25,True,1.0,unimodal,0.71,True
TPM__KRT18,100,50,1.0,0.25,0.49,0.25,True,1.0,unimodal,0.71,True
TPM__ELMO1,100,50,1.0,0.23000000417232513,-0.42,0.23,True,1.0,unimodal,0.71,True
TPM__CCN1,100,50,1.0,0.2199999988079071,0.5,0.23,True,1.0,unimodal,0.71,True
TPM__LINC02535,100,50,1.0,0.07999999821186066,0.47,0.24,True,1.0,unimodal,0.71,True
METH__THBS1,100,50,1.0,0.2199999988079071,-0.47,0.25,True,1.0,unimodal,0.71,True
TPM__SH3TC2-DT,100,50,1.0,0.07000000029802322,0.46,0.25,True,1.0,unimodal,0.71,True
TPM__LINC01186,100,50,1.0,0.12999999523162842,0.46,0.25,True,1.0,unimodal,0.71,True
TPM__WAS,100,50,1.0,0.27000001072883606,-0.43,0.23,True,1.0,unimodal,0.71,True
TPM__TRAF3IP3,100,50,1.0,0.2199999988079071,-0.45,0.23,True,1.0,unimodal,0.71,True
TPM__PADI1,100,50,1.0,0.12999999523162842,0.48,0.25,True,1.0,unimodal,0.71,True
TPM__ITGA3,100,50,1.0,0.28999999165534973,0.56,0.25,True,1.0,unimodal,0.71,True
