feature,Selection count,Pair count,CPSS Score
TPM__ATXN7L2,96,46,0.96
TPM__PDCD6IP-DT,89,39,0.89
TPM__WNT9A,88,38,0.88
TPM__PMEPA1,85,35,0.85
METH__MFSD5,83,33,0.83
METH__RGS12,79,29,0.79
METH__PSTK,79,29,0.79
TPM__RPL18,79,29,0.79
METH__ITPRIPL1,74,24,0.74
METH__GSPT1,74,24,0.74
METH__UBE4B,74,24,0.74
TPM__IRAK1BP1,71,21,0.71
TPM__KRT7-AS,70,20,0.7
TPM__HDAC11,69,19,0.69
TPM__BEND4,68,18,0.68
TPM__ASPHD2,67,17,0.67
METH__VTRNA1-2,67,18,0.67
TPM__RPS3AP20,66,18,0.66
TPM__AP1M2,65,15,0.65
TPM__RHPN2,65,16,0.65
TPM__BLMH,64,16,0.64
TPM__RIPK4,63,13,0.63
TPM__NAP1L1,63,14,0.63
METH__MIR2276,63,14,0.63
TPM__RPS6KA4,59,11,0.59
METH__MARVELD2,58,11,0.58
TPM__SQSTM1,58,11,0.58
TPM__LCMT1-AS1,58,9,0.58
TPM__DDR1,57,10,0.57
TPM__RSL24D1,56,7,0.56
TPM__KRT80,55,8,0.55
METH__SEMA3C,55,5,0.55
TPM__CGN,55,6,0.55
TPM__RPL3,54,6,0.54
TPM__POLR3D,53,7,0.53
METH__TLR9,53,8,0.53
TPM__FAM177A1,51,5,0.51
TPM__PKP3,51,4,0.51
TPM__CTSD,50,1,0.5
METH__ACOX3,50,6,0.5
TPM__RHOD,48,6,0.48
METH__OGFR,48,4,0.48
TPM__FRG1,47,4,0.47
TPM__HNRNPA1,47,5,0.47
TPM__LRATD2,45,2,0.45
TPM__FTH1P20,45,2,0.45
TPM__ERBB2,45,2,0.45
TPM__APLP2,44,3,0.44
TPM__CUEDC1,43,2,0.43
TPM__ITGB5,41,2,0.41
TPM__PLPP2,41,3,0.41
TPM__CLCF1,41,5,0.41
TPM__CD38,41,2,0.41
METH__DENND1C,39,2,0.39
TPM__IKZF1,39,2,0.39
TPM__TCF4,39,2,0.39
TPM__NGEF,39,3,0.39
METH__IL12RB1,38,0,0.38
TPM__OCLN,38,4,0.38
TPM__CLDN3,38,1,0.38
METH__ERBB2,38,3,0.38
TPM__SPN,38,2,0.38
TPM__FTH1P2,37,1,0.37
TPM__ANXA2,37,0,0.37
TPM__ELF3,36,1,0.36
TPM__KIAA1586,36,3,0.36
TPM__GPAT3,36,3,0.36
TPM__NPTN,36,0,0.36
METH__CD46,36,0,0.36
TPM__NPC2,35,0,0.35
TPM__ARHGEF35,35,1,0.35
METH__RHOH,34,0,0.34
TPM__BCAP31,34,0,0.34
TPM__PSAP,33,1,0.33
METH__PTP4A1,33,1,0.33
METH__GTF2B,33,2,0.33
TPM__TJP3,33,0,0.33
TPM__SGMS2,33,0,0.33
TPM__FUCA2,32,0,0.32
TPM__MLPH,31,1,0.31
METH__ZNF517,31,0,0.31
TPM__RPS11,31,1,0.31
TPM__EPHA2,30,0,0.3
TPM__C11orf52,30,0,0.3
TPM__PPP1R16B,30,0,0.3
TPM__DUSP23,29,2,0.29
TPM__SDC1,29,2,0.29
TPM__CYB561,29,1,0.29
METH__CD22,29,0,0.29
TPM__EVPL,28,1,0.28
TPM__ITGA4,28,0,0.28
TPM__CXCL16,28,0,0.28
METH__MIR203,28,0,0.28
METH__C16orf54,28,1,0.28
TPM__TSPAN1,28,0,0.28
METH__FAIM3,28,1,0.28
METH__IFFO1,28,0,0.28
TPM__TSKU,28,0,0.28
TPM__SEC31B,28,1,0.28
TPM__CDC42EP2,27,1,0.27
TPM__RPL10A,27,0,0.27
TPM__KDM2B,27,0,0.27
TPM__USP38-DT,27,0,0.27
TPM__MICALL2,27,0,0.27
TPM__RPL34,26,1,0.26
TPM__RFX3,26,0,0.26
METH__BCL9L,26,0,0.26
