feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__BCL2L1,98,48,0.98,0.10000000149011612,0.29,0.06,True,1.0
TPM__POLR1H,93,43,0.93,0.07999999821186066,-0.26,0.06,True,0.053
METH__LOC100128788,75,25,0.75,0.05999999865889549,0.24,0.07,False,0.0
TPM__PLK2,74,24,0.74,0.05999999865889549,0.21,0.0,False,0.0
METH__TMEM93,73,23,0.73,0.05999999865889549,-0.19,0.15,False,0.0
TPM__FAM53B,71,21,0.71,0.05999999865889549,-0.23,0.02,False,0.0
TPM__EPB41,71,21,0.71,0.05999999865889549,-0.24,0.02,False,0.0
TPM__RASAL2-AS1,70,20,0.7,0.07000000029802322,0.26,0.07,False,0.0
TPM__SCEL,70,21,0.7,0.05999999865889549,0.18,0.12,False,0.0
TPM__CRIM1-DT,67,17,0.67,0.09000000357627869,0.28,0.09,False,0.0
METH__ITGA4,67,17,0.67,0.05999999865889549,0.24,0.08,False,0.0
TPM__MAP4K3-DT,67,17,0.67,0.05000000074505806,0.22,0.1,False,0.0
METH__BCL9L,65,17,0.65,0.05999999865889549,-0.2,0.06,False,0.0
TPM__RPL13AP20,64,14,0.64,0.05999999865889549,0.24,0.0,False,0.0
TPM__SAMD4A,62,13,0.62,0.05999999865889549,0.26,0.05,False,0.0
TPM__SLC2A4RG,58,10,0.58,0.05999999865889549,0.23,0.04,False,0.0
TPM__EIF3L,58,10,0.58,0.07000000029802322,-0.24,0.01,False,0.0
TPM__VASN,57,10,0.57,0.05000000074505806,0.23,0.05,False,0.0
TPM__ID1,56,8,0.56,0.07999999821186066,0.24,0.03,False,0.013
TPM__ALDH3B1,55,8,0.55,0.09000000357627869,0.28,0.07,False,0.013
TPM__NPTN,55,6,0.55,0.07000000029802322,0.23,0.09,True,0.181
TPM__CARD10,54,8,0.54,0.05999999865889549,0.19,0.03,False,0.013
TPM__FHL2,54,7,0.54,0.05999999865889549,0.22,0.04,True,0.053
METH__PATL1,53,8,0.53,0.07999999821186066,-0.25,0.15,False,0.013
TPM__FGFRL1,52,3,0.52,0.05999999865889549,0.25,0.04,True,0.992
TPM__GRK3,52,5,0.52,0.05999999865889549,-0.23,0.1,True,0.458
TPM__LASP1,52,6,0.52,0.07000000029802322,0.25,0.07,True,0.181
METH__C7orf23,51,8,0.51,0.05999999865889549,-0.19,0.07,False,0.013
TPM__USP40,50,5,0.5,0.05999999865889549,0.23,0.03,True,0.458
TPM__BMP4,50,5,0.5,0.05000000074505806,0.22,0.05,True,0.458
TPM__BEND7,49,2,0.49,0.05000000074505806,0.22,0.03,True,1.0
TPM__TPM1,49,4,0.49,0.05000000074505806,0.19,0.09,True,0.832
TPM__TSPAN4,49,4,0.49,0.05999999865889549,0.25,0.03,True,0.832
TPM__SMAP2,48,4,0.48,0.07999999821186066,-0.26,0.08,True,0.832
TPM__RGL3,48,5,0.48,0.07000000029802322,0.27,0.08,True,0.458
TPM__SPATS2L,47,4,0.47,0.07999999821186066,0.28,0.03,True,0.832
