feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
METH__IQCB1,99,49,0.99,0.019999999552965164,0.12,0.24,True,1.0
METH__SPAG9,99,49,0.99,0.05000000074505806,-0.15,0.22,True,1.0
METH__HDAC2,92,42,0.92,0.029999999329447746,-0.16,0.24,False,0.013
METH__PPAPDC1B,91,41,0.91,0.019999999552965164,-0.18,0.22,False,0.002
CNV__MAML2,89,39,0.89,0.029999999329447746,0.18,0.22,False,0.0
METH__ARHGEF12,84,34,0.84,0.029999999329447746,-0.16,0.2,False,0.0
METH__CHD9,84,35,0.84,0.03999999910593033,-0.17,0.26,False,0.0
METH__C18orf10,81,31,0.81,0.019999999552965164,-0.13,0.24,False,0.0
TPM__SNORA70,81,32,0.81,0.0,0.01,0.22,False,0.0
METH__C20orf111,79,29,0.79,0.019999999552965164,-0.11,0.22,False,0.0
METH__SLC44A1,79,31,0.79,0.019999999552965164,-0.1,0.24,False,0.0
CNV__TCIRG1,78,30,0.78,0.009999999776482582,0.12,0.21,False,0.0
CNV__NFKBIA,76,26,0.76,0.009999999776482582,0.15,0.24,False,0.0
CNV__NKX2-1,72,24,0.72,0.0,0.14,0.23,False,0.0
METH__GTPBP3,72,23,0.72,0.029999999329447746,-0.1,0.23,False,0.0
CNV__KLF5,72,25,0.72,0.0,-0.01,0.22,False,0.0
CNV__FAT2,71,22,0.71,0.029999999329447746,0.18,0.22,False,0.0
CNV__SOS1,71,22,0.71,0.009999999776482582,0.15,0.23,False,0.0
CNV__PREX2,70,23,0.7,0.009999999776482582,0.12,0.24,False,0.0
METH__C1orf128,70,22,0.7,0.019999999552965164,-0.14,0.25,False,0.0
METH__CCDC55,67,21,0.67,0.0,-0.08,0.23,False,0.0
CNV__ARHGEF12,66,17,0.66,0.019999999552965164,0.14,0.24,False,0.0
CNV__ERCC5,65,20,0.65,0.0,0.01,0.22,False,0.0
CNV__EPHA3,64,17,0.64,0.009999999776482582,0.14,0.24,False,0.0
CNV__RSPO2,63,19,0.63,0.009999999776482582,0.12,0.22,False,0.0
METH__EXTL3,63,15,0.63,0.019999999552965164,-0.12,0.22,False,0.0
METH__XPR1,62,15,0.62,0.009999999776482582,0.07,0.23,False,0.0
CNV__FANCM,62,18,0.62,0.019999999552965164,0.16,0.25,False,0.0
CNV__NDRG1,62,18,0.62,0.0,0.14,0.24,False,0.0
CNV__BRD7,60,15,0.6,0.019999999552965164,0.14,0.23,False,0.0
CNV__KEL,58,19,0.58,0.009999999776482582,0.1,0.25,False,0.0
CNV__STRN,58,13,0.58,0.009999999776482582,0.16,0.23,False,0.0
CNV__MLLT6,58,18,0.58,0.009999999776482582,0.13,0.2,False,0.0
CNV__PDGFRB,58,13,0.58,0.029999999329447746,0.18,0.22,False,0.0
METH__COPS2,58,12,0.58,0.019999999552965164,-0.09,0.23,False,0.0
CNV__ZBTB20,56,9,0.56,0.019999999552965164,0.16,0.24,False,0.002
CNV__PRR14,55,9,0.55,0.019999999552965164,0.18,0.25,False,0.002
CNV__ING1,54,12,0.54,0.0,0.01,0.24,False,0.0
METH__PDXDC2,54,10,0.54,0.0,-0.07,0.25,False,0.0
CNV__TRIM24,54,10,0.54,0.009999999776482582,0.1,0.23,False,0.0
CNV__NIN,54,13,0.54,0.019999999552965164,0.15,0.23,False,0.0
CNV__KMT2A,52,13,0.52,0.009999999776482582,0.11,0.23,False,0.0
CNV__NBN,52,12,0.52,0.0,0.12,0.25,False,0.0
CNV__ACSL3,52,13,0.52,0.009999999776482582,0.13,0.2,False,0.0
CNV__EWSR1,51,11,0.51,0.0,0.06,0.23,False,0.0
CNV__NCOA2,50,10,0.5,0.009999999776482582,0.11,0.23,False,0.0
METH__TMEM86B,50,10,0.5,0.0,0.04,0.23,False,0.0
CNV__SUSD2,50,5,0.5,0.0,0.06,0.25,True,0.458
CNV__BCL9,50,13,0.5,0.0,0.11,0.22,False,0.0
METH__GNRHR2,49,8,0.49,0.009999999776482582,-0.12,0.23,False,0.013
CNV__CHEK2,49,7,0.49,0.0,0.07,0.23,True,0.053
CNV__CCNB1IP1,49,9,0.49,0.009999999776482582,0.11,0.21,False,0.002
CNV__SIRPA,49,12,0.49,0.009999999776482582,0.12,0.25,False,0.0
CNV__CD74,48,5,0.48,0.029999999329447746,0.18,0.22,True,0.458
CNV__PLCB4,47,11,0.47,0.009999999776482582,0.1,0.23,False,0.0
CNV__RANBP2,47,15,0.47,0.009999999776482582,0.11,0.22,False,0.0
CNV__FLT4,46,9,0.46,0.019999999552965164,0.16,0.22,False,0.002
TPM__SNORA80A,46,5,0.46,0.0,-0.01,0.25,True,0.458
CNV__NPM1,45,6,0.45,0.019999999552965164,0.16,0.25,True,0.181
METH__ZNF672,44,4,0.44,0.0,-0.05,0.22,True,0.832
METH__GDI2,44,9,0.44,0.0,0.04,0.23,False,0.002
CNV__SMARCB1,43,3,0.43,0.0,0.07,0.23,True,0.992
METH__MYSM1,43,11,0.43,0.0,-0.01,0.22,False,0.0
CNV__CBLB,42,4,0.42,0.019999999552965164,0.16,0.25,True,0.832
METH__ANKRD42,42,5,0.42,0.009999999776482582,-0.12,0.23,True,0.458
METH__C2orf42,42,6,0.42,0.0,0.01,0.23,True,0.181
CNV__MALT1,40,6,0.4,0.0,0.04,0.22,True,0.181
CNV__PEG3,39,2,0.39,0.019999999552965164,0.14,0.23,True,1.0
CNV__ACVR1,39,6,0.39,0.019999999552965164,0.16,0.24,True,0.181
METH__G3BP2,39,9,0.39,0.0,-0.09,0.25,False,0.002
CNV__BRAF,38,7,0.38,0.009999999776482582,0.09,0.23,True,0.053
METH__BCAS3,38,5,0.38,0.029999999329447746,-0.13,0.23,True,0.458
