feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__RPL10A,95,45,0.95,0.1899999976158142,-0.4,0.18,True,0.458
TPM__GPR39,95,45,0.95,0.2800000011920929,0.51,0.2,True,0.458
TPM__APLP2,92,42,0.92,0.1899999976158142,0.41,0.11,False,0.013
TPM__ADAM9,88,38,0.88,0.2800000011920929,0.48,0.22,False,0.0
METH__PTGFRN,86,36,0.86,0.1899999976158142,-0.29,0.16,False,0.0
METH__MGAT1,86,36,0.86,0.2800000011920929,0.43,0.2,False,0.0
TPM__GULP1,83,33,0.83,0.23000000417232513,0.44,0.13,False,0.0
TPM__FTH1,81,31,0.81,0.1899999976158142,0.41,0.15,False,0.0
TPM__SVIL,79,29,0.79,0.1899999976158142,0.39,0.11,False,0.0
TPM__PLCG2,78,28,0.78,0.20000000298023224,-0.32,0.16,False,0.0
TPM__TAF4B,76,26,0.76,0.1899999976158142,-0.4,0.13,False,0.0
TPM__EPN2,75,25,0.75,0.20000000298023224,0.34,0.14,False,0.0
METH__FAM110C,72,22,0.72,0.1899999976158142,-0.36,0.14,False,0.0
TPM__PTTG1IP,71,21,0.71,0.20999999344348907,0.43,0.16,False,0.0
TPM__ATP1B1,70,20,0.7,0.27000001072883606,0.45,0.16,False,0.0
METH__FEZF1,69,19,0.69,0.20999999344348907,-0.36,0.1,False,0.0
TPM__MID1,67,18,0.67,0.2199999988079071,0.43,0.1,False,0.0
TPM__TSKU,66,17,0.66,0.25,0.43,0.16,False,0.0
METH__KRI1,65,17,0.65,0.25,0.4,0.2,False,0.0
METH__FAM113B,65,17,0.65,0.1899999976158142,0.28,0.15,False,0.0
TPM__CCND1,62,14,0.62,0.23000000417232513,0.4,0.24,False,0.0
METH__EIF3K,62,13,0.62,0.2800000011920929,0.41,0.21,False,0.0
TPM__IL12RB1,59,9,0.59,0.27000001072883606,-0.31,0.19,False,0.002
TPM__PON2,59,9,0.59,0.25999999046325684,0.45,0.2,False,0.002
TPM__SHISA4,59,10,0.59,0.20000000298023224,0.42,0.18,False,0.0
TPM__ITGB1P1,57,11,0.57,0.1899999976158142,0.4,0.14,False,0.0
TPM__BCAR1,54,6,0.54,0.27000001072883606,0.4,0.19,True,0.181
TPM__CORO1A,53,5,0.53,0.23000000417232513,-0.34,0.21,True,0.458
TPM__GOLM1,52,5,0.52,0.2199999988079071,0.4,0.09,True,0.458
TPM__ANKLE1,51,6,0.51,0.25,-0.42,0.15,True,0.181
TPM__DOCK1,51,7,0.51,0.23000000417232513,0.31,0.16,True,0.053
TPM__ARHGAP45,50,4,0.5,0.1899999976158142,-0.33,0.21,True,0.832
TPM__PLS3,48,3,0.48,0.2199999988079071,0.39,0.21,True,0.992
TPM__KIF21B,47,4,0.47,0.1899999976158142,-0.34,0.13,True,0.832
TPM__DOK3,47,2,0.47,0.2199999988079071,-0.31,0.12,True,1.0
TPM__IQSEC2,46,4,0.46,0.20000000298023224,0.4,0.16,True,0.832
METH__ONECUT2,46,6,0.46,0.1899999976158142,-0.26,0.17,True,0.181
TPM__IL17RC,45,3,0.45,0.1899999976158142,0.36,0.09,True,0.992
TPM__PRSS23,44,2,0.44,0.25,0.49,0.2,True,1.0
TPM__SPATS2L,44,1,0.44,0.2199999988079071,0.41,0.14,True,1.0
TPM__PIK3AP1,43,2,0.43,0.1899999976158142,-0.3,0.1,True,1.0
TPM__EAF2,43,1,0.43,0.20999999344348907,-0.33,0.14,True,1.0
TPM__ERRFI1,43,2,0.43,0.2800000011920929,0.46,0.24,True,1.0
METH__SOCS6,43,1,0.43,0.2199999988079071,-0.35,0.15,True,1.0
METH__PTPRCAP,42,4,0.42,0.20999999344348907,0.35,0.18,True,0.832
METH__LOC148709,42,2,0.42,0.1899999976158142,-0.38,0.12,True,1.0
TPM__GIPC1,41,0,0.41,0.2199999988079071,0.42,0.17,False,
TPM__HYAL2,41,1,0.41,0.1899999976158142,0.4,0.15,True,1.0
METH__CCM2,40,1,0.4,0.3400000035762787,0.42,0.3,True,1.0
TPM__PTPN21,40,0,0.4,0.20999999344348907,0.38,0.2,False,
TPM__CAMK2N1,40,1,0.4,0.1899999976158142,0.42,0.16,True,1.0
TPM__ID1,39,0,0.39,0.1899999976158142,0.36,0.16,False,
TPM__KLF3,39,1,0.39,0.1899999976158142,0.33,0.15,True,1.0
METH__RGS1,39,1,0.39,0.20000000298023224,0.31,0.13,True,1.0
TPM__CTDSPL,38,2,0.38,0.2199999988079071,0.37,0.13,True,1.0
METH__SELPLG,38,0,0.38,0.2199999988079071,0.34,0.16,False,
TPM__TRAF3IP3,38,1,0.38,0.2800000011920929,-0.39,0.17,True,1.0
TPM__PLPP2,38,2,0.38,0.2199999988079071,0.41,0.15,True,1.0
TPM__RAB1A,37,2,0.37,0.20000000298023224,0.38,0.15,True,1.0
TPM__MPP3,37,2,0.37,0.20000000298023224,0.31,0.17,True,1.0
TPM__TBC1D10C,37,1,0.37,0.20999999344348907,-0.3,0.11,True,1.0
TPM__EPHX1,37,1,0.37,0.2199999988079071,0.43,0.17,True,1.0
TPM__CDC42BPA,37,3,0.37,0.23000000417232513,0.34,0.14,True,0.992
TPM__CTNNA1,36,0,0.36,0.20000000298023224,0.39,0.13,False,
METH__PROCA1,36,2,0.36,0.25,0.37,0.13,True,1.0
TPM__FHL2,36,4,0.36,0.25,0.45,0.08,True,0.832
TPM__SRGAP1,36,1,0.36,0.2199999988079071,0.41,0.15,True,1.0
TPM__AK1,35,2,0.35,0.1899999976158142,0.33,0.16,True,1.0
TPM__LRP11,35,0,0.35,0.1899999976158142,0.37,0.1,False,
TPM__SEPTIN1,35,2,0.35,0.1899999976158142,-0.27,0.09,True,1.0
TPM__PTGR1,35,1,0.35,0.20999999344348907,0.39,0.19,True,1.0
TPM__SH3D19,35,2,0.35,0.23000000417232513,0.39,0.19,True,1.0
TPM__ARHGAP25,34,1,0.34,0.20000000298023224,-0.31,0.19,True,1.0
TPM__CUEDC1,34,0,0.34,0.28999999165534973,0.44,0.18,False,
TPM__CD38,33,1,0.33,0.23999999463558197,-0.28,0.17,True,1.0
METH__CCDC88B,32,1,0.32,0.23000000417232513,0.37,0.14,True,1.0
METH__ERRFI1,32,1,0.32,0.23000000417232513,-0.44,0.15,True,1.0
TPM__NQO1,32,0,0.32,0.2199999988079071,0.45,0.18,False,
TPM__NTN4,32,2,0.32,0.23000000417232513,0.49,0.21,True,1.0
TPM__TUFT1,32,1,0.32,0.23000000417232513,0.42,0.17,True,1.0
TPM__TMEM51,31,0,0.31,0.23999999463558197,0.41,0.16,False,
TPM__CD151,31,0,0.31,0.23000000417232513,0.42,0.18,False,
TPM__APP,30,1,0.3,0.2199999988079071,0.37,0.17,True,1.0
TPM__CEP170B,30,0,0.3,0.23000000417232513,0.38,0.18,False,
METH__LAMB1,30,0,0.3,0.25,-0.34,0.2,False,
TPM__NIBAN2,30,0,0.3,0.27000001072883606,0.42,0.16,False,
TPM__EPB41L1,30,1,0.3,0.25,0.43,0.14,True,1.0
TPM__SERPINB6,30,1,0.3,0.1899999976158142,0.34,0.15,True,1.0
TPM__EPS8,30,2,0.3,0.2199999988079071,0.44,0.16,True,1.0
TPM__KIFC3,29,1,0.29,0.20000000298023224,0.37,0.16,True,1.0
METH__TBC1D10C,29,0,0.29,0.2199999988079071,0.35,0.17,False,
METH__CDKN2D,29,1,0.29,0.20999999344348907,0.38,0.17,True,1.0
TPM__RASAL2,28,0,0.28,0.20000000298023224,0.35,0.14,False,
TPM__PLK2,28,0,0.28,0.20000000298023224,0.4,0.2,False,
TPM__CTNND1,28,0,0.28,0.25,0.41,0.19,False,
TPM__WWC2,28,0,0.28,0.1899999976158142,0.33,0.14,False,
TPM__LAPTM4A,28,1,0.28,0.25,0.45,0.21,True,1.0
METH__CRIM1,27,0,0.27,0.2199999988079071,-0.39,0.17,False,
TPM__KIAA1671,27,2,0.27,0.1899999976158142,0.35,0.12,True,1.0
TPM__LARP6,26,1,0.26,0.20999999344348907,0.38,0.13,True,1.0
TPM__SGMS2,26,2,0.26,0.1899999976158142,0.39,0.18,True,1.0
TPM__IL16,26,0,0.26,0.1899999976158142,-0.33,0.11,False,
TPM__AFAP1,26,0,0.26,0.1899999976158142,0.37,0.21,False,
