feature,Selection count,Pair count,CPSS Score
METH__CCM2,100,50,1.0
TPM__TJP1,100,50,1.0
TPM__NCKAP1,100,50,1.0
TPM__MFNG,100,50,1.0
TPM__MIR142HG,99,49,0.99
TPM__WAS,99,49,0.99
METH__AGAP2,99,49,0.99
TPM__ADAM9,99,49,0.99
TPM__CD53,99,49,0.99
METH__MIR142,98,48,0.98
TPM__IRAG2,98,48,0.98
TPM__GPR39,97,47,0.97
TPM__CTTN,97,47,0.97
TPM__IKZF1,97,47,0.97
TPM__ERRFI1,97,47,0.97
METH__EIF3K,97,47,0.97
TPM__AMOTL2,96,46,0.96
TPM__NTN4,93,43,0.93
TPM__PCDH1,93,43,0.93
TPM__FKBP9,93,43,0.93
TPM__ANKRD1,92,42,0.92
TPM__CORO1A,92,42,0.92
TPM__PARVA,91,41,0.91
TPM__LAMB1,91,41,0.91
METH__BZRAP1,91,41,0.91
TPM__PTPN7,90,40,0.9
TPM__MATN3,90,40,0.9
TPM__WFS1,90,40,0.9
TPM__GPRC5A,89,39,0.89
TPM__PON2,89,39,0.89
TPM__PRSS23,89,39,0.89
TPM__MAP4K1,88,38,0.88
METH__TMEM51,87,37,0.87
METH__MAP4K1,86,36,0.86
TPM__GMFG,86,37,0.86
METH__ANKRD44,84,34,0.84
TPM__CD276,84,34,0.84
TPM__ARHGEF28,83,33,0.83
TPM__RCSD1,82,32,0.82
TPM__RILPL1,82,33,0.82
TPM__LAPTM4A,82,32,0.82
TPM__SDC4,79,31,0.79
TPM__PTK2B,79,30,0.79
TPM__GPC1,78,29,0.78
TPM__IL13RA1,78,29,0.78
TPM__OSGIN1,77,29,0.77
TPM__LINC01186,77,27,0.77
TPM__CCND1,74,26,0.74
TPM__NR2F2,73,23,0.73
TPM__TM4SF1,73,25,0.73
TPM__UACA,71,22,0.71
TPM__DAG1,70,22,0.7
TPM__CST3,68,20,0.68
TPM__PLK2,67,21,0.67
TPM__RRAS,67,20,0.67
TPM__CYP24A1,66,21,0.66
TPM__EPHA2-AS1,66,19,0.66
TPM__SEPTIN10,66,20,0.66
METH__TJP1,66,20,0.66
METH__PLEKHA1,65,16,0.65
TPM__ASAP2,64,18,0.64
TPM__SH3BP4,64,21,0.64
TPM__MANBAL,62,17,0.62
TPM__INPP5D,61,17,0.61
TPM__SNX7,60,18,0.6
TPM__DEF6,60,16,0.6
TPM__HTR1D,60,12,0.6
METH__KRI1,58,13,0.58
TPM__ACAP1,56,15,0.56
TPM__TNFRSF12A,56,13,0.56
TPM__PTPN21,56,14,0.56
METH__RAVER1,56,13,0.56
TPM__CDC42BPB,56,16,0.56
TPM__ZNF205,56,13,0.56
TPM__PIK3CG,55,13,0.55
TPM__ARHGAP15,53,12,0.53
TPM__ZNF112,53,11,0.53
METH__OSM,52,10,0.52
TPM__BCL9L,52,11,0.52
TPM__CAP2,52,12,0.52
