feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
METH__MGAT1,94,44,0.94,0.23999999463558197,0.42,0.16,True,0.181
TPM__DOCK1,93,43,0.93,0.18000000715255737,0.31,0.12,True,0.053
TPM__APLP2,92,42,0.92,0.23000000417232513,0.45,0.15,False,0.013
TPM__PTTG1IP,91,41,0.91,0.2199999988079071,0.46,0.17,False,0.002
TPM__RASAL2-AS1,88,38,0.88,0.1899999976158142,0.45,0.16,False,0.0
TPM__CUEDC1,88,38,0.88,0.25999999046325684,0.45,0.16,False,0.0
TPM__AGAP2,87,37,0.87,0.27000001072883606,-0.51,0.2,False,0.0
TPM__GPAT3,81,31,0.81,0.1899999976158142,0.46,0.13,False,0.0
METH__KRI1,79,29,0.79,0.25999999046325684,0.46,0.29,False,0.0
TPM__GULP1,78,28,0.78,0.2199999988079071,0.46,0.2,False,0.0
TPM__NPTN,76,26,0.76,0.20000000298023224,0.46,0.15,False,0.0
TPM__ALS2CL,76,27,0.76,0.20000000298023224,0.47,0.15,False,0.0
METH__FAM110C,74,24,0.74,0.18000000715255737,-0.37,0.16,False,0.0
TPM__RBPMS-AS1,73,23,0.73,0.1899999976158142,0.51,0.2,False,0.0
TPM__ATP2A3,72,23,0.72,0.1899999976158142,-0.4,0.12,False,0.0
TPM__IL12RB1,71,21,0.71,0.23999999463558197,-0.29,0.21,False,0.0
TPM__BTC,70,20,0.7,0.1899999976158142,0.49,0.18,False,0.0
TPM__ME1,69,19,0.69,0.18000000715255737,0.43,0.14,False,0.0
TPM__EPS8,68,19,0.68,0.23999999463558197,0.49,0.18,False,0.0
TPM__CARD10,67,17,0.67,0.2199999988079071,0.46,0.19,False,0.0
METH__KRT18,63,14,0.63,0.18000000715255737,-0.37,0.16,False,0.0
TPM__CCND1,60,10,0.6,0.23000000417232513,0.42,0.21,False,0.0
TPM__PCDH1,57,12,0.57,0.1899999976158142,0.47,0.21,False,0.0
TPM__IGFBP6,56,9,0.56,0.18000000715255737,0.43,0.13,False,0.002
METH__ANKRD44,54,8,0.54,0.2199999988079071,0.41,0.23,False,0.013
METH__LOC148709,54,6,0.54,0.1899999976158142,-0.41,0.13,True,0.181
METH__BIN2,53,7,0.53,0.25,0.38,0.3,True,0.053
TPM__NQO1,52,4,0.52,0.23000000417232513,0.48,0.17,True,0.832
TPM__PMEPA1,52,6,0.52,0.20000000298023224,0.44,0.13,True,0.181
TPM__KDM2B,51,8,0.51,0.1899999976158142,-0.44,0.14,False,0.013
TPM__CTSD,51,1,0.51,0.20000000298023224,0.47,0.13,True,1.0
METH__MLL2,50,4,0.5,0.18000000715255737,0.43,0.18,True,0.832
TPM__THSD4,50,4,0.5,0.1899999976158142,0.46,0.16,True,0.832
TPM__ANKLE1,49,5,0.49,0.23999999463558197,-0.47,0.15,True,0.458
TPM__AOPEP,49,6,0.49,0.18000000715255737,0.41,0.19,True,0.181
TPM__PHLDB2,48,4,0.48,0.18000000715255737,0.43,0.12,True,0.832
TPM__S100A16,46,4,0.46,0.2199999988079071,0.44,0.16,True,0.832
TPM__SH2D4A,46,3,0.46,0.18000000715255737,0.43,0.1,True,0.992
METH__RHOH,45,4,0.45,0.20000000298023224,0.32,0.17,True,0.832
METH__PTGFRN,45,4,0.45,0.1899999976158142,-0.35,0.14,True,0.832
TPM__BAIAP2,44,2,0.44,0.25999999046325684,0.46,0.17,True,1.0
METH__CCM2,44,2,0.44,0.28999999165534973,0.44,0.3,True,1.0
TPM__SEPTIN10,43,4,0.43,0.1899999976158142,0.36,0.09,True,0.832
TPM__KRT80,41,2,0.41,0.1899999976158142,0.47,0.16,True,1.0
TPM__TUFT1,41,2,0.41,0.1899999976158142,0.41,0.14,True,1.0
METH__BOK,40,1,0.4,0.20999999344348907,-0.38,0.17,True,1.0
METH__TCF3,40,1,0.4,0.1899999976158142,0.44,0.18,True,1.0
TPM__KIFC3,39,0,0.39,0.20000000298023224,0.41,0.2,False,
TPM__ATP1B1,39,1,0.39,0.25,0.47,0.15,True,1.0
TPM__CTNNA1,38,3,0.38,0.2199999988079071,0.47,0.16,True,0.992
TPM__SMAP2,38,0,0.38,0.20000000298023224,-0.43,0.15,False,
TPM__CST3,38,1,0.38,0.18000000715255737,0.42,0.15,True,1.0
TPM__ID1,38,1,0.38,0.18000000715255737,0.36,0.14,True,1.0
TPM__SSH3,38,2,0.38,0.18000000715255737,0.41,0.13,True,1.0
TPM__CAPN2,37,2,0.37,0.23000000417232513,0.46,0.14,True,1.0
TPM__CORO7,37,1,0.37,0.18000000715255737,-0.4,0.1,True,1.0
TPM__PHLDB1,36,0,0.36,0.2199999988079071,0.42,0.2,False,
TPM__RAB1A,36,3,0.36,0.18000000715255737,0.37,0.07,True,0.992
METH__GPR126,35,1,0.35,0.20999999344348907,-0.43,0.21,True,1.0
TPM__CTNND1,35,1,0.35,0.23000000417232513,0.46,0.14,True,1.0
TPM__GIPC1,34,2,0.34,0.23000000417232513,0.46,0.14,True,1.0
