feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__BCL2L1,100,50,1.0,0.10000000149011612,0.29,0.03,True,1.0
TPM__GMIP,100,50,1.0,0.11999999731779099,-0.33,0.08,True,1.0
TPM__DLG5-AS1,97,47,0.97,0.10000000149011612,0.35,0.05,True,0.992
TPM__TNFAIP8,91,41,0.91,0.09000000357627869,-0.3,0.06,False,0.002
TPM__DUSP2,88,38,0.88,0.07999999821186066,-0.27,0.07,False,0.0
TPM__RASAL2-AS1,87,37,0.87,0.10000000149011612,0.32,0.05,False,0.0
METH__SHISA4,85,35,0.85,0.07999999821186066,-0.29,0.06,False,0.0
TPM__NOS1AP,82,32,0.82,0.09000000357627869,0.33,0.09,False,0.0
TPM__NPAS2,82,32,0.82,0.09000000357627869,0.31,0.08,False,0.0
METH__TTPA,80,30,0.8,0.07999999821186066,-0.27,0.08,False,0.0
TPM__PTTG1IP,79,29,0.79,0.12999999523162842,0.34,0.11,False,0.0
TPM__HOXB5,79,29,0.79,0.09000000357627869,0.3,0.08,False,0.0
TPM__BEND7,79,29,0.79,0.09000000357627869,0.32,0.09,False,0.0
METH__GLS2,79,29,0.79,0.09000000357627869,-0.29,0.1,False,0.0
METH__SIX4,79,29,0.79,0.09000000357627869,-0.27,0.13,False,0.0
TPM__PVR,78,28,0.78,0.10000000149011612,0.26,0.05,False,0.0
TPM__THAP10,77,27,0.77,0.15000000596046448,0.37,0.14,False,0.0
TPM__ELMO1,71,23,0.71,0.10999999940395355,-0.28,0.11,False,0.0
TPM__PSAP,71,21,0.71,0.07999999821186066,0.29,0.06,False,0.0
TPM__WFS1,71,22,0.71,0.10999999940395355,0.27,0.07,False,0.0
TPM__SH3BP4,70,20,0.7,0.12999999523162842,0.3,0.12,False,0.0
TPM__RPL18A,66,18,0.66,0.09000000357627869,-0.34,0.08,False,0.0
TPM__APLP2,65,15,0.65,0.09000000357627869,0.28,0.03,False,0.0
TPM__NGRN,65,16,0.65,0.09000000357627869,0.32,0.06,False,0.0
TPM__SMURF2,65,15,0.65,0.07999999821186066,0.3,0.04,False,0.0
TPM__SCML1,63,14,0.63,0.10999999940395355,0.32,0.12,False,0.0
TPM__NHSL3,63,15,0.63,0.09000000357627869,0.26,0.11,False,0.0
TPM__PCDH1,61,13,0.61,0.09000000357627869,0.31,0.09,False,0.0
TPM__SPIN3,60,10,0.6,0.09000000357627869,0.27,0.05,False,0.0
TPM__TACC2,60,11,0.6,0.07999999821186066,0.26,0.1,False,0.0
METH__PKN1,60,11,0.6,0.10999999940395355,0.25,0.09,False,0.0
TPM__TPM1,59,10,0.59,0.09000000357627869,0.27,0.05,False,0.0
TPM__IL21R,59,12,0.59,0.10999999940395355,-0.27,0.11,False,0.0
TPM__BOD1,59,9,0.59,0.09000000357627869,0.3,0.12,False,0.002
TPM__MRPS18AP1,57,8,0.57,0.09000000357627869,-0.28,0.05,False,0.013
TPM__DOCK8,56,8,0.56,0.09000000357627869,-0.2,0.14,False,0.013
METH__PVRL3,56,7,0.56,0.11999999731779099,-0.33,0.14,True,0.053
TPM__PTPRF,55,9,0.55,0.10000000149011612,0.22,0.11,False,0.002
METH__STEAP2,55,7,0.55,0.09000000357627869,-0.27,0.09,True,0.053
METH__SHC2,55,8,0.55,0.12999999523162842,-0.34,0.16,False,0.013
TPM__EAF2,54,6,0.54,0.10999999940395355,-0.28,0.06,True,0.181
METH__C7orf23,52,5,0.52,0.11999999731779099,-0.32,0.13,True,0.458
METH__HSP90AA1,52,8,0.52,0.10999999940395355,0.29,0.14,False,0.013
TPM__NAV2,51,6,0.51,0.09000000357627869,0.29,0.06,True,0.181
TPM__NPTN,50,7,0.5,0.10000000149011612,0.31,0.09,True,0.053
METH__EIF3K,50,8,0.5,0.11999999731779099,0.32,0.11,False,0.013
TPM__OPHN1,49,7,0.49,0.09000000357627869,0.29,0.08,True,0.053
TPM__ACAP1,48,3,0.48,0.14000000059604645,-0.29,0.17,True,0.992
TPM__CTDSPL,47,2,0.47,0.07999999821186066,0.22,0.09,True,1.0
TPM__DENND2B,47,4,0.47,0.09000000357627869,0.27,0.08,True,0.832
METH__B4GALT1,46,3,0.46,0.09000000357627869,0.26,0.12,True,0.992
METH__RPS6KA1,46,5,0.46,0.09000000357627869,0.26,0.05,True,0.458
TPM__CORO1A-AS1,46,5,0.46,0.10000000149011612,-0.24,0.11,True,0.458
TPM__GPR39,45,0,0.45,0.09000000357627869,0.3,0.1,False,
TPM__ANKLE1,45,3,0.45,0.11999999731779099,-0.29,0.08,True,0.992
TPM__MORC4,44,2,0.44,0.10000000149011612,0.26,0.05,True,1.0
TPM__CYTH4,44,5,0.44,0.10000000149011612,-0.24,0.1,True,0.458
METH__MIER3,44,4,0.44,0.09000000357627869,-0.3,0.07,True,0.832
METH__C10orf35,44,4,0.44,0.07999999821186066,-0.24,0.06,True,0.832
TPM__AK1,44,2,0.44,0.10000000149011612,0.3,0.13,True,1.0
METH__U2AF1L4,43,2,0.43,0.09000000357627869,0.25,0.17,True,1.0
TPM__TRG-AS1,43,0,0.43,0.10999999940395355,-0.27,0.07,False,
TPM__PLPP2,42,0,0.42,0.10999999940395355,0.31,0.11,False,
METH__NLRC3,41,0,0.41,0.07999999821186066,0.2,0.09,False,
TPM__LAPTM4A,41,1,0.41,0.11999999731779099,0.34,0.07,True,1.0
TPM__CTNND1,41,2,0.41,0.09000000357627869,0.27,0.06,True,1.0
METH__PER3,41,3,0.41,0.11999999731779099,-0.32,0.12,True,0.992
TPM__TSPAN6,40,3,0.4,0.10999999940395355,0.29,0.08,True,0.992
TPM__MGAT4B,40,1,0.4,0.09000000357627869,0.33,0.11,True,1.0
TPM__RPL10A,40,2,0.4,0.09000000357627869,-0.34,0.09,True,1.0
METH__MGAT1,40,2,0.4,0.11999999731779099,0.3,0.16,True,1.0
METH__AMOTL2,40,2,0.4,0.09000000357627869,-0.24,0.15,True,1.0
METH__GPR126,39,1,0.39,0.10999999940395355,-0.27,0.08,True,1.0
TPM__NTN4,39,3,0.39,0.09000000357627869,0.34,0.11,True,0.992
TPM__MID1,39,1,0.39,0.09000000357627869,0.27,0.07,True,1.0
TPM__WSB2,38,1,0.38,0.09000000357627869,0.28,0.07,True,1.0
TPM__GMFG,38,1,0.38,0.10999999940395355,-0.22,0.04,True,1.0
METH__NR2F1,38,1,0.38,0.09000000357627869,-0.27,0.1,True,1.0
TPM__EPB41L1,38,1,0.38,0.10000000149011612,0.26,0.07,True,1.0
TPM__ITGB5,38,0,0.38,0.09000000357627869,0.28,0.08,False,
TPM__C1orf226,37,1,0.37,0.09000000357627869,0.33,0.05,True,1.0
METH__MATN3,37,1,0.37,0.10999999940395355,-0.24,0.12,True,1.0
TPM__DDAH1,35,3,0.35,0.09000000357627869,0.27,0.09,True,0.992
TPM__C19orf38,35,1,0.35,0.09000000357627869,-0.27,0.13,True,1.0
METH__FAM113B,34,0,0.34,0.10000000149011612,0.25,0.04,False,
TPM__EMP2,34,0,0.34,0.07999999821186066,0.27,0.06,False,
METH__CYP26B1,33,0,0.33,0.07999999821186066,-0.19,0.12,False,
TPM__LCP1,33,1,0.33,0.10000000149011612,-0.28,0.11,True,1.0
METH__HMCN1,33,1,0.33,0.09000000357627869,-0.25,0.12,True,1.0
METH__TCF3,32,0,0.32,0.09000000357627869,0.3,0.21,False,
METH__CTTNBP2NL,32,0,0.32,0.09000000357627869,-0.23,0.16,False,
TPM__TWF1,32,6,0.32,0.09000000357627869,0.31,0.1,True,0.181
TPM__SDC3,32,1,0.32,0.09000000357627869,0.3,0.12,True,1.0
TPM__GULP1,32,0,0.32,0.10000000149011612,0.3,0.06,False,
TPM__ZNF205,32,0,0.32,0.11999999731779099,0.25,0.12,False,
METH__MAP4K1,32,1,0.32,0.11999999731779099,0.32,0.11,True,1.0
TPM__LINC00511,31,0,0.31,0.09000000357627869,0.31,0.07,False,
METH__AK1,31,2,0.31,0.10000000149011612,-0.27,0.11,True,1.0
TPM__ATP9A,30,7,0.3,0.10000000149011612,0.3,0.06,True,0.053
TPM__SMARCA1,30,2,0.3,0.11999999731779099,0.32,0.1,True,1.0
TPM__TMEM51,30,1,0.3,0.09000000357627869,0.28,0.08,True,1.0
TPM__SHISA4,30,2,0.3,0.09000000357627869,0.3,0.08,True,1.0
TPM__DEF6,29,2,0.29,0.07999999821186066,-0.3,0.1,True,1.0
TPM__TAF4B,29,0,0.29,0.07999999821186066,-0.31,0.08,False,
METH__COBL,29,0,0.29,0.10000000149011612,-0.25,0.12,False,
TPM__CD63,29,0,0.29,0.09000000357627869,0.31,0.09,False,
TPM__IL13RA1,29,0,0.29,0.09000000357627869,0.27,0.06,False,
TPM__PSTPIP1,29,0,0.29,0.10000000149011612,-0.25,0.12,False,
METH__COL12A1,29,1,0.29,0.09000000357627869,-0.23,0.04,True,1.0
METH__INTU,28,0,0.28,0.10999999940395355,-0.26,0.15,False,
TPM__LRP11,28,1,0.28,0.10999999940395355,0.29,0.08,True,1.0
TPM__LARP6,28,1,0.28,0.10000000149011612,0.3,0.08,True,1.0
TPM__DCBLD2,28,0,0.28,0.10999999940395355,0.33,0.11,False,
TPM__CCND1,28,1,0.28,0.09000000357627869,0.27,0.13,True,1.0
TPM__CYTIP,27,1,0.27,0.09000000357627869,-0.22,0.07,True,1.0
TPM__GPC1,27,0,0.27,0.09000000357627869,0.27,0.13,False,
METH__MYH14,27,2,0.27,0.07999999821186066,-0.28,0.1,True,1.0
METH__RAVER1,27,1,0.27,0.10000000149011612,-0.22,0.12,True,1.0
TPM__ASPH,27,0,0.27,0.09000000357627869,0.29,0.1,False,
TPM__CUEDC1,27,1,0.27,0.1599999964237213,0.39,0.11,True,1.0
TPM__DOCK1,27,0,0.27,0.09000000357627869,0.23,0.15,False,
METH__RASSF1,27,0,0.27,0.10999999940395355,0.29,0.14,False,
METH__SOCS6,27,0,0.27,0.10000000149011612,-0.28,0.07,False,
TPM__ARHGAP30,26,0,0.26,0.12999999523162842,-0.27,0.15,False,
METH__ACTN1,25,0,0.25,0.09000000357627869,-0.23,0.16,False,
TPM__AGAP2-AS1,25,6,0.25,0.09000000357627869,0.27,0.08,True,0.181
TPM__CAMK2N1,25,4,0.25,0.10000000149011612,0.3,0.1,True,0.832
METH__B2M,25,1,0.25,0.10000000149011612,0.25,0.1,True,1.0
METH__KCNK1,25,1,0.25,0.07999999821186066,-0.24,0.1,True,1.0
METH__CRIM1,25,1,0.25,0.10999999940395355,-0.31,0.11,True,1.0
METH__GTPBP10,25,3,0.25,0.09000000357627869,-0.3,0.14,True,0.992
TPM__BCAR1,25,0,0.25,0.12999999523162842,0.28,0.09,False,
TPM__CAPN2,25,0,0.25,0.10000000149011612,0.29,0.09,False,
TPM__GIPC1,25,0,0.25,0.10000000149011612,0.29,0.1,False,
TPM__TCEAL1,25,3,0.25,0.09000000357627869,0.28,0.09,True,0.992
METH__MIR765,25,0,0.25,0.10000000149011612,0.29,0.05,False,
METH__ARHGEF10,24,1,0.24,0.09000000357627869,-0.22,0.19,True,1.0
METH__ARNTL,24,0,0.24,0.09000000357627869,-0.31,0.1,False,
METH__CDKN2D,24,2,0.24,0.09000000357627869,0.28,0.13,True,1.0
TPM__PLCG2,23,1,0.23,0.10000000149011612,-0.27,0.09,True,1.0
METH__LYPD6,23,1,0.23,0.09000000357627869,-0.24,0.11,True,1.0
METH__RHOBTB1,23,0,0.23,0.11999999731779099,-0.3,0.16,False,
METH__SEC14L2,23,1,0.23,0.09000000357627869,-0.21,0.09,True,1.0
METH__CASZ1,22,0,0.22,0.11999999731779099,-0.27,0.13,False,
METH__RUFY1,22,5,0.22,0.10000000149011612,-0.22,0.09,True,0.458
METH__RBM9,22,1,0.22,0.09000000357627869,-0.24,0.12,True,1.0
TPM__SH3D19,22,0,0.22,0.10000000149011612,0.28,0.07,False,
TPM__ENC1,21,1,0.21,0.09000000357627869,0.28,0.08,True,1.0
TPM__PLEKHA1,21,0,0.21,0.10000000149011612,0.25,0.12,False,
TPM__SHB,21,3,0.21,0.10999999940395355,0.31,0.08,True,0.992
TPM__AGAP2,21,0,0.21,0.10000000149011612,-0.3,0.07,False,
TPM__KIFBP,21,0,0.21,0.09000000357627869,0.28,0.08,False,
