feature,Selection count,Pair count,CPSS Score
TPM__BCL2L1,100,50,1.0
TPM__GMIP,100,50,1.0
TPM__DLG5-AS1,97,47,0.97
TPM__TNFAIP8,91,41,0.91
TPM__DUSP2,88,38,0.88
TPM__RASAL2-AS1,87,37,0.87
METH__SHISA4,85,35,0.85
TPM__NOS1AP,82,32,0.82
TPM__NPAS2,82,32,0.82
METH__TTPA,80,30,0.8
TPM__BEND7,79,29,0.79
METH__GLS2,79,29,0.79
METH__SIX4,79,29,0.79
TPM__HOXB5,79,29,0.79
TPM__PTTG1IP,79,29,0.79
TPM__PVR,78,28,0.78
TPM__THAP10,77,27,0.77
TPM__ELMO1,71,23,0.71
TPM__PSAP,71,21,0.71
TPM__WFS1,71,22,0.71
TPM__SH3BP4,70,20,0.7
TPM__RPL18A,66,18,0.66
TPM__APLP2,65,15,0.65
TPM__NGRN,65,16,0.65
TPM__SMURF2,65,15,0.65
TPM__SCML1,63,14,0.63
TPM__NHSL3,63,15,0.63
TPM__PCDH1,61,13,0.61
METH__PKN1,60,11,0.6
TPM__SPIN3,60,10,0.6
TPM__TACC2,60,11,0.6
TPM__TPM1,59,10,0.59
TPM__IL21R,59,12,0.59
TPM__BOD1,59,9,0.59
TPM__MRPS18AP1,57,8,0.57
TPM__DOCK8,56,8,0.56
METH__PVRL3,56,7,0.56
TPM__PTPRF,55,9,0.55
METH__STEAP2,55,7,0.55
METH__SHC2,55,8,0.55
TPM__EAF2,54,6,0.54
METH__C7orf23,52,5,0.52
METH__HSP90AA1,52,8,0.52
TPM__NAV2,51,6,0.51
TPM__NPTN,50,7,0.5
METH__EIF3K,50,8,0.5
TPM__OPHN1,49,7,0.49
TPM__ACAP1,48,3,0.48
TPM__CTDSPL,47,2,0.47
TPM__DENND2B,47,4,0.47
METH__B4GALT1,46,3,0.46
METH__RPS6KA1,46,5,0.46
TPM__CORO1A-AS1,46,5,0.46
TPM__GPR39,45,0,0.45
TPM__ANKLE1,45,3,0.45
METH__MIER3,44,4,0.44
METH__C10orf35,44,4,0.44
TPM__AK1,44,2,0.44
TPM__CYTH4,44,5,0.44
TPM__MORC4,44,2,0.44
METH__U2AF1L4,43,2,0.43
TPM__TRG-AS1,43,0,0.43
TPM__PLPP2,42,0,0.42
METH__NLRC3,41,0,0.41
TPM__LAPTM4A,41,1,0.41
TPM__CTNND1,41,2,0.41
METH__PER3,41,3,0.41
TPM__TSPAN6,40,3,0.4
TPM__MGAT4B,40,1,0.4
TPM__RPL10A,40,2,0.4
METH__MGAT1,40,2,0.4
METH__AMOTL2,40,2,0.4
TPM__MID1,39,1,0.39
TPM__NTN4,39,3,0.39
METH__GPR126,39,1,0.39
TPM__WSB2,38,1,0.38
TPM__GMFG,38,1,0.38
METH__NR2F1,38,1,0.38
TPM__EPB41L1,38,1,0.38
TPM__ITGB5,38,0,0.38
TPM__C1orf226,37,1,0.37
METH__MATN3,37,1,0.37
TPM__DDAH1,35,3,0.35
TPM__C19orf38,35,1,0.35
METH__FAM113B,34,0,0.34
TPM__EMP2,34,0,0.34
TPM__LCP1,33,1,0.33
METH__HMCN1,33,1,0.33
METH__CYP26B1,33,0,0.33
METH__CTTNBP2NL,32,0,0.32
TPM__TWF1,32,6,0.32
TPM__SDC3,32,1,0.32
TPM__GULP1,32,0,0.32
TPM__ZNF205,32,0,0.32
METH__MAP4K1,32,1,0.32
METH__TCF3,32,0,0.32
TPM__LINC00511,31,0,0.31
METH__AK1,31,2,0.31
TPM__TMEM51,30,1,0.3
TPM__SHISA4,30,2,0.3
TPM__SMARCA1,30,2,0.3
TPM__ATP9A,30,7,0.3
TPM__DEF6,29,2,0.29
METH__COBL,29,0,0.29
TPM__CD63,29,0,0.29
TPM__IL13RA1,29,0,0.29
TPM__PSTPIP1,29,0,0.29
METH__COL12A1,29,1,0.29
TPM__TAF4B,29,0,0.29
METH__INTU,28,0,0.28
TPM__LRP11,28,1,0.28
TPM__LARP6,28,1,0.28
TPM__DCBLD2,28,0,0.28
TPM__CCND1,28,1,0.28
METH__RASSF1,27,0,0.27
TPM__ASPH,27,0,0.27
METH__SOCS6,27,0,0.27
TPM__DOCK1,27,0,0.27
TPM__CUEDC1,27,1,0.27
TPM__CYTIP,27,1,0.27
METH__MYH14,27,2,0.27
TPM__GPC1,27,0,0.27
METH__RAVER1,27,1,0.27
TPM__ARHGAP30,26,0,0.26
METH__GTPBP10,25,3,0.25
TPM__TCEAL1,25,3,0.25
TPM__GIPC1,25,0,0.25
TPM__CAPN2,25,0,0.25
TPM__BCAR1,25,0,0.25
METH__MIR765,25,0,0.25
METH__CRIM1,25,1,0.25
METH__B2M,25,1,0.25
TPM__CAMK2N1,25,4,0.25
TPM__AGAP2-AS1,25,6,0.25
METH__ACTN1,25,0,0.25
METH__KCNK1,25,1,0.25
METH__ARHGEF10,24,1,0.24
METH__ARNTL,24,0,0.24
METH__CDKN2D,24,2,0.24
METH__RHOBTB1,23,0,0.23
METH__SEC14L2,23,1,0.23
METH__LYPD6,23,1,0.23
TPM__PLCG2,23,1,0.23
METH__CASZ1,22,0,0.22
METH__RUFY1,22,5,0.22
METH__RBM9,22,1,0.22
TPM__SH3D19,22,0,0.22
TPM__EPHA2,21,0,0.21
TPM__CLDN12,21,0,0.21
TPM__KIFBP,21,0,0.21
TPM__EPS8,21,3,0.21
TPM__SHB,21,3,0.21
TPM__AGAP2,21,0,0.21
TPM__ENC1,21,1,0.21
TPM__PLEKHA1,21,0,0.21
TPM__ADAM9,20,1,0.2
TPM__MANSC1,20,1,0.2
TPM__DAG1,20,0,0.2
TPM__RCSD1,20,0,0.2
TPM__FCHO2,20,0,0.2
TPM__RASAL2,20,0,0.2
METH__ZNF214,20,0,0.2
TPM__SOX13,20,0,0.2
TPM__GAS2L3,20,5,0.2
METH__RGS1,20,6,0.2
METH__C15orf52,20,0,0.2
TPM__PPP1R26,19,1,0.19
TPM__TMEM17,19,5,0.19
TPM__LYL1,19,0,0.19
METH__FEZF1,19,0,0.19
TPM__EVI2B,19,0,0.19
TPM__SPATS2L,19,0,0.19
TPM__IL2RG,19,0,0.19
TPM__RPL3,19,0,0.19
METH__GALNT11,19,1,0.19
TPM__FBXL2,19,2,0.19
TPM__SNX24,18,1,0.18
METH__FBLN5,18,2,0.18
METH__IMPAD1,18,0,0.18
TPM__FARP1,18,5,0.18
METH__AFAP1,18,1,0.18
TPM__PAK4,18,6,0.18
METH__B3GNT5,18,6,0.18
TPM__SLC49A4,17,1,0.17
TPM__RND3,17,0,0.17
METH__PWWP2A,17,0,0.17
TPM__TJP1,17,0,0.17
TPM__RAPH1,17,4,0.17
TPM__PON2,17,2,0.17
TPM__CCDC69,17,5,0.17
TPM__CHMP3,17,1,0.17
TPM__SEPTIN6,17,0,0.17
TPM__INPP5D,17,0,0.17
METH__JPH1,17,1,0.17
TPM__DOCK2,16,4,0.16
TPM__LAPTM5,16,0,0.16
TPM__ERRFI1,16,1,0.16
TPM__SLC2A5,16,4,0.16
METH__LGI2,16,0,0.16
TPM__SHTN1,16,2,0.16
TPM__ZNF223,16,1,0.16
TPM__SRGAP1,16,2,0.16
METH__LCA5,16,0,0.16
METH__CCNJL,15,2,0.15
TPM__HVCN1,15,0,0.15
TPM__ASAP2,15,2,0.15
TPM__IKZF1,15,0,0.15
METH__SASH1,15,0,0.15
METH__C17orf87,15,1,0.15
TPM__RASGRP2,15,1,0.15
METH__BEAN,15,0,0.15
TPM__TNFRSF12A,15,0,0.15
METH__APOB48R,15,0,0.15
TPM__CMTM4,15,0,0.15
METH__OPHN1,15,0,0.15
METH__SPIRE2,15,0,0.15
TPM__VAMP3,14,1,0.14
TPM__AMOTL2,14,1,0.14
METH__SYTL4,14,1,0.14
METH__ANKRD44,14,5,0.14
METH__FAM110C,14,1,0.14
TPM__GOLM1,14,3,0.14
TPM__GNG12,14,0,0.14
METH__PCDP1,14,0,0.14
TPM__TBC1D10C,14,0,0.14
TPM__MANBAL,14,0,0.14
METH__ITGA1,14,0,0.14
TPM__ZNF112,14,1,0.14
TPM__APBB1IP,14,0,0.14
TPM__ARHGAP39,14,2,0.14
METH__PLEKHA5,14,1,0.14
TPM__MORN2,14,2,0.14
METH__LAMB1,13,0,0.13
METH__ONECUT2,13,0,0.13
TPM__RHOH,13,0,0.13
TPM__LMNA,13,0,0.13
TPM__PHLDB1,13,0,0.13
TPM__MAP4K3,13,1,0.13
METH__EXOC6B,13,0,0.13
TPM__FHL2,13,0,0.13
TPM__CCDC40,13,2,0.13
METH__PIGM,13,5,0.13
TPM__CDC42BPA,13,0,0.13
TPM__WLS,13,2,0.13
TPM__SDC1,13,0,0.13
TPM__PRSS23,13,2,0.13
TPM__ARHGAP9,13,0,0.13
METH__CLEC2D,12,1,0.12
METH__CXCR3,12,2,0.12
METH__GHRLOS,12,0,0.12
TPM__ARHGAP15,12,0,0.12
METH__PLEKHA1,12,0,0.12
TPM__MFNG,12,0,0.12
METH__ZNF462,12,0,0.12
TPM__PPIC,12,0,0.12
TPM__EPN2,12,2,0.12
TPM__RHPN2,12,2,0.12
TPM__MYB,11,1,0.11
METH__SLC44A2,11,0,0.11
TPM__NR2F2,11,2,0.11
TPM__PFN2,11,2,0.11
METH__LRIG3,11,0,0.11
TPM__APP,11,0,0.11
METH__STK32A,11,3,0.11
TPM__IQCJ-SCHIP1,11,0,0.11
TPM__SLC1A3-AS1,11,2,0.11
METH__CACNA2D1,11,3,0.11
TPM__CORO1A,11,0,0.11
TPM__UACA,11,2,0.11
TPM__PLS3,11,2,0.11
METH__FAT1,11,0,0.11
METH__TBC1D10C,11,0,0.11
TPM__ITGA3,11,0,0.11
TPM__SNX21,11,4,0.11
TPM__PTK2,11,0,0.11
METH__CD1C,10,1,0.1
METH__LOC100302401,10,0,0.1
METH__DDAH1,10,0,0.1
TPM__SLC35D2,10,4,0.1
TPM__CD151,10,0,0.1
TPM__FNBP1L,10,3,0.1
METH__NR2F2,10,0,0.1
METH__CCDC88B,10,0,0.1
METH__PDLIM3,10,2,0.1
