feature,Selection count,Pair count,CPSS Score
METH__C14orf128,100,50,1.0
METH__TEAD4,100,50,1.0
METH__PPIC,100,50,1.0
METH__LNPEP,100,50,1.0
METH__SLC1A1,100,50,1.0
METH__ZNF697,100,50,1.0
METH__FAT1,100,50,1.0
METH__AGPHD1,100,50,1.0
METH__LRP6,99,49,0.99
METH__C7orf70,99,49,0.99
METH__TOP2A,98,48,0.98
METH__NR4A2,93,43,0.93
CNV__NPEPPS,87,37,0.87
METH__TTC21A,87,37,0.87
METH__MAFF,85,35,0.85
CNV__SPOP,84,34,0.84
METH__ID1,83,33,0.83
METH__ZNRF3,82,32,0.82
METH__ARHGEF17,82,34,0.82
METH__TMEM44,80,30,0.8
CNV__LPP,78,28,0.78
CNV__HLF,78,29,0.78
CNV__AXIN1,78,29,0.78
CNV__SALL4,78,29,0.78
METH__DSN1,77,28,0.77
CNV__MB21D2,77,27,0.77
METH__POLB,76,28,0.76
CNV__TP63,75,27,0.75
METH__TMEM161A,74,26,0.74
METH__SNORA78,73,24,0.73
METH__MOBKL1A,72,22,0.72
CNV__COL1A1,72,22,0.72
METH__RASA2,68,21,0.68
CNV__NFKBIA,67,18,0.67
CNV__CD79B,65,21,0.65
METH__ZKSCAN5,64,18,0.64
CNV__GNA13,63,19,0.63
METH__SKI,60,17,0.6
CNV__BCL6,60,15,0.6
CNV__LASP1,59,16,0.59
CNV__NKX2-1,59,15,0.59
CNV__ZBTB16,58,17,0.58
CNV__ETV4,57,11,0.57
CNV__AXIN2,57,12,0.57
CNV__PCDH17,57,11,0.57
CNV__RNF6,56,11,0.56
CNV__NSD3,56,12,0.56
CNV__FGFR1,55,14,0.55
CNV__MAP2K1,52,11,0.52
METH__NDUFA11,51,14,0.51
METH__ARMC10,51,12,0.51
METH__CNOT1,51,12,0.51
CNV__CRNKL1,49,13,0.49
CNV__CREB3L1,49,8,0.49
CNV__RASA1,49,9,0.49
METH__KIAA1328,48,9,0.48
CNV__CBLB,47,8,0.47
CNV__WRN,47,11,0.47
CNV__NRG1,47,9,0.47
CNV__PPM1D,46,9,0.46
CNV__TCIRG1,46,12,0.46
CNV__PDE4DIP,46,10,0.46
CNV__RGL3,45,6,0.45
CNV__PIK3R1,44,6,0.44
METH__SPHK2,44,5,0.44
CNV__IKZF3,43,9,0.43
METH__C13orf34,42,5,0.42
CNV__TSC1,42,6,0.42
METH__INPPL1,42,3,0.42
CNV__PLCB4,42,6,0.42
CNV__KDM3B,42,8,0.42
METH__PPAPDC1B,42,6,0.42
CNV__FANCF,42,4,0.42
CNV__EFTUD2,41,8,0.41
CNV__HSPG2,41,7,0.41
CNV__TCF7L2,41,5,0.41
CNV__SOS1,41,7,0.41
CNV__BRD7,40,7,0.4
CNV__CANT1,40,5,0.4
METH__FAM167A,40,3,0.4
CNV__CYSLTR2,40,7,0.4
CNV__HOOK3,40,6,0.4
METH__POM121,39,4,0.39
METH__ZNF74,39,6,0.39
CNV__ZBTB7B,39,5,0.39
CNV__RB1,38,5,0.38
CNV__NF1,38,5,0.38
CNV__SMARCB1,38,8,0.38
CNV__SUSD2,37,4,0.37
CNV__SUFU,37,4,0.37
CNV__ID3,37,5,0.37
METH__HN1L,37,2,0.37
CNV__BRCA1,37,4,0.37
METH__PNN,37,6,0.37
CNV__FLT3,36,4,0.36
CNV__CDK12,36,4,0.36
CNV__SOHLH2,36,7,0.36
CNV__LATS2,35,3,0.35
METH__EIF5B,34,1,0.34
METH__CEP70,34,2,0.34
CNV__WNK4,34,6,0.34
METH__ATG2B,33,5,0.33
CNV__EXT2,33,3,0.33
CNV__CDX2,33,4,0.33
CNV__ARID1A,33,6,0.33
CNV__NT5C2,32,4,0.32
