feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
METH__FGFR1OP,100,50,1.0,0.03999999910593033,-0.13,0.19,True,1.0
METH__MIR574,100,50,1.0,0.05000000074505806,-0.27,0.19,True,1.0
METH__S100A2,100,50,1.0,0.07999999821186066,-0.27,0.18,True,1.0
METH__CD276,100,50,1.0,0.029999999329447746,-0.09,0.19,True,1.0
METH__GPN3,99,49,0.99,0.05000000074505806,0.23,0.2,True,1.0
METH__CMTM1,99,49,0.99,0.019999999552965164,0.16,0.2,True,1.0
METH__CEBPD,97,47,0.97,0.029999999329447746,-0.13,0.2,True,0.992
CNV__CDKN2A,97,47,0.97,0.009999999776482582,-0.09,0.19,True,0.992
METH__PCCA,96,46,0.96,0.029999999329447746,-0.14,0.23,True,0.832
METH__C6orf217,95,45,0.95,0.019999999552965164,-0.18,0.19,True,0.458
METH__C7orf70,93,43,0.93,0.029999999329447746,0.12,0.22,True,0.053
METH__EFNA5,93,43,0.93,0.019999999552965164,-0.13,0.22,True,0.053
CNV__LIFR,90,40,0.9,0.019999999552965164,0.15,0.19,False,0.0
METH__PDXP,88,38,0.88,0.019999999552965164,0.19,0.19,False,0.0
METH__SNORD49B,84,34,0.84,0.009999999776482582,0.13,0.24,False,0.0
CNV__GNA13,84,36,0.84,0.019999999552965164,0.12,0.18,False,0.0
TPM__SNORA47,82,34,0.82,0.009999999776482582,-0.11,0.22,False,0.0
METH__MRTO4,80,30,0.8,0.009999999776482582,0.1,0.18,False,0.0
CNV__ING1,78,29,0.78,0.0,-0.02,0.19,False,0.0
MUT__PIK3CA,78,28,0.78,0.019999999552965164,0.18,0.19,False,0.0
METH__TIAL1,77,27,0.77,0.009999999776482582,0.18,0.2,False,0.0
CNV__H3-3B,76,27,0.76,0.019999999552965164,0.11,0.18,False,0.0
TPM__SNORD22,76,28,0.76,0.0,-0.02,0.19,False,0.0
CNV__ERCC5,74,25,0.74,0.0,-0.03,0.2,False,0.0
CNV__PLCB4,73,26,0.73,0.009999999776482582,0.09,0.2,False,0.0
CNV__MALT1,73,25,0.73,0.009999999776482582,-0.09,0.2,False,0.0
CNV__NXF1,71,21,0.71,0.019999999552965164,0.16,0.2,False,0.0
CNV__TCF4,70,25,0.7,0.009999999776482582,-0.09,0.21,False,0.0
CNV__SRSF2,70,22,0.7,0.009999999776482582,0.1,0.19,False,0.0
CNV__RASA2,69,20,0.69,0.029999999329447746,0.15,0.19,False,0.0
CNV__NSD3,68,24,0.68,0.0,0.02,0.21,False,0.0
CNV__SOX21,67,21,0.67,0.0,-0.02,0.2,False,0.0
CNV__FGFR1,67,20,0.67,0.0,0.03,0.21,False,0.0
CNV__CLTC,67,20,0.67,0.019999999552965164,0.12,0.19,False,0.0
METH__C2orf42,65,22,0.65,0.0,-0.05,0.2,False,0.0
CNV__CYSLTR2,65,17,0.65,0.0,0.0,0.17,False,0.0
CNV__RB1,65,17,0.65,0.0,0.01,0.18,False,0.0
MUT__PTEN,64,16,0.64,0.009999999776482582,0.1,0.19,False,0.0
METH__AAK1,64,18,0.64,0.019999999552965164,0.15,0.2,False,0.0
CNV__NFIB,64,19,0.64,0.0,0.03,0.2,False,0.0
CNV__NDRG1,64,19,0.64,0.009999999776482582,0.12,0.2,False,0.0
CNV__HLA-A,63,17,0.63,0.009999999776482582,0.1,0.18,False,0.0
CNV__PAK2,63,18,0.63,0.019999999552965164,0.14,0.18,False,0.0
TPM__SNORA80D,62,18,0.62,0.0,-0.06,0.21,False,0.0
CNV__ZNF331,61,16,0.61,0.019999999552965164,0.12,0.18,False,0.0
CNV__PTPRB,61,15,0.61,0.009999999776482582,0.11,0.23,False,0.0
METH__UQCRH,61,14,0.61,0.019999999552965164,0.11,0.2,False,0.0
CNV__RAD51C,60,15,0.6,0.019999999552965164,0.12,0.18,False,0.0
CNV__KDSR,59,14,0.59,0.009999999776482582,-0.07,0.19,False,0.0
TPM__ATP5F1EP2,59,17,0.59,0.0,0.05,0.2,False,0.0
METH__TTC35,57,14,0.57,0.009999999776482582,-0.03,0.19,False,0.0
CNV__BCL2,57,14,0.57,0.009999999776482582,-0.07,0.19,False,0.0
TPM__SNORA29,57,13,0.57,0.0,-0.01,0.19,False,0.0
METH__PPP2R5B,55,7,0.55,0.009999999776482582,-0.05,0.18,True,0.053
METH__PIK3C3,55,14,0.55,0.0,0.09,0.2,False,0.0
METH__PLDN,55,8,0.55,0.009999999776482582,0.12,0.2,False,0.013
CNV__GNAQ,55,12,0.55,0.009999999776482582,0.09,0.18,False,0.0
CNV__BCL2L12,54,13,0.54,0.019999999552965164,0.13,0.2,False,0.0
CNV__HOOK3,54,14,0.54,0.0,0.04,0.19,False,0.0
CNV__MRTFA,53,10,0.53,0.0,0.02,0.21,False,0.0
METH__TMEM187,51,10,0.51,0.009999999776482582,0.02,0.18,False,0.0
METH__SNORA78,51,10,0.51,0.0,0.08,0.2,False,0.0
