feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__BCL2,100,50,1.0,0.30000001192092896,-0.42,0.2,True,1.0
TPM__SMIM24,97,47,0.97,0.1599999964237213,-0.3,0.08,True,0.992
METH__DIABLO,93,43,0.93,0.1599999964237213,0.28,0.12,True,0.053
TPM__HAUS1,92,42,0.92,0.17000000178813934,-0.38,0.12,False,0.013
TPM__LPP,91,41,0.91,0.14000000059604645,0.34,0.12,False,0.002
METH__RIMBP2,88,38,0.88,0.2199999988079071,-0.38,0.12,False,0.0
TPM__NFYA,86,36,0.86,0.12999999523162842,-0.32,0.05,False,0.0
TPM__TMBIM1,82,32,0.82,0.17000000178813934,0.33,0.16,False,0.0
TPM__ZNF491,79,29,0.79,0.14000000059604645,-0.29,0.1,False,0.0
TPM__ANXA5,79,29,0.79,0.20999999344348907,0.42,0.16,False,0.0
TPM__E2F2,79,29,0.79,0.15000000596046448,-0.34,0.12,False,0.0
METH__MTX3,77,27,0.77,0.12999999523162842,-0.26,0.08,False,0.0
TPM__RRAS,76,26,0.76,0.1899999976158142,0.37,0.12,False,0.0
TPM__FEZ2,76,26,0.76,0.17000000178813934,0.41,0.12,False,0.0
TPM__TADA1,73,24,0.73,0.14000000059604645,-0.35,0.11,False,0.0
TPM__VASH2,73,23,0.73,0.14000000059604645,-0.31,0.05,False,0.0
TPM__HTRA1,71,21,0.71,0.15000000596046448,0.37,0.07,False,0.0
TPM__TSPOAP1,71,21,0.71,0.2199999988079071,-0.41,0.14,False,0.0
METH__UBC,70,21,0.7,0.14000000059604645,-0.3,0.2,False,0.0
TPM__ZGRF1,67,17,0.67,0.12999999523162842,-0.32,0.02,False,0.0
TPM__ZNF195,67,18,0.67,0.15000000596046448,-0.37,0.11,False,0.0
TPM__SYDE1,67,20,0.67,0.17000000178813934,0.4,0.14,False,0.0
TPM__UTP14C,66,16,0.66,0.12999999523162842,-0.33,0.1,False,0.0
METH__NACC2,65,15,0.65,0.15000000596046448,-0.31,0.14,False,0.0
