feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__MTO1,99,49,0.99,0.15000000596046448,-0.3,0.11,True,1.0
METH__ABL1,96,46,0.96,0.12999999523162842,-0.23,0.09,True,0.832
TPM__PLK2,87,37,0.87,0.12999999523162842,0.35,0.11,False,0.0
TPM__SLC2A8,86,36,0.86,0.14000000059604645,0.3,0.09,False,0.0
TPM__POLR1H,86,36,0.86,0.15000000596046448,-0.33,0.1,False,0.0
TPM__ARHGEF6,85,35,0.85,0.18000000715255737,-0.34,0.11,False,0.0
METH__TSPAN6,85,35,0.85,0.12999999523162842,-0.23,0.1,False,0.0
TPM__TMEM54,84,34,0.84,0.14000000059604645,0.31,0.12,False,0.0
TPM__ADAT2,83,33,0.83,0.14000000059604645,-0.3,0.07,False,0.0
METH__MGAT1,82,32,0.82,0.1899999976158142,0.36,0.11,False,0.0
TPM__SPATS2L,79,29,0.79,0.1899999976158142,0.41,0.09,False,0.0
TPM__WFS1,78,28,0.78,0.1599999964237213,0.3,0.13,False,0.0
METH__ARHGAP15,78,28,0.78,0.14000000059604645,0.32,0.13,False,0.0
TPM__PHF7,77,28,0.77,0.14000000059604645,-0.32,0.1,False,0.0
METH__CCDC88B,75,25,0.75,0.12999999523162842,0.34,0.11,False,0.0
METH__NMT2,72,22,0.72,0.14000000059604645,0.24,0.11,False,0.0
TPM__RAPH1,72,22,0.72,0.15000000596046448,0.3,0.17,False,0.0
TPM__TRG-AS1,71,22,0.71,0.20999999344348907,-0.36,0.19,False,0.0
TPM__NPTN,71,22,0.71,0.14000000059604645,0.36,0.15,False,0.0
TPM__YAP1,69,20,0.69,0.20000000298023224,0.4,0.14,False,0.0
TPM__DCBLD2,64,15,0.64,0.15000000596046448,0.4,0.13,False,0.0
METH__RASAL2,64,16,0.64,0.14000000059604645,-0.36,0.08,False,0.0
METH__HMGB1,63,14,0.63,0.12999999523162842,0.39,0.14,False,0.0
