feature,Selection count,Pair count,CPSS Score
TPM__PGAP3,94,44,0.94
TPM__BCL2L1,93,43,0.93
TPM__DNASE1L1,91,41,0.91
TPM__LRRFIP1P1,90,40,0.9
METH__TUG1,86,36,0.86
METH__MORC2,86,36,0.86
TPM__TGIF2,79,29,0.79
TPM__LURAP1L,77,27,0.77
METH__KRTAP5-1,76,26,0.76
TPM__SLC25A21-AS1,73,23,0.73
TPM__CEACAM6,72,22,0.72
METH__HMGB1,72,22,0.72
TPM__ELOVL7,71,21,0.71
METH__TLR2,71,22,0.71
TPM__RHPN2,70,21,0.7
TPM__RPL26,68,19,0.68
TPM__DSP,66,18,0.66
METH__DIP2B,64,15,0.64
TPM__NGEF,63,13,0.63
METH__ABHD10,63,14,0.63
TPM__EIF3D,61,12,0.61
TPM__KRT7-AS,60,13,0.6
TPM__TRAC,60,11,0.6
TPM__TMEM191A,59,11,0.59
TPM__SPATS2L,59,10,0.59
METH__LMCD1,57,10,0.57
TPM__WNT9A,56,9,0.56
TPM__PLPP2,56,7,0.56
TPM__ADPRM,56,10,0.56
TPM__RPS12,55,8,0.55
TPM__SLC16A1-AS1,54,5,0.54
TPM__TP53I3,53,5,0.53
METH__LOC222699,52,7,0.52
TPM__CAPN8,52,4,0.52
METH__TNK1,52,6,0.52
TPM__PEX11G,52,6,0.52
METH__RGS12,51,6,0.51
TPM__TMC5,51,7,0.51
METH__SNX3,51,7,0.51
TPM__MUC1,51,4,0.51
METH__YPEL2,50,5,0.5
TPM__CRACDL,48,3,0.48
TPM__AGAP2,48,5,0.48
TPM__LCMT1-AS1,47,6,0.47
TPM__PERP,46,4,0.46
TPM__GIPC1,46,1,0.46
TPM__TSPAN1,46,2,0.46
TPM__TJP1,46,2,0.46
TPM__SQSTM1,46,5,0.46
TPM__ENPP5,44,3,0.44
TPM__ARHGAP39,44,2,0.44
METH__ZNF579,43,2,0.43
TPM__SLC2A8,43,3,0.43
TPM__MAGIX,42,2,0.42
TPM__SPIRE1,41,0,0.41
METH__SNRPA1,41,0,0.41
TPM__INHBB,41,3,0.41
METH__ME1,41,2,0.41
TPM__MTARC2,40,1,0.4
TPM__SDSL,40,2,0.4
TPM__ATP8B1,40,4,0.4
TPM__MB,39,0,0.39
METH__ABHD5,39,1,0.39
TPM__TSPAN15,39,1,0.39
METH__FUCA2,38,4,0.38
TPM__ARHGEF16,38,1,0.38
TPM__KRT7,37,0,0.37
METH__TRIM44,37,2,0.37
TPM__CDH1,37,1,0.37
TPM__PSTPIP1,36,1,0.36
METH__OVOL2,36,1,0.36
METH__DNAH7,36,0,0.36
METH__FOXA1,36,2,0.36
TPM__ARHGEF6,36,0,0.36
TPM__CHMP3,36,2,0.36
TPM__ALDH3B1,35,1,0.35
METH__BDKRB2,34,0,0.34
TPM__ARFGEF3,34,1,0.34
TPM__ESRP2,33,0,0.33
TPM__EPB41L4B,33,1,0.33
TPM__MYO6,33,2,0.33
TPM__RPL13A,32,2,0.32
METH__LOC100130776,32,1,0.32
METH__ECHDC2,32,0,0.32
TPM__ABCC3,31,1,0.31
METH__B3GNT4,31,0,0.31
TPM__STBD1,31,0,0.31
TPM__IQSEC2,31,0,0.31
METH__CDC14B,31,0,0.31
TPM__CLDN7,31,0,0.31
TPM__CTSD,31,1,0.31
TPM__CLDN4,31,0,0.31
TPM__RPL10A,30,2,0.3
TPM__IL13RA1,30,0,0.3
