feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__METRN,97,47,0.97,0.17000000178813934,0.38,0.13,True,0.992
TPM__PDCD6IP-DT,96,46,0.96,0.20000000298023224,0.46,0.16,True,0.832
TPM__SHANK1,94,44,0.94,0.1599999964237213,-0.24,0.18,True,0.181
TPM__APLP2,89,39,0.89,0.17000000178813934,0.41,0.12,False,0.0
TPM__HNRNPA1,86,36,0.86,0.17000000178813934,-0.46,0.17,False,0.0
TPM__FANCE,84,34,0.84,0.1599999964237213,-0.39,0.07,False,0.0
METH__C22orf15,83,33,0.83,0.1599999964237213,0.29,0.11,False,0.0
METH__RASAL2,83,33,0.83,0.15000000596046448,-0.39,0.14,False,0.0
TPM__DCBLD2,83,33,0.83,0.17000000178813934,0.43,0.13,False,0.0
TPM__TCF4,81,31,0.81,0.20999999344348907,-0.46,0.14,False,0.0
TPM__CTSA,80,30,0.8,0.20000000298023224,0.47,0.18,False,0.0
TPM__CUEDC1,79,29,0.79,0.1599999964237213,0.37,0.12,False,0.0
TPM__AGRN,78,28,0.78,0.18000000715255737,0.42,0.13,False,0.0
TPM__NPTN,78,28,0.78,0.15000000596046448,0.41,0.13,False,0.0
TPM__EVL,77,27,0.77,0.18000000715255737,-0.45,0.19,False,0.0
METH__CUL1,76,26,0.76,0.17000000178813934,0.35,0.1,False,0.0
METH__DKFZp434J0226,75,25,0.75,0.15000000596046448,0.37,0.1,False,0.0
TPM__EPS8,73,23,0.73,0.1899999976158142,0.44,0.13,False,0.0
TPM__SYTL2,70,20,0.7,0.1599999964237213,0.42,0.09,False,0.0
TPM__TMEM51,70,20,0.7,0.17000000178813934,0.37,0.15,False,0.0
TPM__SOX13,68,19,0.68,0.15000000596046448,0.38,0.09,False,0.0
TPM__RBM10,68,18,0.68,0.1599999964237213,-0.41,0.13,False,0.0
TPM__KIF21B,67,21,0.67,0.17000000178813934,-0.39,0.15,False,0.0
TPM__PSAP,67,17,0.67,0.1599999964237213,0.42,0.1,False,0.0
TPM__ZCCHC3,67,17,0.67,0.20000000298023224,-0.46,0.16,False,0.0
TPM__CD72,65,15,0.65,0.1599999964237213,-0.29,0.08,False,0.0
TPM__PPP1R16B,65,19,0.65,0.18000000715255737,-0.4,0.23,False,0.0
TPM__AVPI1,65,16,0.65,0.17000000178813934,0.42,0.13,False,0.0
TPM__ATXN7L2,63,14,0.63,0.18000000715255737,-0.42,0.15,False,0.0
TPM__PTGR1,63,14,0.63,0.1599999964237213,0.36,0.1,False,0.0
TPM__HDAC11,62,13,0.62,0.20999999344348907,0.45,0.13,False,0.0
TPM__PKP3,62,12,0.62,0.15000000596046448,0.41,0.14,False,0.0
TPM__LMO2,62,15,0.62,0.1599999964237213,-0.26,0.07,False,0.0
TPM__RIOK1,61,14,0.61,0.15000000596046448,-0.39,0.13,False,0.0
TPM__TM4SF1,60,14,0.6,0.25999999046325684,0.5,0.23,False,0.0
TPM__NPAS2,60,12,0.6,0.18000000715255737,0.44,0.15,False,0.0
TPM__ANKLE1,60,10,0.6,0.25999999046325684,-0.49,0.17,False,0.0
TPM__PLS3,59,12,0.59,0.1599999964237213,0.38,0.07,False,0.0
TPM__BEND5,59,10,0.59,0.17000000178813934,-0.34,0.12,False,0.0
TPM__MYO1E,58,11,0.58,0.1599999964237213,0.37,0.16,False,0.0
METH__DGKZ,58,10,0.58,0.18000000715255737,0.41,0.1,False,0.0
TPM__IL13RA1,58,8,0.58,0.20000000298023224,0.39,0.17,False,0.013
TPM__PLPP2,57,10,0.57,0.23000000417232513,0.46,0.12,False,0.0
METH__PFKFB2,57,9,0.57,0.18000000715255737,-0.43,0.14,False,0.002
TPM__OSBPL10,56,8,0.56,0.1599999964237213,0.39,0.12,False,0.013
TPM__PARVG,56,8,0.56,0.1599999964237213,-0.34,0.18,False,0.013
TPM__ABHD11,56,9,0.56,0.1599999964237213,0.41,0.07,False,0.002
TPM__SLC35D2,54,10,0.54,0.2800000011920929,0.49,0.27,False,0.0
METH__FCHO2,54,9,0.54,0.18000000715255737,-0.43,0.13,False,0.002
TPM__N4BP2,52,7,0.52,0.20000000298023224,-0.43,0.16,True,0.053
TPM__CARMIL2,51,7,0.51,0.17000000178813934,-0.4,0.15,True,0.053
TPM__CRYZL2P,50,5,0.5,0.17000000178813934,0.44,0.17,True,0.458
METH__NCRNA00111,50,7,0.5,0.20000000298023224,-0.45,0.17,True,0.053
TPM__PLEKHN1,50,6,0.5,0.18000000715255737,0.44,0.17,True,0.181
TPM__VWCE,50,7,0.5,0.17000000178813934,-0.34,0.1,True,0.053
TPM__MVP,50,7,0.5,0.1599999964237213,0.39,0.13,True,0.053
TPM__PBRM1,49,5,0.49,0.1599999964237213,-0.39,0.11,True,0.458
TPM__ATF5,48,6,0.48,0.1599999964237213,-0.33,0.11,True,0.181
TPM__ZNF184,48,4,0.48,0.1599999964237213,-0.4,0.1,True,0.832
TPM__GULP1,47,4,0.47,0.17000000178813934,0.39,0.15,True,0.832
TPM__GPR39,47,2,0.47,0.18000000715255737,0.45,0.15,True,1.0
TPM__RGL3,43,4,0.43,0.1599999964237213,0.41,0.11,True,0.832
TPM__EBF1,43,3,0.43,0.1899999976158142,-0.36,0.15,True,0.992
TPM__DDN,43,5,0.43,0.1899999976158142,-0.42,0.15,True,0.458
TPM__E2F2,42,0,0.42,0.1599999964237213,-0.38,0.16,False,
TPM__CRIM1-DT,42,3,0.42,0.1599999964237213,0.42,0.18,True,0.992
TPM__AREG,42,2,0.42,0.1599999964237213,0.42,0.17,True,1.0
TPM__ADAMTSL5,42,2,0.42,0.1599999964237213,0.4,0.13,True,1.0
TPM__UBTD1,41,1,0.41,0.18000000715255737,0.42,0.15,True,1.0
METH__SNORD125,41,2,0.41,0.1599999964237213,0.33,0.15,True,1.0
TPM__TRAF3IP2-AS1,41,3,0.41,0.1599999964237213,-0.4,0.13,True,0.992
METH__C1orf55,41,2,0.41,0.2199999988079071,0.37,0.18,True,1.0
TPM__ZCCHC7,41,6,0.41,0.18000000715255737,-0.35,0.05,True,0.181
METH__FAIM3,40,3,0.4,0.18000000715255737,0.39,0.11,True,0.992
