feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue,threshold_type,threshold_value,above_threshold
TPM__ARHGAP15,100,50,1.0,0.1899999976158142,-0.36,0.23,True,1.0,unimodal,0.71,True
TPM__TM4SF1,100,50,1.0,0.25999999046325684,0.5,0.23,True,1.0,unimodal,0.71,True
METH__MIR574,100,50,1.0,0.15000000596046448,-0.43,0.25,True,1.0,unimodal,0.71,True
METH__PTPN14,100,50,1.0,0.12999999523162842,-0.42,0.24,True,1.0,unimodal,0.71,True
METH__LAMB2,100,50,1.0,0.14000000059604645,-0.12,0.23,True,1.0,unimodal,0.71,True
TPM__SLC35D2,100,50,1.0,0.2800000011920929,0.49,0.27,True,1.0,unimodal,0.71,True
TPM__TM4SF1-AS1,100,50,1.0,0.11999999731779099,0.48,0.23,True,1.0,unimodal,0.71,True
TPM__PPP1R16B,100,50,1.0,0.18000000715255737,-0.4,0.23,True,1.0,unimodal,0.71,True
METH__DSTN,100,50,1.0,0.1599999964237213,-0.39,0.26,True,1.0,unimodal,0.71,True
METH__TCF3,100,50,1.0,0.20000000298023224,0.42,0.24,True,1.0,unimodal,0.71,True
TPM__MYOF,100,50,1.0,0.30000001192092896,0.52,0.24,True,1.0,unimodal,0.71,True
TPM__IRAG2,100,50,1.0,0.1899999976158142,-0.33,0.23,True,1.0,unimodal,0.71,True
TPM__HKDC1,100,50,1.0,0.14000000059604645,0.47,0.24,True,1.0,unimodal,0.71,True
TPM__PDE1B,100,50,1.0,0.25,-0.43,0.25,True,1.0,unimodal,0.71,True
METH__LMCD1,100,50,1.0,0.14000000059604645,-0.4,0.23,True,1.0,unimodal,0.71,True
TPM__UGT1A1,100,50,1.0,0.05000000074505806,0.32,0.24,True,1.0,unimodal,0.71,True
TPM__KRT15,100,50,1.0,0.11999999731779099,0.44,0.23,True,1.0,unimodal,0.71,True
TPM__PPIC,100,50,1.0,0.30000001192092896,0.48,0.27,True,1.0,unimodal,0.71,True
METH__BCL9L,100,50,1.0,0.23000000417232513,-0.48,0.22,True,1.0,unimodal,0.71,True
TPM__NCKAP1L,100,50,1.0,0.30000001192092896,-0.39,0.25,True,1.0,unimodal,0.71,True
METH__AP1B1,100,50,1.0,0.17000000178813934,0.33,0.28,True,1.0,unimodal,0.71,True
TPM__GRAMD2B,100,50,1.0,0.20999999344348907,0.47,0.23,True,1.0,unimodal,0.71,True
TPM__PIK3CG,100,50,1.0,0.18000000715255737,-0.3,0.26,True,1.0,unimodal,0.71,True
METH__FAM114A1,99,49,0.99,0.14000000059604645,-0.44,0.28,True,1.0,unimodal,0.71,True
METH__RASSF3,99,49,0.99,0.009999999776482582,0.11,0.23,True,1.0,unimodal,0.71,True
METH__GPX4,99,49,0.99,0.10000000149011612,-0.4,0.22,True,1.0,unimodal,0.71,True
METH__SUOX,98,48,0.98,0.10999999940395355,-0.29,0.22,True,1.0,unimodal,0.71,True
METH__TMEM49,97,47,0.97,0.17000000178813934,-0.37,0.28,True,0.992,unimodal,0.71,True
METH__ACTN1,96,46,0.96,0.10000000149011612,-0.3,0.22,True,0.832,unimodal,0.71,True
METH__ZNF697,96,46,0.96,0.10999999940395355,-0.24,0.27,True,0.832,unimodal,0.71,True
METH__C6orf217,95,45,0.95,0.07999999821186066,-0.33,0.22,True,0.458,unimodal,0.71,True
METH__ARHGAP5,94,44,0.94,0.07000000029802322,-0.31,0.27,True,0.181,unimodal,0.71,True
METH__KLF4,90,40,0.9,0.09000000357627869,-0.27,0.24,False,0.0,worst_case,0.8960016835016835,True
