feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__ARHGAP15,100,50,1.0,0.1899999976158142,-0.36,0.23,True,1.0
TPM__TM4SF1,100,50,1.0,0.25999999046325684,0.5,0.23,True,1.0
METH__MIR574,100,50,1.0,0.15000000596046448,-0.43,0.25,True,1.0
METH__PTPN14,100,50,1.0,0.12999999523162842,-0.42,0.24,True,1.0
METH__LAMB2,100,50,1.0,0.14000000059604645,-0.12,0.23,True,1.0
TPM__SLC35D2,100,50,1.0,0.2800000011920929,0.49,0.27,True,1.0
TPM__TM4SF1-AS1,100,50,1.0,0.11999999731779099,0.48,0.23,True,1.0
TPM__PPP1R16B,100,50,1.0,0.18000000715255737,-0.4,0.23,True,1.0
METH__DSTN,100,50,1.0,0.1599999964237213,-0.39,0.26,True,1.0
METH__TCF3,100,50,1.0,0.20000000298023224,0.42,0.24,True,1.0
TPM__MYOF,100,50,1.0,0.30000001192092896,0.52,0.24,True,1.0
TPM__IRAG2,100,50,1.0,0.1899999976158142,-0.33,0.23,True,1.0
TPM__HKDC1,100,50,1.0,0.14000000059604645,0.47,0.24,True,1.0
TPM__PDE1B,100,50,1.0,0.25,-0.43,0.25,True,1.0
METH__LMCD1,100,50,1.0,0.14000000059604645,-0.4,0.23,True,1.0
TPM__UGT1A1,100,50,1.0,0.05000000074505806,0.32,0.24,True,1.0
TPM__KRT15,100,50,1.0,0.11999999731779099,0.44,0.23,True,1.0
TPM__PPIC,100,50,1.0,0.30000001192092896,0.48,0.27,True,1.0
METH__BCL9L,100,50,1.0,0.23000000417232513,-0.48,0.22,True,1.0
TPM__NCKAP1L,100,50,1.0,0.30000001192092896,-0.39,0.25,True,1.0
METH__AP1B1,100,50,1.0,0.17000000178813934,0.33,0.28,True,1.0
TPM__GRAMD2B,100,50,1.0,0.20999999344348907,0.47,0.23,True,1.0
TPM__PIK3CG,100,50,1.0,0.18000000715255737,-0.3,0.26,True,1.0
METH__FAM114A1,99,49,0.99,0.14000000059604645,-0.44,0.28,True,1.0
METH__RASSF3,99,49,0.99,0.009999999776482582,0.11,0.23,True,1.0
METH__GPX4,99,49,0.99,0.10000000149011612,-0.4,0.22,True,1.0
METH__SUOX,98,48,0.98,0.10999999940395355,-0.29,0.22,True,1.0
METH__TMEM49,97,47,0.97,0.17000000178813934,-0.37,0.28,True,0.992
METH__ACTN1,96,46,0.96,0.10000000149011612,-0.3,0.22,True,0.832
METH__ZNF697,96,46,0.96,0.10999999940395355,-0.24,0.27,True,0.832
METH__C6orf217,95,45,0.95,0.07999999821186066,-0.33,0.22,True,0.458
METH__ARHGAP5,94,44,0.94,0.07000000029802322,-0.31,0.27,True,0.181
METH__KLF4,90,40,0.9,0.09000000357627869,-0.27,0.24,False,0.0
METH__EFNA5,89,39,0.89,0.09000000357627869,-0.28,0.23,False,0.0
METH__PTGR2,88,38,0.88,0.07000000029802322,-0.35,0.24,False,0.0
METH__MRPS35,88,38,0.88,0.10000000149011612,-0.28,0.25,False,0.0
METH__PTPRK,88,38,0.88,0.12999999523162842,-0.38,0.24,False,0.0
METH__C14orf147,85,35,0.85,0.07000000029802322,-0.22,0.23,False,0.0
METH__ARHGEF12,84,34,0.84,0.07000000029802322,-0.23,0.23,False,0.0
METH__FGGY,75,26,0.75,0.05000000074505806,-0.27,0.22,False,0.0
METH__DUSP14,72,25,0.72,0.07999999821186066,-0.27,0.24,False,0.0
METH__RAPH1,72,25,0.72,0.07999999821186066,-0.28,0.25,False,0.0
METH__LAPTM4A,72,25,0.72,0.10999999940395355,-0.26,0.27,False,0.0
CNV__CLTCL1,69,22,0.69,0.029999999329447746,0.2,0.23,False,0.0
CNV__CUX1,69,22,0.69,0.03999999910593033,0.23,0.23,False,0.0
TPM__RNA5SP187,68,19,0.68,0.029999999329447746,-0.16,0.23,False,0.0
METH__C9orf30,68,22,0.68,0.07999999821186066,-0.28,0.24,False,0.0
CNV__PIK3CA,66,17,0.66,0.05000000074505806,0.27,0.23,False,0.0
CNV__CDK6,65,19,0.65,0.009999999776482582,0.23,0.23,False,0.0
CNV__SOX2,61,16,0.61,0.05000000074505806,0.26,0.23,False,0.0
METH__RPS6KA4,61,16,0.61,0.05000000074505806,-0.24,0.27,False,0.0
METH__CINP,61,16,0.61,0.07000000029802322,-0.17,0.24,False,0.0
METH__PPID,58,14,0.58,0.05999999865889549,-0.16,0.24,False,0.0
METH__SKI,55,13,0.55,0.09000000357627869,-0.24,0.24,False,0.0
CNV__MAML2,54,10,0.54,0.05000000074505806,0.25,0.22,False,0.0
TPM__TMSB4XP1,54,10,0.54,0.0,0.0,0.21,False,0.0
CNV__TOP2A,52,15,0.52,0.03999999910593033,0.23,0.23,False,0.0
CNV__BIRC3,50,10,0.5,0.019999999552965164,0.25,0.25,False,0.0
CNV__FGFR4,48,7,0.48,0.05000000074505806,0.3,0.23,True,0.053
METH__DOCK7,47,13,0.47,0.019999999552965164,-0.11,0.23,False,0.0
METH__NT5DC1,46,9,0.46,0.029999999329447746,-0.17,0.23,False,0.002
CNV__BIRC6,46,4,0.46,0.03999999910593033,0.23,0.23,True,0.832
CNV__NSD1,45,4,0.45,0.07000000029802322,0.3,0.23,True,0.832
CNV__DDX10,45,6,0.45,0.029999999329447746,0.21,0.22,True,0.181
CNV__ABI1,44,8,0.44,0.03999999910593033,0.23,0.25,False,0.013
MUT__APC,43,2,0.43,0.019999999552965164,0.12,0.22,True,1.0
CNV__WWTR1,43,6,0.43,0.05999999865889549,0.26,0.24,True,0.181
CNV__PDPR,42,7,0.42,0.03999999910593033,0.22,0.22,True,0.053
CNV__RET,42,6,0.42,0.05999999865889549,0.26,0.26,True,0.181
CNV__ARHGAP26,41,6,0.41,0.07999999821186066,0.3,0.23,True,0.181
CNV__BCL11A,41,7,0.41,0.03999999910593033,0.23,0.26,True,0.053
CNV__ATR,39,5,0.39,0.05999999865889549,0.27,0.24,True,0.458
CNV__MYCN,39,6,0.39,0.009999999776482582,0.14,0.22,True,0.181
CNV__FLT4,39,3,0.39,0.07000000029802322,0.3,0.24,True,0.992
CNV__TRAF3,39,7,0.39,0.029999999329447746,0.2,0.25,True,0.053
CNV__LASP1,39,7,0.39,0.029999999329447746,0.24,0.24,True,0.053
CNV__ZEB1,38,6,0.38,0.03999999910593033,0.22,0.25,True,0.181
CNV__KAT6B,38,3,0.38,0.05999999865889549,0.27,0.25,True,0.992
CNV__SETBP1,38,5,0.38,0.0,-0.05,0.22,True,0.458
METH__C7orf70,38,6,0.38,0.05000000074505806,0.11,0.28,True,0.181
CNV__NRP1,37,5,0.37,0.03999999910593033,0.22,0.26,True,0.458
METH__LOC100129716,36,2,0.36,0.07999999821186066,-0.25,0.23,True,1.0
CNV__AKT1,36,5,0.36,0.029999999329447746,0.19,0.25,True,0.458
METH__AHI1,35,5,0.35,0.07999999821186066,-0.33,0.25,True,0.458
