feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__PAX6,99,49,0.99,0.03999999910593033,0.21,0.08,True,1.0
TPM__LONRF2,96,46,0.96,0.03999999910593033,0.25,0.04,True,0.832
TPM__MIEN1,95,45,0.95,0.03999999910593033,0.0,0.04,True,0.458
TPM__ERRFI1,93,43,0.93,0.05000000074505806,0.28,0.1,True,0.053
MUT__EGFR,93,43,0.93,0.05000000074505806,-0.11,0.21,True,0.053
TPM__HRCT1,90,40,0.9,0.03999999910593033,0.23,0.03,False,0.0
TPM__FICD,84,34,0.84,0.05000000074505806,0.26,0.01,False,0.0
TPM__MACF1,84,34,0.84,0.07999999821186066,0.29,0.06,False,0.0
TPM__CHRDL1,81,31,0.81,0.03999999910593033,0.21,0.11,False,0.0
TPM__ABHD2,81,31,0.81,0.05000000074505806,0.26,0.06,False,0.0
TPM__FAM157D,78,28,0.78,0.05000000074505806,-0.2,0.11,False,0.0
METH__MLPH,78,28,0.78,0.03999999910593033,-0.26,0.09,False,0.0
TPM__C1orf74,76,26,0.76,0.05000000074505806,-0.24,0.05,False,0.0
TPM__DPP9,75,25,0.75,0.05000000074505806,0.27,0.02,False,0.0
TPM__PHLDA1,74,24,0.74,0.07000000029802322,0.32,0.07,False,0.0
TPM__NPAS2,73,23,0.73,0.05000000074505806,0.28,0.11,False,0.0
TPM__FRAT2,73,23,0.73,0.05000000074505806,-0.26,0.05,False,0.0
TPM__DPY19L1,71,21,0.71,0.03999999910593033,0.23,0.06,False,0.0
METH__CHST14,67,18,0.67,0.05000000074505806,-0.25,0.08,False,0.0
TPM__CDH2,66,20,0.66,0.03999999910593033,0.2,0.05,False,0.0
TPM__BNC2,66,16,0.66,0.03999999910593033,0.23,0.07,False,0.0
CNV__IKZF3,63,17,0.63,0.07000000029802322,0.0,0.19,False,0.0
TPM__PEPD,62,13,0.62,0.03999999910593033,0.29,0.07,False,0.0
METH__CLCN1,62,15,0.62,0.05000000074505806,-0.25,0.02,False,0.0
TPM__PDZD11,62,13,0.62,0.05999999865889549,0.31,0.0,False,0.0
TPM__ST3GAL6-AS1,62,13,0.62,0.03999999910593033,0.23,0.05,False,0.0
TPM__TNFAIP8,61,12,0.61,0.03999999910593033,-0.23,0.06,False,0.0
METH__CAPN14,61,13,0.61,0.03999999910593033,-0.21,0.04,False,0.0
TPM__PRKD1,60,10,0.6,0.05000000074505806,0.23,0.1,False,0.0
METH__ARSB,59,10,0.59,0.05000000074505806,-0.24,0.09,False,0.0
METH__LEPRE1,59,12,0.59,0.03999999910593033,-0.19,0.11,False,0.0
TPM__SCN1B,58,10,0.58,0.07000000029802322,0.28,0.01,False,0.0
TPM__TMEM102,58,11,0.58,0.05000000074505806,-0.22,0.05,False,0.0
TPM__SLC39A13,58,13,0.58,0.05000000074505806,0.25,0.0,False,0.0
METH__MACC1,55,10,0.55,0.09000000357627869,0.28,0.09,False,0.0
METH__ALOX12,55,5,0.55,0.05000000074505806,0.09,0.12,True,0.458
TPM__KRT14,55,7,0.55,0.03999999910593033,-0.04,0.11,True,0.053
TPM__MLPH,54,9,0.54,0.03999999910593033,0.27,0.11,False,0.002
TPM__RN7SKP16,54,6,0.54,0.07999999821186066,0.29,0.04,True,0.181
TPM__DEF6,54,6,0.54,0.03999999910593033,-0.24,0.04,True,0.181
METH__MIR1288,54,8,0.54,0.03999999910593033,-0.23,0.03,False,0.013
TPM__VAV3,53,6,0.53,0.05000000074505806,-0.27,0.07,True,0.181
METH__BCAR1,53,8,0.53,0.03999999910593033,-0.25,0.08,False,0.013
TPM__RUSC2,51,6,0.51,0.03999999910593033,0.21,0.03,True,0.181
TPM__ETV1,51,5,0.51,0.07000000029802322,0.3,0.05,True,0.458
TPM__RASSF8,50,5,0.5,0.03999999910593033,0.24,0.1,True,0.458
TPM__SOX15,50,5,0.5,0.05000000074505806,-0.1,0.06,True,0.458
TPM__EHBP1,50,5,0.5,0.05000000074505806,0.25,0.06,True,0.458
TPM__SPRY4,49,7,0.49,0.07000000029802322,0.3,0.09,True,0.053
TPM__DYNLRB1,49,5,0.49,0.03999999910593033,0.24,0.06,True,0.458
TPM__HAS2-AS1,48,4,0.48,0.05000000074505806,0.26,0.11,True,0.832
METH__TPD52L2,48,3,0.48,0.05000000074505806,0.23,0.1,True,0.992
TPM__HAS2,48,6,0.48,0.05999999865889549,0.28,0.12,True,0.181
TPM__GDPD3,48,6,0.48,0.05000000074505806,-0.2,0.04,True,0.181
TPM__ARMCX1,47,2,0.47,0.05000000074505806,0.21,0.05,True,1.0
TPM__MFGE8,47,1,0.47,0.05000000074505806,0.24,0.05,True,1.0
METH__DEF6,47,4,0.47,0.03999999910593033,0.22,0.04,True,0.832
TPM__RNF223,47,3,0.47,0.05999999865889549,-0.13,0.1,True,0.992
TPM__PRDX4,46,3,0.46,0.03999999910593033,0.24,0.12,True,0.992
TPM__RPS6KA1,44,2,0.44,0.05000000074505806,-0.25,0.01,True,1.0
TPM__INPP5F,43,3,0.43,0.03999999910593033,0.21,0.05,True,0.992
TPM__UNC13D,43,1,0.43,0.05999999865889549,-0.25,0.04,True,1.0
TPM__GMPR,42,2,0.42,0.03999999910593033,0.23,0.06,True,1.0
TPM__IL1RN,42,2,0.42,0.07000000029802322,-0.17,0.14,True,1.0
TPM__TRPM8,42,3,0.42,0.03999999910593033,0.27,0.05,True,0.992
TPM__TMPRSS13,41,2,0.41,0.05000000074505806,-0.26,0.13,True,1.0
METH__RGS17,41,1,0.41,0.03999999910593033,-0.21,0.07,True,1.0
TPM__KCNMA1,40,3,0.4,0.05999999865889549,0.24,0.06,True,0.992
TPM__RPS12P3,40,2,0.4,0.03999999910593033,-0.21,0.05,True,1.0
TPM__ARF4,39,2,0.39,0.03999999910593033,0.25,0.05,True,1.0
TPM__HIPK2,39,1,0.39,0.05999999865889549,0.25,0.02,True,1.0
TPM__MKRN2OS,39,4,0.39,0.03999999910593033,-0.23,0.06,True,0.832
TPM__FGFBP1,38,1,0.38,0.03999999910593033,-0.1,0.14,True,1.0
TPM__ANXA8L1,38,0,0.38,0.05000000074505806,-0.08,0.11,False,
TPM__KIRREL3,38,1,0.38,0.03999999910593033,0.19,0.03,True,1.0
TPM__AP1S2,38,0,0.38,0.07000000029802322,0.26,0.05,False,
TPM__SYDE1,38,2,0.38,0.05000000074505806,0.23,0.05,True,1.0
TPM__TCAP,38,3,0.38,0.03999999910593033,-0.07,0.05,True,0.992
TPM__GNG11,37,2,0.37,0.05000000074505806,0.19,0.07,True,1.0
TPM__KRT16,37,1,0.37,0.05000000074505806,-0.05,0.08,True,1.0
TPM__MAGI2-AS3,37,0,0.37,0.05000000074505806,0.27,0.08,False,
TPM__CTHRC1,37,2,0.37,0.03999999910593033,0.22,0.04,True,1.0
TPM__DNAJC22,36,1,0.36,0.03999999910593033,0.26,0.11,True,1.0
CNV__ERBB2,36,4,0.36,0.07000000029802322,-0.01,0.19,True,0.832
METH__H1FNT,35,1,0.35,0.03999999910593033,-0.21,0.05,True,1.0
TPM__JUP,35,1,0.35,0.05999999865889549,-0.24,0.07,True,1.0
TPM__TGFB1I1,35,1,0.35,0.03999999910593033,0.22,0.07,True,1.0
METH__SCAMP4,34,1,0.34,0.07000000029802322,0.25,0.1,True,1.0
METH__ADAT3,34,1,0.34,0.07000000029802322,0.25,0.1,True,1.0
TPM__GBE1,34,0,0.34,0.03999999910593033,0.24,0.02,False,
TPM__PTAFR,34,1,0.34,0.07000000029802322,-0.23,0.05,True,1.0
TPM__HOXB5,34,3,0.34,0.03999999910593033,0.22,0.04,True,0.992
TPM__SCG5,34,0,0.34,0.03999999910593033,0.17,0.02,False,
TPM__FGD3,34,0,0.34,0.05999999865889549,-0.29,0.1,False,
METH__SPRR2B,34,1,0.34,0.03999999910593033,-0.21,0.02,True,1.0
METH__C12orf54,33,0,0.33,0.03999999910593033,-0.23,0.05,False,
TPM__BACE1,33,0,0.33,0.07000000029802322,0.27,0.05,False,
TPM__LPAR5,33,1,0.33,0.07000000029802322,-0.24,0.06,True,1.0
TPM__TRNP1,33,0,0.33,0.03999999910593033,0.24,0.04,False,
METH__CLDN17,33,2,0.33,0.05999999865889549,-0.23,0.09,True,1.0
METH__ANP32D,33,0,0.33,0.03999999910593033,-0.22,0.03,False,
TPM__EMP3,33,1,0.33,0.07000000029802322,0.29,0.07,True,1.0
TPM__RGMB-AS1,33,0,0.33,0.05000000074505806,0.24,0.08,False,
TPM__PGAP3,32,0,0.32,0.05000000074505806,-0.06,0.05,False,
TPM__KHDRBS3,31,0,0.31,0.03999999910593033,0.22,0.09,False,
TPM__MYG1-AS1,30,1,0.3,0.05999999865889549,0.27,0.0,True,1.0
METH__NRSN2,30,1,0.3,0.05000000074505806,-0.22,0.05,True,1.0
TPM__SLC37A3,30,0,0.3,0.03999999910593033,0.24,0.08,False,
TPM__ITGB6,30,1,0.3,0.03999999910593033,-0.07,0.16,True,1.0
TPM__E2F7,30,1,0.3,0.03999999910593033,0.2,0.01,True,1.0
TPM__LIMK2,30,1,0.3,0.03999999910593033,-0.19,0.03,True,1.0
METH__RICS,30,0,0.3,0.05999999865889549,0.19,0.08,False,
TPM__TRAK2,29,0,0.29,0.03999999910593033,0.23,0.04,False,
TPM__SEMA4A,29,1,0.29,0.09000000357627869,-0.33,0.07,True,1.0
TPM__P3H3,29,1,0.29,0.05000000074505806,0.22,0.06,True,1.0
TPM__STX2,28,0,0.28,0.10000000149011612,0.29,0.06,False,
TPM__WDR45,28,0,0.28,0.03999999910593033,0.23,0.06,False,
TPM__SDCBP,27,0,0.27,0.05000000074505806,0.25,0.06,False,
TPM__FBXL7,27,0,0.27,0.03999999910593033,0.21,0.12,False,
METH__DGUOK,27,0,0.27,0.05000000074505806,0.16,0.1,False,
TPM__PTK2B,26,0,0.26,0.05999999865889549,-0.28,0.08,False,
METH__DAPP1,26,1,0.26,0.07000000029802322,0.24,0.01,True,1.0
METH__SDR9C7,26,1,0.26,0.05000000074505806,-0.24,0.04,True,1.0
TPM__NR2F1,26,0,0.26,0.05999999865889549,0.29,0.05,False,
TPM__SGCB,26,0,0.26,0.05000000074505806,0.24,0.09,False,
TPM__EVA1A,25,0,0.25,0.05999999865889549,0.27,0.05,False,
TPM__SLC35E4,25,1,0.25,0.05000000074505806,0.26,0.06,True,1.0
TPM__PCBP4,25,0,0.25,0.03999999910593033,0.25,0.11,False,
TPM__FAM50A,25,2,0.25,0.05999999865889549,0.3,0.04,True,1.0
TPM__ARHGAP31,24,0,0.24,0.05000000074505806,0.24,0.08,False,
METH__SPRR2A,24,0,0.24,0.03999999910593033,-0.22,0.07,False,
TPM__NPR2,24,1,0.24,0.03999999910593033,0.22,0.03,True,1.0
TPM__PMP22,24,0,0.24,0.05999999865889549,0.27,0.09,False,
TPM__NECTIN3,24,0,0.24,0.05000000074505806,0.26,0.0,False,
TPM__NR2F1-AS1,23,0,0.23,0.05000000074505806,0.27,0.08,False,
TPM__HSPA13,23,2,0.23,0.05000000074505806,0.23,0.09,True,1.0
TPM__COL13A1,23,1,0.23,0.05000000074505806,0.24,0.06,True,1.0
METH__GIPC1,23,0,0.23,0.05999999865889549,-0.27,0.06,False,
TPM__FOXD1-AS1,23,1,0.23,0.05000000074505806,0.26,0.1,True,1.0
TPM__FLOT1,23,6,0.23,0.03999999910593033,0.22,0.04,True,0.181
METH__TC2N,23,1,0.23,0.03999999910593033,-0.2,0.06,True,1.0
METH__SLC22A25,23,0,0.23,0.03999999910593033,-0.24,0.08,False,
TPM__NT5DC3,23,2,0.23,0.05000000074505806,0.22,0.02,True,1.0
TPM__ITGB3,23,0,0.23,0.05000000074505806,0.26,0.05,False,
TPM__LRP12,23,0,0.23,0.03999999910593033,0.23,0.05,False,
TPM__DTX4,23,1,0.23,0.05000000074505806,-0.19,0.02,True,1.0
TPM__MSANTD3,22,0,0.22,0.03999999910593033,0.23,0.03,False,
TPM__ABL2,22,1,0.22,0.03999999910593033,0.23,0.07,True,1.0
TPM__CNN3-DT,22,0,0.22,0.05000000074505806,0.22,0.05,False,
TPM__BIK,22,2,0.22,0.05000000074505806,-0.2,0.06,True,1.0
METH__KDELR2,22,0,0.22,0.05000000074505806,0.18,0.17,False,
TPM__DOCK4,22,0,0.22,0.05000000074505806,0.24,0.01,False,
METH__SYNC,21,0,0.21,0.05999999865889549,-0.22,0.05,False,
METH__NT5E,21,1,0.21,0.05999999865889549,-0.28,0.07,True,1.0
TPM__CNRIP1,21,0,0.21,0.05000000074505806,0.2,0.04,False,
METH__CBX5,21,3,0.21,0.03999999910593033,-0.15,0.07,True,0.992
TPM__TNFSF12,21,1,0.21,0.03999999910593033,0.22,0.04,True,1.0
METH__TAS2R60,21,0,0.21,0.03999999910593033,-0.21,0.03,False,
METH__LOC100126784,20,0,0.2,0.05999999865889549,-0.26,0.06,False,
TPM__FUT3,20,0,0.2,0.03999999910593033,-0.16,0.08,False,
TPM__KRT13,20,2,0.2,0.03999999910593033,-0.1,0.08,True,1.0
TPM__NRG2,20,1,0.2,0.03999999910593033,0.22,0.08,True,1.0
TPM__CENPBD2P,20,3,0.2,0.03999999910593033,0.21,0.04,True,0.992
TPM__TCEAL9,20,0,0.2,0.05000000074505806,0.26,0.08,False,
TPM__WWTR1,20,0,0.2,0.03999999910593033,0.26,0.08,False,
METH__VGLL1,20,0,0.2,0.05000000074505806,-0.26,0.05,False,
TPM__ELMO3,20,0,0.2,0.05999999865889549,-0.22,0.03,False,
TPM__SH3BP1,19,3,0.19,0.05999999865889549,-0.26,0.05,True,0.992
TPM__MAP1B,19,0,0.19,0.05000000074505806,0.23,0.1,False,
