feature,Selection count,Pair count,CPSS Score
CNV__ERBB2,100,50,1.0
TPM__IFNWP19,100,50,1.0
CNV__CCND1,99,49,0.99
CNV__IKZF3,99,49,0.99
MUT__KRAS,98,48,0.98
CNV__MITF,93,43,0.93
CNV__TRIP11,93,44,0.93
CNV__DIS3,93,43,0.93
MUT__BRAF,93,43,0.93
CNV__ETV1,92,43,0.92
TPM__SNORA29,90,40,0.9
TPM__RNA5SP187,88,39,0.88
CNV__KLF5,87,37,0.87
CNV__TCIRG1,87,37,0.87
TPM__SCARNA8,86,36,0.86
CNV__FANCM,84,35,0.84
TPM__SCARNA4,81,31,0.81
CNV__FOXP1,80,30,0.8
CNV__NFKBIA,79,33,0.79
CNV__UGT2B17,78,29,0.78
CNV__NKX2-1,78,28,0.78
CNV__NIN,77,27,0.77
TPM__SCARNA22,76,30,0.76
CNV__ARHGAP5,76,27,0.76
METH__FANCA,74,25,0.74
CNV__GOLGA5,73,23,0.73
MUT__EGFR,73,24,0.73
CNV__ZBTB16,72,25,0.72
CNV__CHCHD7,71,23,0.71
CNV__TCL1A,69,23,0.69
CNV__EPHA3,69,20,0.69
CNV__PREX2,69,21,0.69
CNV__PAFAH1B2,69,23,0.69
CNV__DICER1,68,22,0.68
TPM__SNORA27,67,24,0.67
CNV__PCDH17,67,22,0.67
CNV__FBN2,67,19,0.67
CNV__MLH1,66,18,0.66
METH__WDR74,65,20,0.65
CNV__SETD2,65,19,0.65
METH__STK4,65,18,0.65
TPM__CDH12P2,64,21,0.64
CNV__PCM1,64,22,0.64
CNV__DAZAP1,62,16,0.62
CNV__NF2,60,16,0.6
CNV__KTN1,60,16,0.6
METH__DDX60L,60,11,0.6
TPM__RNA5SP323,59,13,0.59
CNV__NKTR,57,12,0.57
CNV__MYB,57,16,0.57
CNV__UBE2D2,57,14,0.57
CNV__NCOR1,56,15,0.56
METH__IQGAP1,56,11,0.56
CNV__TCF3,56,11,0.56
METH__NAPB,55,11,0.55
METH__RPL35A,54,11,0.54
CNV__FN1,54,12,0.54
METH__EFNA5,54,10,0.54
METH__AVPI1,54,11,0.54
CNV__LOX,53,11,0.53
METH__MED30,53,12,0.53
CNV__NFKBIE,53,8,0.53
METH__C5orf30,52,10,0.52
METH__SNX16,52,12,0.52
CNV__ACKR3,52,10,0.52
CNV__FHIT,51,8,0.51
METH__ERCC1,51,5,0.51
METH__COX6B1,51,11,0.51
CNV__CCR7,51,10,0.51
CNV__RELA,50,9,0.5
CNV__NEFH,50,8,0.5
CNV__LZTR1,50,9,0.5
CNV__EWSR1,49,7,0.49
CNV__GAS7,49,13,0.49
CNV__MAP2K2,49,8,0.49
CNV__DGCR8,48,9,0.48
CNV__BAX,48,9,0.48
CNV__HSP90AB1,48,9,0.48
METH__SUPT4H1,48,6,0.48
CNV__PTCH1,48,9,0.48
CNV__SMARCE1,48,7,0.48
METH__AAK1,46,6,0.46
CNV__ERBB4,45,6,0.45
CNV__GNA11,45,6,0.45
CNV__FLCN,44,8,0.44
CNV__RHOA,44,7,0.44
CNV__BARD1,44,8,0.44
CNV__RBFOX2,43,6,0.43
CNV__WNK2,43,6,0.43
CNV__FANCC,42,6,0.42
METH__UBAP1,42,6,0.42
CNV__ZNRF3,42,4,0.42
CNV__CHEK2,41,4,0.41
CNV__SDHAF2,41,8,0.41
MUT__KMT2C,40,4,0.4
CNV__ETV6,39,7,0.39
TPM__SNORA33,39,8,0.39
CNV__MAP2K4,39,6,0.39
CNV__BCL2L12,39,5,0.39
CNV__STAT5B,38,9,0.38
CNV__POLH,38,6,0.38
CNV__AFF4,38,3,0.38
CNV__MAPK1,37,7,0.37
CNV__ERCC4,37,6,0.37
CNV__CTNNB1,37,4,0.37
METH__LASS5,37,4,0.37
CNV__ARHGAP26,36,5,0.36
CNV__ACSL3,36,6,0.36
CNV__BLM,35,5,0.35
CNV__TEC,35,6,0.35
CNV__DOT1L,35,3,0.35
CNV__STK11,35,6,0.35
CNV__ATIC,34,2,0.34
CNV__XPA,33,6,0.33
CNV__FSTL3,33,2,0.33
CNV__TNFRSF17,33,3,0.33
