feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
METH__MIR150,93,43,0.93,0.18000000715255737,0.38,0.1,True,0.053
TPM__RPL3,90,40,0.9,0.17000000178813934,-0.45,0.16,False,0.0
TPM__ITGAV,86,36,0.86,0.1899999976158142,0.4,0.18,False,0.0
TPM__PDCD6IP-DT,85,35,0.85,0.18000000715255737,0.43,0.11,False,0.0
TPM__KDM2B,84,35,0.84,0.20999999344348907,-0.42,0.15,False,0.0
TPM__GMIP,84,34,0.84,0.18000000715255737,-0.37,0.13,False,0.0
TPM__GPAT3,81,31,0.81,0.1899999976158142,0.44,0.14,False,0.0
TPM__PARVA,81,31,0.81,0.1899999976158142,0.39,0.14,False,0.0
TPM__DDN,80,30,0.8,0.18000000715255737,-0.41,0.11,False,0.0
METH__MGAT1,80,30,0.8,0.1899999976158142,0.35,0.15,False,0.0
TPM__SETDB2,79,30,0.79,0.17000000178813934,-0.38,0.13,False,0.0
TPM__DST,76,26,0.76,0.2199999988079071,0.4,0.14,False,0.0
METH__ARHGEF10,73,23,0.73,0.17000000178813934,-0.3,0.18,False,0.0
TPM__WFS1,71,21,0.71,0.1899999976158142,0.4,0.1,False,0.0
TPM__VAMP3,71,21,0.71,0.20999999344348907,0.45,0.16,False,0.0
TPM__BMS1P23,71,22,0.71,0.2199999988079071,0.45,0.16,False,0.0
TPM__APLP2,70,20,0.7,0.18000000715255737,0.41,0.11,False,0.0
TPM__MIR4435-2HG,69,19,0.69,0.18000000715255737,0.4,0.08,False,0.0
TPM__CYFIP2,64,15,0.64,0.18000000715255737,-0.41,0.19,False,0.0
METH__TBC1D10C,64,14,0.64,0.20999999344348907,0.36,0.14,False,0.0
METH__MIPOL1,64,14,0.64,0.25,-0.39,0.19,False,0.0
TPM__PPP1R16B,62,13,0.62,0.17000000178813934,-0.32,0.14,False,0.0
TPM__SEC14L2,62,12,0.62,0.17000000178813934,0.39,0.15,False,0.0
METH__MTMR11,62,13,0.62,0.17000000178813934,-0.33,0.14,False,0.0
TPM__BCAR3,62,12,0.62,0.25,0.48,0.17,False,0.0
TPM__PTTG1IP,61,15,0.61,0.20000000298023224,0.44,0.17,False,0.0
TPM__KIF21B,61,11,0.61,0.20999999344348907,-0.4,0.17,False,0.0
TPM__KIF23-AS1,61,11,0.61,0.20000000298023224,0.45,0.16,False,0.0
TPM__HDAC11,60,11,0.6,0.20000000298023224,0.42,0.11,False,0.0
TPM__CHMP3,60,10,0.6,0.18000000715255737,0.43,0.17,False,0.0
METH__SHC2,59,11,0.59,0.18000000715255737,-0.29,0.15,False,0.0
METH__LOC100302401,58,10,0.58,0.17000000178813934,-0.35,0.17,False,0.0
METH__KRI1,57,10,0.57,0.20999999344348907,0.38,0.21,False,0.0
TPM__RPL10A,57,9,0.57,0.18000000715255737,-0.46,0.2,False,0.002
TPM__COL6A1,56,9,0.56,0.17000000178813934,0.41,0.13,False,0.002
TPM__NPAS2,55,6,0.55,0.17000000178813934,0.41,0.17,True,0.181
TPM__DAG1,55,7,0.55,0.2199999988079071,0.43,0.19,True,0.053
TPM__PTGR1,55,7,0.55,0.20000000298023224,0.41,0.15,True,0.053
TPM__CTSA,55,8,0.55,0.1899999976158142,0.43,0.09,False,0.013
TPM__CCDC9B,54,6,0.54,0.2199999988079071,0.46,0.11,True,0.181
TPM__RASAL2-AS1,54,8,0.54,0.18000000715255737,0.41,0.15,False,0.013
TPM__KCNAB2,54,10,0.54,0.17000000178813934,-0.39,0.12,False,0.0
TPM__LGALS3,54,8,0.54,0.18000000715255737,0.39,0.08,False,0.013
TPM__SEPTIN6,53,5,0.53,0.2199999988079071,-0.43,0.23,True,0.458
METH__CADPS2,53,6,0.53,0.20999999344348907,-0.34,0.13,True,0.181
TPM__OPHN1,53,4,0.53,0.18000000715255737,0.4,0.1,True,0.832
TPM__NR2F2,52,6,0.52,0.20999999344348907,0.4,0.18,True,0.181
TPM__GOLGA2,51,7,0.51,0.17000000178813934,0.43,0.16,True,0.053
TPM__AGAP2,51,5,0.51,0.23999999463558197,-0.48,0.19,True,0.458
TPM__ANLN,50,6,0.5,0.18000000715255737,0.45,0.13,True,0.181
TPM__LYL1,50,4,0.5,0.17000000178813934,-0.24,0.16,True,0.832
TPM__CLCF1,49,6,0.49,0.20000000298023224,0.45,0.12,True,0.181
TPM__TIMP2,49,6,0.49,0.1899999976158142,0.41,0.12,True,0.181
TPM__LAMB1,49,6,0.49,0.20000000298023224,0.38,0.1,True,0.181
TPM__CXCR4,47,3,0.47,0.17000000178813934,-0.3,0.12,True,0.992
METH__PER3,47,4,0.47,0.2199999988079071,-0.4,0.12,True,0.832
TPM__SH3RF1,46,3,0.46,0.18000000715255737,0.39,0.14,True,0.992
TPM__PSTPIP1,45,3,0.45,0.18000000715255737,-0.37,0.12,True,0.992
TPM__PSAP,45,1,0.45,0.17000000178813934,0.41,0.13,True,1.0
TPM__EMP1,45,2,0.45,0.20000000298023224,0.43,0.17,True,1.0
