feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__WFS1,99,49,0.99,0.15000000596046448,0.36,0.11,True,1.0
TPM__GALNT10,96,46,0.96,0.10999999940395355,0.34,0.06,True,0.832
TPM__HRCT1,93,43,0.93,0.11999999731779099,0.44,0.15,True,0.053
TPM__EAF2,90,40,0.9,0.1599999964237213,-0.37,0.11,False,0.0
TPM__RASAL2-AS1,85,35,0.85,0.11999999731779099,0.35,0.12,False,0.0
TPM__KLHDC3,85,35,0.85,0.11999999731779099,-0.35,0.13,False,0.0
TPM__PLPP2,82,32,0.82,0.1599999964237213,0.35,0.08,False,0.0
TPM__KRT80,76,26,0.76,0.11999999731779099,0.34,0.05,False,0.0
TPM__TRNP1,75,25,0.75,0.12999999523162842,0.35,0.08,False,0.0
TPM__CHMP3,72,22,0.72,0.11999999731779099,0.36,0.13,False,0.0
TPM__RTN4,72,22,0.72,0.12999999523162842,0.38,0.15,False,0.0
TPM__ANXA1,71,22,0.71,0.1899999976158142,0.42,0.1,False,0.0
TPM__KCNAB2,70,20,0.7,0.12999999523162842,-0.33,0.07,False,0.0
METH__IL10,69,19,0.69,0.11999999731779099,0.27,0.08,False,0.0
TPM__NPTN,68,18,0.68,0.12999999523162842,0.38,0.13,False,0.0
TPM__NPAS2,67,17,0.67,0.17000000178813934,0.41,0.12,False,0.0
TPM__PLCD3,66,16,0.66,0.20000000298023224,0.43,0.12,False,0.0
TPM__ME1,65,17,0.65,0.11999999731779099,0.34,0.07,False,0.0
TPM__CDT1,64,14,0.64,0.12999999523162842,-0.36,0.11,False,0.0
TPM__PLA2R1,63,13,0.63,0.10999999940395355,0.38,0.11,False,0.0
TPM__ATP6V0E1,58,10,0.58,0.12999999523162842,0.38,0.14,False,0.0
TPM__ZNF101,58,8,0.58,0.14000000059604645,-0.35,0.07,False,0.013
TPM__GFI1,57,10,0.57,0.1599999964237213,-0.32,0.14,False,0.0
TPM__CCN2,56,10,0.56,0.10999999940395355,0.36,0.11,False,0.0
TPM__CARD10,55,8,0.55,0.15000000596046448,0.36,0.11,False,0.013
TPM__TRG-AS1,55,8,0.55,0.10999999940395355,-0.25,0.11,False,0.013
TPM__PTGR1,53,4,0.53,0.12999999523162842,0.34,0.06,True,0.832
TPM__RHOC,53,10,0.53,0.15000000596046448,0.38,0.12,False,0.0
TPM__LAMB1,53,5,0.53,0.12999999523162842,0.33,0.13,True,0.458
METH__CDSN,51,8,0.51,0.14000000059604645,0.37,0.11,False,0.013
TPM__STAC3,51,7,0.51,0.14000000059604645,-0.35,0.09,True,0.053
TPM__SHISA4,51,6,0.51,0.1599999964237213,0.38,0.13,True,0.181
TPM__IL13RA1,50,3,0.5,0.18000000715255737,0.4,0.13,True,0.992
TPM__AGAP2,50,2,0.5,0.18000000715255737,-0.42,0.11,True,1.0
TPM__TIMP1,49,5,0.49,0.11999999731779099,0.34,0.11,True,0.458
METH__TBC1D10C,49,4,0.49,0.11999999731779099,0.31,0.08,True,0.832
TPM__ASPH,49,4,0.49,0.14000000059604645,0.39,0.07,True,0.832
