feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
METH__LAPTM4A,100,50,1.0,0.12999999523162842,-0.22,0.24,True,1.0
METH__LCA5,100,50,1.0,0.10999999940395355,-0.24,0.25,True,1.0
TPM__SERPINA3,100,50,1.0,0.03999999910593033,0.31,0.23,True,1.0
TPM__MIR142HG,100,50,1.0,0.23000000417232513,-0.28,0.27,True,1.0
TPM__P2RY8,100,50,1.0,0.20999999344348907,-0.26,0.27,True,1.0
METH__TEAD4,100,50,1.0,0.07999999821186066,-0.19,0.23,True,1.0
TPM__BEND4,100,50,1.0,0.09000000357627869,-0.2,0.24,True,1.0
TPM__IL12RB1,100,50,1.0,0.1599999964237213,-0.26,0.22,True,1.0
METH__CCM2,100,50,1.0,0.23000000417232513,0.37,0.25,True,1.0
METH__TOP2A,100,50,1.0,0.09000000357627869,-0.21,0.26,True,1.0
METH__C14orf128,100,50,1.0,0.05000000074505806,-0.29,0.26,True,1.0
METH__TPX2,100,50,1.0,0.09000000357627869,-0.2,0.24,True,1.0
METH__SLMAP,98,48,0.98,0.07999999821186066,-0.27,0.23,True,1.0
METH__C7orf70,97,47,0.97,0.05999999865889549,0.18,0.21,True,0.992
METH__EFNA5,97,47,0.97,0.05999999865889549,-0.24,0.21,True,0.992
METH__LRBA,96,46,0.96,0.0,-0.15,0.22,True,0.832
METH__ABCD3,95,45,0.95,0.05999999865889549,-0.21,0.23,True,0.458
METH__C20orf4,95,45,0.95,0.05000000074505806,-0.22,0.23,True,0.458
METH__ARHGEF12,94,44,0.94,0.07999999821186066,-0.16,0.23,True,0.181
METH__EPHA4,93,43,0.93,0.05000000074505806,-0.22,0.22,True,0.053
METH__PTPN21,89,39,0.89,0.07999999821186066,-0.19,0.24,False,0.0
CNV__RBM39,88,38,0.88,0.05000000074505806,0.24,0.22,False,0.0
CNV__GNAS,84,34,0.84,0.03999999910593033,0.22,0.23,False,0.0
CNV__SALL4,84,34,0.84,0.05000000074505806,0.22,0.22,False,0.0
METH__LOC81691,84,34,0.84,0.07999999821186066,-0.16,0.22,False,0.0
METH__TAX1BP3,82,33,0.82,0.05000000074505806,-0.16,0.23,False,0.0
METH__DDX50,81,31,0.81,0.03999999910593033,-0.16,0.23,False,0.0
METH__LLGL1,77,28,0.77,0.009999999776482582,0.05,0.22,False,0.0
METH__COMMD6,74,24,0.74,0.03999999910593033,0.23,0.24,False,0.0
METH__LAMC1,69,21,0.69,0.05000000074505806,-0.12,0.24,False,0.0
METH__TIAL1,69,22,0.69,0.05000000074505806,0.21,0.22,False,0.0
METH__SLC19A2,68,21,0.68,0.029999999329447746,-0.17,0.22,False,0.0
METH__POLRMT,67,18,0.67,0.029999999329447746,-0.04,0.22,False,0.0
METH__SYAP1,66,19,0.66,0.03999999910593033,-0.09,0.23,False,0.0
METH__PYCR1,65,19,0.65,0.019999999552965164,-0.1,0.23,False,0.0
METH__TMEM150A,63,16,0.63,0.029999999329447746,-0.15,0.24,False,0.0
METH__ERI2,63,15,0.63,0.07999999821186066,-0.15,0.21,False,0.0
METH__ETV4,63,17,0.63,0.03999999910593033,-0.11,0.23,False,0.0
