feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__FAM114A1,100,50,1.0,0.20999999344348907,0.4,0.2,True,1.0
TPM__SDC4,100,50,1.0,0.27000001072883606,0.48,0.19,True,1.0
TPM__PPIC,100,50,1.0,0.25,0.41,0.19,True,1.0
TPM__MYOF,100,50,1.0,0.25,0.46,0.19,True,1.0
TPM__FKBP9,100,50,1.0,0.23999999463558197,0.4,0.22,True,1.0
TPM__AGAP2,100,50,1.0,0.25999999046325684,-0.46,0.24,True,1.0
TPM__GPAT3,100,50,1.0,0.18000000715255737,0.43,0.19,True,1.0
TPM__SH2D3C,100,50,1.0,0.25,-0.42,0.21,True,1.0
TPM__PRSS23,100,50,1.0,0.25999999046325684,0.48,0.19,True,1.0
TPM__IL13RA1,100,50,1.0,0.2199999988079071,0.39,0.2,True,1.0
METH__C1orf126,100,50,1.0,0.15000000596046448,-0.2,0.21,True,1.0
METH__LOC100130776,100,50,1.0,0.2800000011920929,-0.39,0.2,True,1.0
TPM__MAP4K1,100,50,1.0,0.25,-0.38,0.19,True,1.0
METH__TJP1,100,50,1.0,0.27000001072883606,-0.43,0.21,True,1.0
TPM__PDE1B,100,50,1.0,0.20999999344348907,-0.39,0.25,True,1.0
TPM__KRT15,100,50,1.0,0.14000000059604645,0.45,0.2,True,1.0
TPM__GPR39,100,50,1.0,0.2199999988079071,0.45,0.19,True,1.0
TPM__EGFR,99,49,0.99,0.2199999988079071,0.47,0.21,True,1.0
TPM__ABLIM3,99,49,0.99,0.17000000178813934,0.45,0.23,True,1.0
TPM__LASTR,99,49,0.99,0.09000000357627869,0.42,0.19,True,1.0
METH__THBS1,99,49,0.99,0.23999999463558197,-0.44,0.24,True,1.0
TPM__TSPAN1,99,49,0.99,0.17000000178813934,0.45,0.21,True,1.0
TPM__CD63,99,49,0.99,0.1599999964237213,0.4,0.21,True,1.0
METH__ITGA2,99,49,0.99,0.2199999988079071,-0.44,0.22,True,1.0
TPM__TSPOAP1-AS1,99,49,0.99,0.1899999976158142,-0.31,0.19,True,1.0
TPM__EMP2,98,48,0.98,0.17000000178813934,0.35,0.21,True,1.0
TPM__ARC,98,48,0.98,0.0,0.15,0.19,True,1.0
METH__MTMR11,98,48,0.98,0.23999999463558197,-0.42,0.21,True,1.0
TPM__PADI1,98,48,0.98,0.10000000149011612,0.43,0.22,True,1.0
TPM__SEPTIN10,98,48,0.98,0.20999999344348907,0.3,0.19,True,1.0
METH__LOC100302401,98,48,0.98,0.18000000715255737,-0.3,0.19,True,1.0
TPM__MANCR,97,47,0.97,0.07000000029802322,0.4,0.2,True,0.992
TPM__MATN3,96,46,0.96,0.10000000149011612,0.39,0.2,True,0.832
TPM__SYT8,96,46,0.96,0.07000000029802322,0.35,0.18,True,0.832
TPM__TNFRSF13C,96,46,0.96,0.18000000715255737,-0.34,0.2,True,0.832
TPM__PPP1R16B,95,45,0.95,0.2199999988079071,-0.33,0.22,True,0.458
TPM__PKP3,95,45,0.95,0.15000000596046448,0.39,0.19,True,0.458
METH__S100A2,93,43,0.93,0.17000000178813934,-0.43,0.19,True,0.053
METH__PTPRCAP,92,42,0.92,0.20999999344348907,0.4,0.2,False,0.013
TPM__MFNG,92,42,0.92,0.15000000596046448,-0.22,0.19,False,0.013
METH__PER3,92,42,0.92,0.1599999964237213,-0.29,0.21,False,0.013
METH__ERRFI1,91,41,0.91,0.1899999976158142,-0.39,0.21,False,0.002
TPM__MIR142HG,90,40,0.9,0.23000000417232513,-0.27,0.2,False,0.0
METH__NRP1,87,37,0.87,0.18000000715255737,-0.34,0.24,False,0.0
TPM__IL21R,86,37,0.86,0.15000000596046448,-0.3,0.19,False,0.0
METH__PRIC285,85,35,0.85,0.1899999976158142,0.37,0.19,False,0.0
METH__TCF3,85,35,0.85,0.20999999344348907,0.44,0.25,False,0.0
TPM__SLC22A3,83,33,0.83,0.05999999865889549,0.31,0.21,False,0.0
TPM__IFNE,81,31,0.81,0.07000000029802322,0.36,0.19,False,0.0
TPM__IFNWP19,81,31,0.81,0.07000000029802322,0.33,0.19,False,0.0
METH__KIAA0802,80,31,0.8,0.07000000029802322,0.3,0.23,False,0.0
METH__C14orf128,80,32,0.8,0.07999999821186066,-0.3,0.22,False,0.0
METH__CSNK1E,78,31,0.78,0.1899999976158142,-0.33,0.22,False,0.0
METH__CCM2,78,29,0.78,0.2199999988079071,0.34,0.23,False,0.0
METH__C4orf12,77,28,0.77,0.20000000298023224,-0.21,0.21,False,0.0
METH__PRSS48,77,28,0.77,0.1599999964237213,0.35,0.19,False,0.0
METH__C9orf150,76,27,0.76,0.1899999976158142,-0.27,0.21,False,0.0
METH__NPAS2,74,25,0.74,0.20999999344348907,-0.41,0.21,False,0.0
METH__PIK3CG,73,26,0.73,0.15000000596046448,0.31,0.21,False,0.0
TPM__ZBTB45P2,73,27,0.73,0.11999999731779099,0.35,0.21,False,0.0
METH__PARD3B,72,22,0.72,0.15000000596046448,-0.29,0.2,False,0.0
TPM__LINC02057,72,26,0.72,0.05999999865889549,0.34,0.2,False,0.0
TPM__LINC02535,71,25,0.71,0.07000000029802322,0.4,0.21,False,0.0
METH__DHX38,70,22,0.7,0.0,0.02,0.19,False,0.0
METH__LRBA,70,24,0.7,0.0,-0.11,0.21,False,0.0
METH__DSTN,69,24,0.69,0.20000000298023224,-0.35,0.22,False,0.0
TPM__PIK3CG,68,21,0.68,0.20000000298023224,-0.26,0.21,False,0.0
METH__KLF4,66,19,0.66,0.18000000715255737,-0.32,0.25,False,0.0
METH__GPR125,66,19,0.66,0.20999999344348907,-0.31,0.2,False,0.0
METH__RASAL2,65,22,0.65,0.1899999976158142,-0.36,0.19,False,0.0
METH__ZNF101,63,19,0.63,0.12999999523162842,0.3,0.2,False,0.0
METH__PTPRK,63,19,0.63,0.18000000715255737,-0.37,0.18,False,0.0
METH__SPAG9,63,15,0.63,0.1599999964237213,-0.35,0.21,False,0.0
METH__PTPN14,62,18,0.62,0.1899999976158142,-0.37,0.2,False,0.0
METH__C6orf217,59,14,0.59,0.09000000357627869,-0.29,0.23,False,0.0
