feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__ZFP36L2,100,50,1.0,0.07999999821186066,-0.29,0.04,True,1.0
TPM__SPRY2,99,49,0.99,0.1599999964237213,-0.4,0.12,True,1.0
MUT__NRAS,98,48,0.98,0.07999999821186066,-0.24,0.26,True,1.0
TPM__CRYZL2P,93,43,0.93,0.09000000357627869,-0.3,0.05,True,0.053
TPM__LPCAT2,92,42,0.92,0.10999999940395355,-0.33,0.06,False,0.013
TPM__ASAP3,91,41,0.91,0.09000000357627869,0.29,0.09,False,0.002
TPM__RGS9,90,40,0.9,0.07999999821186066,0.26,0.07,False,0.0
TPM__EGR3,89,39,0.89,0.07999999821186066,-0.18,0.07,False,0.0
TPM__SPRY4-AS1,89,39,0.89,0.10000000149011612,-0.31,0.12,False,0.0
TPM__DUSP6,86,36,0.86,0.17000000178813934,-0.44,0.14,False,0.0
TPM__EFHD1,84,34,0.84,0.09000000357627869,0.28,0.1,False,0.0
TPM__ARAP3,83,33,0.83,0.10000000149011612,-0.32,0.1,False,0.0
TPM__EML1,81,31,0.81,0.10999999940395355,0.34,0.09,False,0.0
METH__SNORD18C,80,30,0.8,0.07000000029802322,0.21,0.06,False,0.0
TPM__AKAP5,79,29,0.79,0.10000000149011612,0.33,0.08,False,0.0
TPM__CATSPER1,79,29,0.79,0.09000000357627869,-0.36,0.05,False,0.0
METH__LPXN,78,28,0.78,0.07999999821186066,0.22,0.05,False,0.0
TPM__ETV4,78,28,0.78,0.18000000715255737,-0.45,0.14,False,0.0
METH__FAM71C,78,28,0.78,0.07999999821186066,0.3,0.08,False,0.0
TPM__LINC00920,76,26,0.76,0.15000000596046448,-0.37,0.14,False,0.0
METH__C19orf18,76,26,0.76,0.11999999731779099,0.31,0.06,False,0.0
TPM__APPBP2,73,23,0.73,0.07000000029802322,0.28,0.09,False,0.0
TPM__BAD,73,23,0.73,0.09000000357627869,0.29,0.04,False,0.0
TPM__CAPN3,72,22,0.72,0.17000000178813934,-0.25,0.05,False,0.0
TPM__RPL10P13,71,21,0.71,0.07000000029802322,-0.26,0.14,False,0.0
TPM__TSR2,71,21,0.71,0.07999999821186066,0.31,0.06,False,0.0
TPM__LYZ,69,19,0.69,0.12999999523162842,-0.22,0.08,False,0.0
METH__AKR7L,69,20,0.69,0.09000000357627869,0.29,0.07,False,0.0
TPM__FCGR2A,68,18,0.68,0.14000000059604645,-0.22,0.13,False,0.0
METH__FKBP2,67,17,0.67,0.10000000149011612,0.32,0.14,False,0.0
METH__MS4A6A,67,18,0.67,0.07999999821186066,-0.28,0.09,False,0.0
TPM__ZNF287,65,15,0.65,0.07999999821186066,0.29,0.08,False,0.0
