feature,Selection count,Pair count,CPSS Score
METH__GOLGA5,100,50,1.0
METH__LAPTM4A,100,50,1.0
METH__EFNB2,100,50,1.0
METH__MPP5,100,50,1.0
METH__INTU,100,50,1.0
METH__SLC1A1,100,50,1.0
METH__DSTN,100,50,1.0
METH__BIN2,100,50,1.0
TPM__MIR142HG,100,50,1.0
TPM__PIK3CG,100,50,1.0
METH__C14orf128,99,49,0.99
MUT__KRAS,98,48,0.98
METH__ATP6V1D,96,46,0.96
METH__TMEM106B,94,44,0.94
METH__CEBPD,93,43,0.93
CNV__SMAD4,93,43,0.93
METH__AAGAB,92,42,0.92
METH__EFNA5,91,41,0.91
METH__C16orf7,90,40,0.9
METH__ARG2,88,38,0.88
METH__RASA2,87,39,0.87
METH__CCNC,84,35,0.84
METH__SNX11,83,33,0.83
METH__ATG4D,83,34,0.83
CNV__MAML2,82,32,0.82
METH__FZD4,80,31,0.8
METH__STAM2,79,30,0.79
TPM__SNORA80B,78,29,0.78
METH__SNORA36C,77,29,0.77
CNV__SDHD,76,29,0.76
CNV__FAT3,76,27,0.76
CNV__SBDS,75,29,0.75
TPM__RNA5SP187,74,25,0.74
CNV__DDX10,73,25,0.73
METH__RAPH1,73,27,0.73
CNV__ATM,72,24,0.72
CNV__BIRC3,72,24,0.72
METH__LOC143666,72,24,0.72
CNV__SIX1,68,19,0.68
METH__TBC1D10B,67,20,0.67
TPM__SNORA22B,67,24,0.67
CNV__FGFR2,66,18,0.66
METH__EPRS,63,15,0.63
METH__LOC144486,62,22,0.62
TPM__SNORA20,62,18,0.62
METH__CAPN10,62,13,0.62
METH__DSN1,62,16,0.62
METH__HACL1,62,17,0.62
CNV__FANCM,62,16,0.62
CNV__KTN1,61,15,0.61
CNV__FBLN1,61,17,0.61
METH__KDSR,61,17,0.61
CNV__RBM39,60,17,0.6
CNV__SRC,59,18,0.59
CNV__MRTFA,59,12,0.59
CNV__SDHAF2,59,14,0.59
CNV__FGFR1,59,16,0.59
CNV__POU2AF1,58,12,0.58
CNV__NSD3,57,17,0.57
METH__TMF1,56,13,0.56
CNV__PIK3R1,56,16,0.56
METH__YIPF3,55,10,0.55
CNV__NRP1,55,12,0.55
METH__WDR43,54,12,0.54
CNV__NFKBIA,53,11,0.53
CNV__NKX2-1,51,9,0.51
CNV__APOBEC3B,51,6,0.51
CNV__CDK4,49,7,0.49
TPM__RNA5S9,49,6,0.49
CNV__TENT5C,49,6,0.49
CNV__FANCG,48,10,0.48
CNV__ARHGEF10,46,6,0.46
CNV__LMO2,45,5,0.45
CNV__EP300,45,5,0.45
CNV__COL2A1,44,7,0.44
CNV__NRAS,44,9,0.44
CNV__LZTR1,43,5,0.43
CNV__BLM,42,4,0.42
CNV__BCL10,41,6,0.41
METH__MCRS1,41,4,0.41
CNV__NCOA4,39,5,0.39
CNV__ERCC5,38,6,0.38
CNV__AJUBA,38,5,0.38
CNV__PDGFB,37,3,0.37
METH__RAP2A,37,5,0.37
CNV__FOXA1,37,5,0.37
MUT__PIK3R1,37,4,0.37
CNV__WWTR1,36,5,0.36
METH__C1orf220,36,1,0.36
METH__TRAF4,35,5,0.35
CNV__CLTCL1,35,4,0.35
CNV__NIN,35,7,0.35
CNV__ERBB2,34,3,0.34
CNV__SLC34A2,33,4,0.33
METH__COPB2,33,1,0.33
METH__QRICH2,33,3,0.33
METH__FOXO3,31,4,0.31
MUT__PARP4,31,0,0.31
CNV__COL1A1,31,1,0.31
CNV__EWSR1,30,1,0.3
