feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__WFS1,97,47,0.97,0.17000000178813934,0.36,0.11,True,0.992
TPM__EAF2,90,40,0.9,0.17000000178813934,-0.33,0.14,False,0.0
TPM__GMIP,87,37,0.87,0.12999999523162842,-0.31,0.12,False,0.0
TPM__PPDPF,87,37,0.87,0.12999999523162842,0.34,0.02,False,0.0
TPM__GULP1,84,34,0.84,0.1599999964237213,0.37,0.14,False,0.0
TPM__FAM174A,83,33,0.83,0.11999999731779099,0.34,0.11,False,0.0
TPM__DDN,81,31,0.81,0.12999999523162842,-0.31,0.07,False,0.0
TPM__RPL10A,80,30,0.8,0.15000000596046448,-0.4,0.16,False,0.0
TPM__FMNL1,79,29,0.79,0.12999999523162842,-0.32,0.13,False,0.0
TPM__RASAL2-AS1,76,26,0.76,0.11999999731779099,0.34,0.07,False,0.0
TPM__MORC4,72,22,0.72,0.1599999964237213,0.35,0.1,False,0.0
TPM__PTPN12,72,22,0.72,0.12999999523162842,0.31,0.07,False,0.0
METH__AGXT2L2,72,22,0.72,0.12999999523162842,0.36,0.12,False,0.0
TPM__IGFBP3,71,21,0.71,0.11999999731779099,0.35,0.11,False,0.0
TPM__TPM1,71,21,0.71,0.14000000059604645,0.32,0.11,False,0.0
TPM__SLC38A5,70,20,0.7,0.12999999523162842,-0.31,0.11,False,0.0
METH__MGAT1,69,19,0.69,0.1899999976158142,0.36,0.14,False,0.0
TPM__ID1,68,19,0.68,0.11999999731779099,0.29,0.07,False,0.0
TPM__TRAF3IP3,67,17,0.67,0.23000000417232513,-0.37,0.24,False,0.0
TPM__PTTG1IP,67,17,0.67,0.14000000059604645,0.37,0.17,False,0.0
TPM__GPR39,66,17,0.66,0.17000000178813934,0.4,0.18,False,0.0
TPM__RND3,65,15,0.65,0.12999999523162842,0.31,0.16,False,0.0
TPM__FCHO2,65,16,0.65,0.17000000178813934,0.35,0.11,False,0.0
METH__RINL,65,16,0.65,0.1899999976158142,0.39,0.12,False,0.0
METH__FAM110C,65,17,0.65,0.11999999731779099,-0.31,0.11,False,0.0
TPM__TCEAL1,65,15,0.65,0.11999999731779099,0.32,0.04,False,0.0
TPM__RPS8,65,15,0.65,0.12999999523162842,-0.39,0.14,False,0.0
TPM__CD151,64,14,0.64,0.12999999523162842,0.34,0.11,False,0.0
TPM__ADAM9,62,13,0.62,0.17000000178813934,0.38,0.13,False,0.0
TPM__TRG-AS1,61,15,0.61,0.17000000178813934,-0.31,0.18,False,0.0
METH__POLR1B,60,11,0.6,0.12999999523162842,0.3,0.09,False,0.0
TPM__MANBAL,60,10,0.6,0.1599999964237213,0.31,0.13,False,0.0
