feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
METH__FAT1,100,50,1.0,0.17000000178813934,-0.31,0.27,True,1.0
METH__PTPN14,100,50,1.0,0.15000000596046448,-0.33,0.26,True,1.0
METH__CD1C,100,50,1.0,0.11999999731779099,-0.23,0.22,True,1.0
METH__KLF4,100,50,1.0,0.11999999731779099,-0.29,0.26,True,1.0
TPM__NCKAP1L,100,50,1.0,0.20000000298023224,-0.3,0.23,True,1.0
METH__C9orf150,100,50,1.0,0.14000000059604645,-0.28,0.24,True,1.0
METH__NRP1,100,50,1.0,0.12999999523162842,-0.32,0.24,True,1.0
TPM__IL12RB1,100,50,1.0,0.1899999976158142,-0.31,0.23,True,1.0
TPM__PTPN7,100,50,1.0,0.25,-0.35,0.26,True,1.0
METH__CDKN2D,100,50,1.0,0.14000000059604645,0.3,0.25,True,1.0
TPM__MIR142HG,100,50,1.0,0.25,-0.32,0.29,True,1.0
METH__PSMB8,100,50,1.0,0.05999999865889549,0.25,0.22,True,1.0
TPM__TRAF3IP3,100,50,1.0,0.23000000417232513,-0.37,0.24,True,1.0
METH__ATP6V1D,100,50,1.0,0.09000000357627869,-0.21,0.24,True,1.0
METH__RBAK,100,50,1.0,0.10999999940395355,0.36,0.23,True,1.0
METH__U2AF1L4,100,50,1.0,0.14000000059604645,0.32,0.22,True,1.0
TPM__PIK3CG,100,50,1.0,0.20000000298023224,-0.29,0.24,True,1.0
METH__ACTN1,100,50,1.0,0.12999999523162842,-0.28,0.24,True,1.0
TPM__IKZF1,100,50,1.0,0.23000000417232513,-0.33,0.25,True,1.0
METH__DSTN,100,50,1.0,0.15000000596046448,-0.32,0.3,True,1.0
METH__BACE1,100,50,1.0,0.10000000149011612,-0.26,0.22,True,1.0
METH__PCCA,98,48,0.98,0.07000000029802322,-0.2,0.22,True,1.0
METH__RAPH1,98,48,0.98,0.05999999865889549,-0.25,0.3,True,1.0
CNV__RAC1,98,48,0.98,0.05999999865889549,0.26,0.22,True,1.0
METH__BAIAP2,98,48,0.98,0.05999999865889549,-0.22,0.22,True,1.0
METH__ZNF697,97,47,0.97,0.11999999731779099,-0.22,0.24,True,0.992
METH__C7orf70,97,47,0.97,0.07999999821186066,0.18,0.23,True,0.992
METH__ARHGAP5,96,46,0.96,0.07999999821186066,-0.26,0.23,True,0.832
METH__TBC1D9,96,46,0.96,0.10000000149011612,-0.26,0.23,True,0.832
METH__C6orf217,95,45,0.95,0.05999999865889549,-0.26,0.25,True,0.458
CNV__PICALM,89,39,0.89,0.029999999329447746,0.17,0.23,False,0.0
METH__SMAD1,88,39,0.88,0.07999999821186066,-0.22,0.22,False,0.0
METH__ZNF224,86,36,0.86,0.03999999910593033,-0.16,0.22,False,0.0
METH__LDOC1L,83,33,0.83,0.05999999865889549,-0.15,0.22,False,0.0
METH__AGPHD1,81,32,0.81,0.05000000074505806,-0.24,0.24,False,0.0
CNV__PAX5,79,31,0.79,0.009999999776482582,0.06,0.22,False,0.0
CNV__ZNF680,76,28,0.76,0.03999999910593033,0.2,0.22,False,0.0
METH__AHI1,74,25,0.74,0.05999999865889549,-0.25,0.23,False,0.0
