feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__SLC38A5,99,49,0.99,0.15000000596046448,-0.35,0.16,True,1.0
TPM__CDT1,97,47,0.97,0.15000000596046448,-0.38,0.12,True,0.992
TPM__BTC,85,35,0.85,0.1599999964237213,0.44,0.14,False,0.0
TPM__ENC1,84,34,0.84,0.17000000178813934,0.4,0.12,False,0.0
TPM__GPAT3,83,33,0.83,0.17000000178813934,0.43,0.11,False,0.0
TPM__SHISA4,80,30,0.8,0.20000000298023224,0.44,0.16,False,0.0
METH__ZBP1,75,25,0.75,0.15000000596046448,0.35,0.09,False,0.0
TPM__SEMA3C,73,23,0.73,0.15000000596046448,0.38,0.13,False,0.0
METH__LOC148709,72,23,0.72,0.15000000596046448,-0.33,0.13,False,0.0
TPM__KDM2B,72,22,0.72,0.1899999976158142,-0.4,0.17,False,0.0
METH__PTPN14,71,21,0.71,0.1599999964237213,-0.36,0.22,False,0.0
TPM__LGALS3,67,17,0.67,0.18000000715255737,0.42,0.1,False,0.0
TPM__TRG-AS1,66,16,0.66,0.18000000715255737,-0.32,0.19,False,0.0
METH__ZNF214,65,17,0.65,0.1599999964237213,-0.36,0.11,False,0.0
TPM__TMEM51,65,15,0.65,0.18000000715255737,0.38,0.17,False,0.0
TPM__PTGR1,64,16,0.64,0.1599999964237213,0.36,0.14,False,0.0
TPM__GULP1,64,14,0.64,0.20000000298023224,0.43,0.17,False,0.0
METH__IL2RB,62,15,0.62,0.1599999964237213,0.37,0.1,False,0.0
TPM__NECTIN2,60,11,0.6,0.15000000596046448,0.37,0.12,False,0.0
TPM__PXDC1,60,12,0.6,0.15000000596046448,0.38,0.07,False,0.0
TPM__AGAP2,59,10,0.59,0.23000000417232513,-0.47,0.19,False,0.0
TPM__IGFBP6,58,12,0.58,0.15000000596046448,0.39,0.13,False,0.0
TPM__PTTG1IP,57,8,0.57,0.17000000178813934,0.44,0.13,False,0.013
TPM__CRIM1-DT,57,8,0.57,0.15000000596046448,0.42,0.14,False,0.013
TPM__EVA1A,56,11,0.56,0.1599999964237213,0.42,0.14,False,0.0
METH__EIF3K,56,7,0.56,0.23999999463558197,0.42,0.25,True,0.053
METH__MAP1LC3B2,55,8,0.55,0.18000000715255737,0.36,0.19,False,0.013
METH__KRI1,54,10,0.54,0.2199999988079071,0.44,0.26,False,0.0
TPM__CEMIP2,54,7,0.54,0.15000000596046448,0.39,0.12,True,0.053
TPM__WFS1,53,6,0.53,0.15000000596046448,0.38,0.15,True,0.181
TPM__PMEPA1,53,8,0.53,0.1599999964237213,0.41,0.1,False,0.013
METH__TJP1,53,9,0.53,0.25999999046325684,-0.44,0.25,False,0.002
TPM__SPATS2L,52,3,0.52,0.20000000298023224,0.45,0.13,True,0.992
TPM__CD276,52,5,0.52,0.23999999463558197,0.41,0.16,True,0.458
TPM__FCHO1,51,7,0.51,0.15000000596046448,-0.39,0.13,True,0.053
TPM__ARSD,50,6,0.5,0.15000000596046448,0.38,0.14,True,0.181
TPM__IL17RC,50,3,0.5,0.1599999964237213,0.36,0.11,True,0.992
TPM__PRSS23,50,4,0.5,0.23999999463558197,0.49,0.21,True,0.832
METH__MGC29506,50,7,0.5,0.18000000715255737,0.38,0.21,True,0.053
METH__ARHGAP15,50,3,0.5,0.15000000596046448,0.35,0.15,True,0.992
METH__C21orf125,49,3,0.49,0.17000000178813934,0.38,0.15,True,0.992
TPM__PPP2R3A,48,6,0.48,0.15000000596046448,0.39,0.16,True,0.181
METH__ERRFI1,47,3,0.47,0.20000000298023224,-0.43,0.23,True,0.992
METH__AGXT2L2,47,7,0.47,0.1599999964237213,0.4,0.15,True,0.053
TPM__TMEM54,47,4,0.47,0.15000000596046448,0.32,0.14,True,0.832
TPM__CCND1,47,3,0.47,0.1599999964237213,0.34,0.19,True,0.992
TPM__RASAL2,46,2,0.46,0.20999999344348907,0.4,0.18,True,1.0
TPM__PPP1R16B,45,4,0.45,0.1599999964237213,-0.3,0.21,True,0.832
TPM__NACC2,45,3,0.45,0.17000000178813934,0.38,0.12,True,0.992
TPM__ALDH3B1,45,4,0.45,0.1599999964237213,0.4,0.15,True,0.832
TPM__RND3,44,1,0.44,0.18000000715255737,0.39,0.16,True,1.0
TPM__NPAS2,44,2,0.44,0.17000000178813934,0.43,0.12,True,1.0
METH__PFKFB2,44,5,0.44,0.15000000596046448,-0.37,0.14,True,0.458
METH__PARP10,43,3,0.43,0.15000000596046448,0.37,0.11,True,0.992
METH__AGAP2,43,1,0.43,0.17000000178813934,-0.29,0.22,True,1.0
TPM__TWF1,42,6,0.42,0.1599999964237213,0.39,0.16,True,0.181
METH__GCET2,41,2,0.41,0.18000000715255737,0.4,0.16,True,1.0
TPM__SLC35D2,40,2,0.4,0.23000000417232513,0.43,0.21,True,1.0
TPM__EAF2,40,4,0.4,0.18000000715255737,-0.38,0.15,True,0.832
TPM__ASPH,39,1,0.39,0.20000000298023224,0.45,0.16,True,1.0
