feature,Selection count,Pair count,CPSS Score
TPM__SH3BP4,100,50,1.0
METH__TJP1,100,50,1.0
TPM__IKZF1,100,50,1.0
TPM__PDE1B,100,50,1.0
TPM__CTTN,100,50,1.0
TPM__BCAR1,100,50,1.0
TPM__RASAL2-AS1,100,50,1.0
TPM__NCKAP1L,100,50,1.0
METH__MAP4K1,100,50,1.0
TPM__PRSS23,100,50,1.0
METH__CCM2,100,50,1.0
TPM__PLK2,100,50,1.0
TPM__GPR39,100,50,1.0
METH__EIF3K,100,50,1.0
TPM__SLC35D2,100,50,1.0
METH__ANKRD44,100,50,1.0
TPM__HRCT1,100,50,1.0
TPM__KRT15,100,50,1.0
TPM__ABLIM3,100,50,1.0
TPM__RCSD1,100,50,1.0
TPM__PTPN7,100,50,1.0
TPM__TNFRSF12A,100,50,1.0
METH__LAMB2,100,50,1.0
TPM__IRAG2,100,50,1.0
TPM__MET,100,50,1.0
TPM__KRT80,100,50,1.0
TPM__ITGA2,99,49,0.99
TPM__WWTR1,99,49,0.99
TPM__TSPAN1,99,49,0.99
METH__AGAP2,99,49,0.99
TPM__HCST,98,48,0.98
METH__ERRFI1,98,48,0.98
TPM__MYOF,98,48,0.98
METH__PER3,98,48,0.98
TPM__ARSJ,98,48,0.98
TPM__MATN3,97,47,0.97
METH__PTPRCAP,97,47,0.97
METH__TMEM51,97,47,0.97
TPM__THSD4,97,47,0.97
TPM__GMFG,96,46,0.96
TPM__RAPH1,96,46,0.96
METH__CASZ1,96,46,0.96
TPM__SERTAD4-AS1,96,46,0.96
TPM__MIR142HG,95,45,0.95
METH__PLEKHA1,95,45,0.95
TPM__TM4SF1-AS1,94,44,0.94
TPM__FHIP1A,94,44,0.94
METH__MGC29506,93,43,0.93
TPM__ARHGAP15,93,43,0.93
TPM__LAPTM5,93,43,0.93
METH__NPAS2,93,43,0.93
METH__KRI1,93,43,0.93
TPM__HCLS1,90,40,0.9
TPM__ITGB1P1,90,40,0.9
TPM__PKD1L2,90,40,0.9
TPM__PIK3CG,90,40,0.9
METH__MYO1G,88,38,0.88
TPM__KIF23-AS1,88,38,0.88
METH__EVL,87,38,0.87
TPM__THBS1-IT1,85,36,0.85
TPM__PRKCB,82,33,0.82
TPM__ZNF112,82,33,0.82
METH__C13orf29,80,30,0.8
METH__C15orf52,76,27,0.76
TPM__PPP1R16B,75,27,0.75
TPM__THRB,74,24,0.74
METH__CORO1B,74,25,0.74
TPM__BEND4,70,25,0.7
METH__INTU,64,16,0.64
METH__ADCY6,61,15,0.61
METH__CDKN2D,61,15,0.61
METH__LCA5,60,14,0.6
METH__C9orf150,58,12,0.58
METH__ZNF101,58,15,0.58
METH__CCDC12,57,11,0.57
TPM__RPL10P13,57,13,0.57
METH__ACTN1,52,11,0.52
METH__FAM47E,51,11,0.51
METH__LAPTM4A,48,8,0.48
METH__HNRNPC,47,6,0.47
METH__HSP90AA1,44,5,0.44
METH__TERF1,43,7,0.43
METH__ZNF697,43,2,0.43
METH__PIGM,41,7,0.41
METH__LRIG3,41,8,0.41
METH__OSBPL1A,41,5,0.41
METH__FOXJ3,38,6,0.38
METH__OPHN1,38,6,0.38
METH__ARSJ,38,4,0.38
METH__PPIC,36,4,0.36
CNV__NTRK3,34,1,0.34
METH__FAT1,34,3,0.34
METH__GULP1,34,3,0.34
METH__GSPT1,33,3,0.33
METH__ABCD3,33,2,0.33
METH__LRTOMT,31,2,0.31
METH__WWTR1,31,1,0.31
METH__NRP1,31,5,0.31
METH__SAMD5,30,3,0.3
METH__COTL1,30,4,0.3
METH__PTPN14,28,2,0.28
METH__ARHGAP5,28,1,0.28
CNV__PIK3R1,28,1,0.28
CNV__MAP3K1,27,4,0.27
METH__ITGB8,26,2,0.26
METH__LNPEP,26,1,0.26
METH__TPX2,26,1,0.26
METH__C17orf61,26,1,0.26
CNV__SMAD3,25,1,0.25
METH__SOCS3,25,1,0.25
METH__TRIM3,24,3,0.24
METH__MYO1E,23,2,0.23
CNV__MAP2K1,22,1,0.22
CNV__IL6ST,21,0,0.21
METH__DSTN,21,1,0.21
METH__TEAD1,21,3,0.21
CNV__RASA1,20,1,0.2
CNV__ABI1,19,1,0.19
CNV__CRTC3,17,1,0.17
CNV__FLI1,17,0,0.17
CNV__FES,17,0,0.17
METH__C9orf41,16,0,0.16
CNV__IDH2,16,1,0.16
CNV__PML,14,0,0.14
METH__TNPO2,14,0,0.14
METH__C6orf217,14,0,0.14
CNV__SIN3A,14,0,0.14
CNV__NBEA,13,0,0.13
