feature,Selection count,Pair count,CPSS Score
TPM__INTS9,96,46,0.96
METH__C19orf35,90,40,0.9
TPM__MOB3A,88,38,0.88
TPM__CYTH4,86,36,0.86
TPM__PTK2B,85,35,0.85
TPM__WFS1,84,34,0.84
TPM__TRABD,83,33,0.83
TPM__SDSL,77,27,0.77
TPM__EAF2,76,26,0.76
TPM__SOX9,75,25,0.75
TPM__MRPS18AP1,74,25,0.74
METH__C20orf24,74,24,0.74
TPM__RN7SL689P,72,22,0.72
METH__MGAT1,71,21,0.71
METH__ONECUT2,70,20,0.7
METH__LOC148709,67,19,0.67
TPM__EPN2,66,16,0.66
TPM__CRIM1,66,16,0.66
TPM__HSPA1B,66,16,0.66
TPM__AGAP2,65,15,0.65
TPM__THSD4,64,15,0.64
TPM__PLS3,64,14,0.64
TPM__SLC2A8,62,13,0.62
TPM__DLG5,62,12,0.62
METH__MLL2,61,12,0.61
METH__PLCB2,59,10,0.59
TPM__ERBB2,59,9,0.59
TPM__TBC1D10C,59,13,0.59
TPM__SNX21,58,10,0.58
METH__TSPAN12,58,9,0.58
METH__PARP10,56,7,0.56
TPM__MID2,55,10,0.55
METH__MIR1469,54,6,0.54
TPM__BCAR1,53,5,0.53
TPM__ATP9A,53,8,0.53
METH__TLR9,52,6,0.52
TPM__PVR,51,4,0.51
METH__CROCC,50,6,0.5
METH__FAT1,50,5,0.5
METH__TLCD2,50,5,0.5
TPM__ZNF589,48,7,0.48
TPM__STAC3,47,4,0.47
TPM__PDE1B,46,4,0.46
METH__INPP5D,46,6,0.46
TPM__CARD10,45,3,0.45
TPM__CXCL16,45,1,0.45
METH__GPR125,45,5,0.45
TPM__CLIP1,45,2,0.45
TPM__IQSEC2,44,2,0.44
TPM__RHPN2,44,2,0.44
TPM__DOCK1,44,1,0.44
METH__SH2B2,43,3,0.43
TPM__MORC4,42,4,0.42
METH__MIR182,42,2,0.42
TPM__GPSM3,41,0,0.41
TPM__KIFBP,41,0,0.41
TPM__SEPTIN10,41,1,0.41
TPM__JUN,40,1,0.4
TPM__CASKIN2,40,0,0.4
METH__LYL1,40,2,0.4
METH__C16orf54,40,1,0.4
TPM__TMEM54,40,1,0.4
METH__TBC1D10C,39,1,0.39
TPM__CEP170B,39,2,0.39
METH__LPAR5,38,0,0.38
METH__FCHO1,38,1,0.38
TPM__WASL,38,1,0.38
METH__ST6GALNAC4,37,4,0.37
TPM__THAP10,37,2,0.37
TPM__CTDSPL,37,1,0.37
