feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
METH__PRIC285,100,50,1.0,0.15000000596046448,0.37,0.18,True,1.0
METH__KLF4,100,50,1.0,0.10999999940395355,-0.21,0.2,True,1.0
METH__C7orf70,100,50,1.0,0.07000000029802322,0.15,0.22,True,1.0
TPM__NCKAP1L,100,50,1.0,0.18000000715255737,-0.32,0.18,True,1.0
METH__LRP6,100,50,1.0,0.05999999865889549,-0.17,0.19,True,1.0
METH__PTPN14,100,50,1.0,0.10999999940395355,-0.31,0.21,True,1.0
TPM__LINC01843,100,50,1.0,0.029999999329447746,0.28,0.19,True,1.0
TPM__SNORA22,100,50,1.0,0.009999999776482582,-0.13,0.2,True,1.0
METH__PSMB8,100,50,1.0,0.05999999865889549,0.3,0.18,True,1.0
METH__DSTN,100,50,1.0,0.10999999940395355,-0.29,0.22,True,1.0
TPM__MIR142HG,100,50,1.0,0.18000000715255737,-0.26,0.19,True,1.0
METH__TMEM51,100,50,1.0,0.10000000149011612,-0.18,0.21,True,1.0
METH__LOC100130776,100,50,1.0,0.15000000596046448,-0.28,0.18,True,1.0
TPM__MT1A,100,50,1.0,0.019999999552965164,0.17,0.16,True,1.0
METH__BAT4,100,50,1.0,0.05999999865889549,0.25,0.18,True,1.0
METH__TEAD4,100,50,1.0,0.09000000357627869,-0.2,0.19,True,1.0
METH__CCDC12,100,50,1.0,0.11999999731779099,-0.27,0.18,True,1.0
TPM__ZIC4,99,49,0.99,0.009999999776482582,0.08,0.19,True,1.0
METH__C14orf128,99,49,0.99,0.05000000074505806,-0.24,0.18,True,1.0
METH__C6orf136,99,49,0.99,0.0,0.02,0.18,True,1.0
METH__LRBA,98,48,0.98,0.0,-0.14,0.19,True,1.0
METH__PTGR2,98,48,0.98,0.07000000029802322,-0.26,0.22,True,1.0
TPM__SNORA2C,97,47,0.97,0.0,-0.0,0.17,True,0.992
METH__LMCD1,96,46,0.96,0.07999999821186066,-0.26,0.17,True,0.832
TPM__RNVU1-26,96,46,0.96,0.05000000074505806,-0.18,0.2,True,0.832
METH__TARS,93,43,0.93,0.05000000074505806,-0.17,0.24,True,0.053
METH__MYO1E,92,42,0.92,0.029999999329447746,-0.05,0.22,False,0.013
TPM__RNA5SP203,90,40,0.9,0.009999999776482582,-0.09,0.17,False,0.0
METH__C21orf59,88,38,0.88,0.05000000074505806,-0.16,0.2,False,0.0
CNV__ARHGAP5,87,37,0.87,0.0,0.21,0.18,False,0.0
METH__DDX50,85,35,0.85,0.05000000074505806,-0.17,0.2,False,0.0
METH__DCDC1,83,33,0.83,0.029999999329447746,-0.14,0.22,False,0.0
METH__DNAJC24,83,34,0.83,0.029999999329447746,-0.13,0.2,False,0.0
TPM__SNORA20,82,34,0.82,0.009999999776482582,-0.11,0.2,False,0.0
TPM__SCARNA4,82,32,0.82,0.019999999552965164,-0.16,0.2,False,0.0
CNV__EBF1,81,32,0.81,0.029999999329447746,0.2,0.18,False,0.0
METH__JMY,77,27,0.77,0.009999999776482582,-0.07,0.2,False,0.0
METH__SEC24B,77,29,0.77,0.019999999552965164,-0.07,0.17,False,0.0
METH__AGPHD1,72,24,0.72,0.05000000074505806,-0.22,0.23,False,0.0
TPM__ATP5F1EP2,70,24,0.7,0.0,0.05,0.2,False,0.0
TPM__SNORA15,68,19,0.68,0.0,0.02,0.18,False,0.0
TPM__SNORA14B,65,20,0.65,0.0,0.0,0.18,False,0.0
METH__SYAP1,65,19,0.65,0.03999999910593033,-0.12,0.18,False,0.0
TPM__SNORD10,64,16,0.64,0.0,0.05,0.2,False,0.0
METH__IRF2,63,14,0.63,0.009999999776482582,-0.12,0.18,False,0.0
CNV__HIF1A,63,17,0.63,0.029999999329447746,0.2,0.19,False,0.0
MUT__KRAS,63,14,0.63,0.009999999776482582,0.09,0.22,False,0.0
CNV__KLF6,61,18,0.61,0.009999999776482582,0.12,0.19,False,0.0
CNV__SIX1,61,17,0.61,0.03999999910593033,0.2,0.19,False,0.0
TPM__SNORA70,60,17,0.6,0.0,-0.03,0.19,False,0.0
TPM__RNU4-89P,60,18,0.6,0.0,-0.05,0.18,False,0.0
