feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__IKZF1,100,50,1.0,0.28999999165534973,-0.27,0.25,True,1.0
TPM__TEAD1,100,50,1.0,0.25,0.37,0.23,True,1.0
TPM__ARHGAP30,100,50,1.0,0.23000000417232513,-0.24,0.21,True,1.0
METH__BZRAP1,100,50,1.0,0.27000001072883606,0.4,0.2,True,1.0
TPM__DOCK2,100,50,1.0,0.20000000298023224,-0.29,0.21,True,1.0
TPM__DAG1,100,50,1.0,0.23000000417232513,0.42,0.25,True,1.0
TPM__SNX21,100,50,1.0,0.1899999976158142,0.37,0.2,True,1.0
TPM__ERRFI1,100,50,1.0,0.20999999344348907,0.38,0.2,True,1.0
TPM__PTPRCAP,100,50,1.0,0.20999999344348907,-0.2,0.24,True,1.0
TPM__IFNWP19,100,50,1.0,0.09000000357627869,0.36,0.21,True,1.0
TPM__PTPN7,100,50,1.0,0.30000001192092896,-0.33,0.23,True,1.0
METH__PIK3CG,100,50,1.0,0.1899999976158142,0.36,0.21,True,1.0
TPM__PLBD1-AS1,100,50,1.0,0.07000000029802322,0.35,0.2,True,1.0
TPM__WAS,100,50,1.0,0.3199999928474426,-0.39,0.23,True,1.0
TPM__RCSD1,100,50,1.0,0.25,-0.22,0.2,True,1.0
METH__MAP4K1,100,50,1.0,0.2199999988079071,0.39,0.23,True,1.0
METH__MIR142,100,50,1.0,0.25,0.34,0.24,True,1.0
METH__LOC100130776,100,50,1.0,0.2800000011920929,-0.4,0.21,True,1.0
TPM__NCKAP1,100,50,1.0,0.25999999046325684,0.31,0.21,True,1.0
METH__C9orf150,100,50,1.0,0.23000000417232513,-0.29,0.28,True,1.0
METH__PSMB8,100,50,1.0,0.05999999865889549,0.3,0.22,True,1.0
TPM__MIR142HG,100,50,1.0,0.28999999165534973,-0.31,0.26,True,1.0
TPM__SERTAD4-AS1,100,50,1.0,0.12999999523162842,0.38,0.22,True,1.0
TPM__DMBX1,100,50,1.0,0.05000000074505806,0.38,0.22,True,1.0
TPM__PCDH1,100,50,1.0,0.1599999964237213,0.43,0.21,True,1.0
TPM__PPIC,100,50,1.0,0.25999999046325684,0.46,0.2,True,1.0
TPM__NCKAP1L,100,50,1.0,0.2800000011920929,-0.31,0.27,True,1.0
TPM__ELMO1,100,50,1.0,0.1899999976158142,-0.33,0.21,True,1.0
METH__MARVELD3,100,50,1.0,0.25,-0.43,0.22,True,1.0
METH__CCM2,100,50,1.0,0.2800000011920929,0.4,0.25,True,1.0
TPM__TJP1,100,50,1.0,0.2800000011920929,0.38,0.25,True,1.0
METH__MGAT1,99,49,0.99,0.2199999988079071,0.38,0.2,True,1.0
TPM__VAV1,99,49,0.99,0.10999999940395355,-0.22,0.2,True,1.0
METH__LAMB2,99,49,0.99,0.2199999988079071,-0.2,0.2,True,1.0
TPM__CTNND1,97,47,0.97,0.20000000298023224,0.38,0.23,True,0.992
