feature,Selection count,Pair count,CPSS Score
METH__USP34,98,48,0.98
TPM__BCL2L1,96,46,0.96
METH__TRPS1,92,42,0.92
METH__CCDC154,92,42,0.92
TPM__STK32A,91,41,0.91
TPM__QRSL1,91,41,0.91
METH__MORC2,90,40,0.9
METH__TUG1,90,40,0.9
METH__RBAK,88,38,0.88
TPM__MAN2B1,87,37,0.87
TPM__FOXO1,84,34,0.84
TPM__SMIM10L1,82,32,0.82
TPM__CCDC61,82,32,0.82
TPM__NRIP3,78,28,0.78
TPM__PRR4,78,28,0.78
TPM__RPL18AP3,76,26,0.76
TPM__GAB2,75,25,0.75
TPM__TNF,74,24,0.74
METH__CYSLTR1,70,20,0.7
TPM__HLCS-AS1,69,19,0.69
METH__CPE,67,18,0.67
TPM__HOXB8,66,19,0.66
TPM__ARHGEF6,66,16,0.66
TPM__DYNLL2,65,15,0.65
METH__ZFP112,65,15,0.65
TPM__TBC1D10C,63,13,0.63
TPM__MAPK8IP1,63,13,0.63
TPM__RASAL2-AS1,61,11,0.61
TPM__HLA-DOB,61,12,0.61
TPM__FN3K,60,12,0.6
TPM__LONRF2,60,10,0.6
TPM__EPHA10,58,13,0.58
TPM__SEMA4A,58,10,0.58
METH__SLC15A1,57,9,0.57
TPM__TMEM17,57,8,0.57
TPM__CREBL2,56,11,0.56
METH__C17orf87,55,7,0.55
TPM__NOA1,55,8,0.55
METH__PCCA,54,6,0.54
METH__MYO1G,53,5,0.53
TPM__AQP11,53,6,0.53
TPM__RASSF8,53,6,0.53
TPM__DUSP2,52,8,0.52
TPM__FAXC,52,5,0.52
TPM__EAF2,52,9,0.52
TPM__TNFAIP8,52,7,0.52
TPM__WDR45B,51,6,0.51
TPM__NT5DC3,49,6,0.49
METH__KIR2DS4,47,4,0.47
METH__MIR597,46,4,0.46
TPM__MACF1,46,2,0.46
TPM__BLNK,46,4,0.46
TPM__LTBR,45,3,0.45
TPM__CA8,44,2,0.44
TPM__BEX2,44,1,0.44
TPM__EEF2,43,1,0.43
TPM__NOS1AP,43,3,0.43
METH__MYH14,43,3,0.43
TPM__NPTX1,43,3,0.43
TPM__SOX13,42,1,0.42
TPM__HOXD1,41,2,0.41
TPM__NGRN,41,0,0.41
METH__ACTL9,41,4,0.41
TPM__STAC3,40,3,0.4
TPM__PDZD11,40,2,0.4
TPM__CYTH4,39,0,0.39
METH__CYP27A1,38,1,0.38
TPM__STXBP1,38,2,0.38
TPM__KMO,38,1,0.38
TPM__HCLS1,38,3,0.38
METH__MIR365-1,38,1,0.38
TPM__SLC6A17,37,1,0.37
TPM__GMIP,37,1,0.37
METH__OR5A2,37,0,0.37
METH__CIT,36,3,0.36
TPM__LINC02609,36,0,0.36
TPM__TLR1,36,1,0.36
TPM__MAST3,35,0,0.35
TPM__PALD1,35,1,0.35
TPM__PPME1,35,0,0.35
TPM__AGAP3,34,0,0.34
METH__AR,34,0,0.34
TPM__SLC37A3,34,0,0.34
METH__BEX5,34,0,0.34
TPM__RCSD1,33,0,0.33
TPM__RNF157-AS1,33,0,0.33
TPM__RPL19,33,1,0.33
TPM__CUEDC1,33,0,0.33
TPM__ZHX2,32,1,0.32
TPM__IL21R,32,3,0.32
TPM__DNAJC6,32,0,0.32
TPM__RGS7,32,0,0.32
TPM__GPRASP1,32,0,0.32
TPM__MAP4K3,32,0,0.32
TPM__MAFF,32,1,0.32
TPM__MAPRE3,31,0,0.31
TPM__ZNF296,31,1,0.31
TPM__HOXB2,31,1,0.31
TPM__PLXNA1,31,1,0.31
METH__PEA15,31,0,0.31
TPM__PYGB,31,0,0.31
TPM__RAB6B,30,1,0.3
TPM__TRPM8,30,0,0.3
METH__MIR1178,30,0,0.3
TPM__LYN,30,0,0.3
METH__PIK3CG,29,0,0.29
TPM__ACTG1P25,29,2,0.29
TPM__INPP5D,29,0,0.29
TPM__SHTN1,29,0,0.29
TPM__RAPGEF4,29,2,0.29
TPM__SORBS1,29,3,0.29
TPM__NAV2-AS1,29,0,0.29
TPM__CXCR5,29,0,0.29
METH__C7orf70,29,0,0.29
TPM__ENTREP1,28,0,0.28
METH__MAOA,28,0,0.28
METH__AGAP2,28,0,0.28
TPM__FBLN7,28,1,0.28
TPM__ARHGAP30,27,0,0.27
TPM__TOM1L1,27,0,0.27
TPM__VPREB3,26,0,0.26
TPM__RPL34,26,0,0.26
TPM__APMAP,26,6,0.26
METH__LAPTM4A,26,0,0.26
TPM__ADCY1,26,4,0.26
TPM__MOB3A,25,0,0.25
TPM__SLC15A2,25,0,0.25
METH__PCSK5,25,7,0.25
TPM__ZCCHC7,25,0,0.25
METH__ARSG,24,1,0.24
METH__RHOH,24,0,0.24
TPM__EIF3D,24,0,0.24
TPM__NR2F1,24,0,0.24
TPM__ARNT2,24,0,0.24
TPM__NCK2,24,1,0.24
METH__PHKA1,24,5,0.24
TPM__TNFRSF19,24,2,0.24
TPM__EVA1A,24,0,0.24
METH__C3orf39,23,0,0.23
METH__NEIL2,23,0,0.23
METH__ISPD,23,2,0.23
TPM__PTPRN2,23,1,0.23
TPM__PSMB10,22,1,0.22
TPM__ZNF112,22,0,0.22
TPM__WSB2,22,0,0.22
METH__CDK20,22,1,0.22
TPM__RTN4,22,0,0.22
TPM__ERRFI1,22,0,0.22
TPM__CD52,22,0,0.22
TPM__PTMS,22,0,0.22
METH__PLEKHA5,22,1,0.22
METH__HNRNPC,22,1,0.22
TPM__PTPN3,22,1,0.22
TPM__ZSWIM5,22,1,0.22
TPM__SCG2,22,0,0.22
TPM__SLC38A5,21,1,0.21
TPM__VWA5B2,21,0,0.21
METH__ACOX3,21,0,0.21
TPM__SVIP,21,0,0.21
TPM__PLEKHB1,21,4,0.21
TPM__CNN3,21,0,0.21
METH__CCDC88B,21,0,0.21
TPM__ZNF223,21,0,0.21
TPM__STK17B,21,2,0.21
TPM__SNX24,20,4,0.2
METH__ZNF595,20,0,0.2
METH__TCF3,20,0,0.2
METH__ARNT2,20,0,0.2
METH__GCET2,20,0,0.2
METH__CENPH,20,0,0.2
METH__KIF21A,20,1,0.2
METH__STRAP,20,0,0.2
TPM__ARHGAP21,19,2,0.19
METH__ANKRD44,19,0,0.19
TPM__FGF12,19,3,0.19
TPM__ADA,19,0,0.19
METH__GPR39,19,0,0.19
METH__ITPKB,19,2,0.19
METH__CTGF,19,0,0.19
TPM__RPL7A,19,0,0.19
TPM__LCP1,19,0,0.19
METH__PFKFB2,19,3,0.19
METH__MTNR1A,19,0,0.19
TPM__ZNF214,19,3,0.19
TPM__MORN4,19,1,0.19
TPM__FKBP9,18,0,0.18
METH__BIN2,18,0,0.18
TPM__THAP10,18,1,0.18
METH__FERMT3,18,0,0.18
TPM__AADAT,18,0,0.18
TPM__RPL3,18,0,0.18
METH__MATN3,18,0,0.18
TPM__SNX9,18,0,0.18
TPM__RPL18A,18,0,0.18
TPM__RPS2,18,0,0.18
TPM__RPS28,17,0,0.17
TPM__PAM,17,4,0.17
METH__PRAMEF20,17,1,0.17
TPM__GAS2L3,17,0,0.17
TPM__MARCHF4,17,5,0.17
TPM__WLS,17,1,0.17
TPM__ALOX5AP,17,0,0.17
TPM__SLC2A5,17,2,0.17
METH__CNN3,17,2,0.17
