feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
CNV__HEY1,76,26,0.76,0.15000000596046448,0.26,0.12,False,0.0
METH__MGAT1,72,22,0.72,0.1599999964237213,0.4,0.17,False,0.0
TPM__TMEM143,70,20,0.7,0.14000000059604645,-0.32,0.07,False,0.0
TPM__DLEU2,67,17,0.67,0.20999999344348907,-0.41,0.09,False,0.0
METH__ZNF280D,56,10,0.56,0.14000000059604645,-0.39,0.06,False,0.0
METH__PARP10,56,7,0.56,0.1599999964237213,0.44,0.12,True,0.053
TPM__SMIM27,55,11,0.55,0.14000000059604645,-0.34,0.07,False,0.0
METH__TMEM135,55,8,0.55,0.1599999964237213,-0.4,0.15,False,0.013
TPM__NDUFA7,51,5,0.51,0.15000000596046448,-0.35,0.13,True,0.458
TPM__FMNL1,51,3,0.51,0.14000000059604645,-0.38,0.03,True,0.992
TPM__EAF2,50,6,0.5,0.23000000417232513,-0.46,0.21,True,0.181
TPM__MET,48,4,0.48,0.17000000178813934,0.42,0.14,True,0.832
TPM__MSL2,47,5,0.47,0.14000000059604645,-0.33,0.11,True,0.458
METH__EIF3J,47,5,0.47,0.15000000596046448,-0.36,0.08,True,0.458
TPM__TSPAN6,47,1,0.47,0.17000000178813934,0.44,0.25,True,1.0
METH__GCET2,46,2,0.46,0.15000000596046448,0.41,0.13,True,1.0
METH__GMFG,44,2,0.44,0.1599999964237213,0.42,0.16,True,1.0
TPM__CORO1A,43,4,0.43,0.14000000059604645,-0.34,0.16,True,0.832
METH__IBTK,41,0,0.41,0.1899999976158142,-0.43,0.11,False,
METH__PIGM,40,2,0.4,0.1599999964237213,-0.37,0.13,True,1.0
TPM__TSPOAP1-AS1,39,1,0.39,0.14000000059604645,-0.34,0.15,True,1.0
TPM__SH3D19,38,1,0.38,0.15000000596046448,0.44,0.11,True,1.0
METH__B3GNT5,38,2,0.38,0.14000000059604645,-0.43,0.07,True,1.0
TPM__AGAP2,37,3,0.37,0.20000000298023224,-0.49,0.16,True,0.992
METH__GNS,36,0,0.36,0.15000000596046448,-0.41,0.13,False,
METH__MAP1LC3B2,35,0,0.35,0.1599999964237213,0.42,0.2,False,
TPM__ARID1A,34,3,0.34,0.14000000059604645,-0.33,0.09,True,0.992
METH__C8orf75,32,0,0.32,0.15000000596046448,0.39,0.11,False,
METH__OBFC1,31,1,0.31,0.14000000059604645,-0.32,0.1,True,1.0
TPM__RPS13,31,0,0.31,0.14000000059604645,-0.39,0.14,False,
METH__PXN,31,0,0.31,0.15000000596046448,0.39,0.19,False,
TPM__KCNAB2,29,1,0.29,0.14000000059604645,-0.37,0.17,True,1.0
TPM__BCL11A,29,0,0.29,0.15000000596046448,-0.36,0.07,False,
METH__MAP4K1,29,0,0.29,0.14000000059604645,0.35,0.22,False,
TPM__DCP2,27,1,0.27,0.14000000059604645,-0.36,0.18,True,1.0
METH__ANKRD44,27,0,0.27,0.1599999964237213,0.38,0.16,False,
TPM__TRIM13,27,0,0.27,0.15000000596046448,-0.29,0.0,False,
TPM__FAM117A,26,2,0.26,0.14000000059604645,-0.37,0.1,True,1.0
TPM__DCK,25,0,0.25,0.14000000059604645,-0.32,0.08,False,
TPM__NCKAP1L,25,0,0.25,0.14000000059604645,-0.37,0.18,False,
METH__HSPA12A,23,0,0.23,0.15000000596046448,-0.4,0.05,False,
METH__ZMYND11,23,3,0.23,0.14000000059604645,-0.43,0.11,True,0.992
