feature,Selection count,Pair count,CPSS Score
CNV__HEY1,76,26,0.76
METH__MGAT1,72,22,0.72
TPM__TMEM143,70,20,0.7
TPM__DLEU2,67,17,0.67
METH__ZNF280D,56,10,0.56
METH__PARP10,56,7,0.56
TPM__SMIM27,55,11,0.55
METH__TMEM135,55,8,0.55
TPM__NDUFA7,51,5,0.51
TPM__FMNL1,51,3,0.51
TPM__EAF2,50,6,0.5
TPM__MET,48,4,0.48
TPM__MSL2,47,5,0.47
METH__EIF3J,47,5,0.47
TPM__TSPAN6,47,1,0.47
METH__GCET2,46,2,0.46
METH__GMFG,44,2,0.44
TPM__CORO1A,43,4,0.43
METH__IBTK,41,0,0.41
METH__PIGM,40,2,0.4
TPM__TSPOAP1-AS1,39,1,0.39
TPM__SH3D19,38,1,0.38
METH__B3GNT5,38,2,0.38
TPM__AGAP2,37,3,0.37
METH__GNS,36,0,0.36
METH__MAP1LC3B2,35,0,0.35
TPM__ARID1A,34,3,0.34
METH__C8orf75,32,0,0.32
METH__OBFC1,31,1,0.31
TPM__RPS13,31,0,0.31
METH__PXN,31,0,0.31
TPM__KCNAB2,29,1,0.29
TPM__BCL11A,29,0,0.29
METH__MAP4K1,29,0,0.29
TPM__TRIM13,27,0,0.27
METH__ANKRD44,27,0,0.27
TPM__DCP2,27,1,0.27
TPM__FAM117A,26,2,0.26
TPM__DCK,25,0,0.25
TPM__NCKAP1L,25,0,0.25
METH__HSPA12A,23,0,0.23
METH__ZMYND11,23,3,0.23
TPM__ING5,23,0,0.23
TPM__ZNF101,22,1,0.22
METH__PRSS23,22,4,0.22
TPM__RPL11,21,0,0.21
METH__CFD,20,1,0.2
TPM__SMDT1,19,5,0.19
TPM__ITGA3,19,0,0.19
TPM__GPRC5A,19,1,0.19
TPM__HADH,18,3,0.18
METH__TSPAN12,18,1,0.18
TPM__RFXAP,17,1,0.17
TPM__RBM10,17,0,0.17
TPM__GTPBP1,17,0,0.17
TPM__SMAP2,17,0,0.17
TPM__MAP4K1,16,0,0.16
METH__CD46,16,1,0.16
TPM__CDT1,15,2,0.15
TPM__TERF2,15,0,0.15
TPM__SNRPA,15,2,0.15
METH__GSPT1,14,3,0.14
METH__GAS2L3,13,0,0.13
TPM__SEPTIN6,13,4,0.13
TPM__TRAF3IP3,12,0,0.12
METH__CAPN2,12,1,0.12
METH__LRRC25,12,1,0.12
TPM__MTA2,12,1,0.12
METH__C16orf54,12,0,0.12
TPM__RNASEH2B,11,1,0.11
METH__ST6GALNAC4,11,1,0.11
TPM__FAM78A,11,3,0.11
TPM__ARHGAP19,11,2,0.11
METH__RGS1,11,0,0.11
TPM__CDC25A,10,1,0.1
TPM__ARHGAP25,10,3,0.1
TPM__RPS28,10,1,0.1
METH__PLEKHA6,10,1,0.1
METH__NLRC3,9,0,0.09
METH__ERRFI1,9,3,0.09
TPM__DUT,9,0,0.09
METH__BZRAP1,9,0,0.09
METH__ITGA2,9,1,0.09
METH__RGS14,8,1,0.08
TPM__PSTPIP1,8,0,0.08
METH__MIR203,7,0,0.07
METH__SLC44A2,7,0,0.07
TPM__ARHGAP9,6,0,0.06
TPM__IKZF1,6,0,0.06
TPM__DOT1L,6,3,0.06
TPM__GRK2,6,0,0.06
TPM__ARHGAP15,6,0,0.06
TPM__KBTBD8,6,2,0.06
TPM__EPHA2,5,1,0.05
METH__MARVELD3,5,0,0.05
TPM__EXOSC8,5,0,0.05
METH__THBS1,5,0,0.05
TPM__PLPP2,5,0,0.05
METH__CASZ1,5,0,0.05
METH__LAPTM4A,4,0,0.04
METH__GPR125,4,0,0.04
TPM__CD53,4,0,0.04
METH__SASH1,4,0,0.04
TPM__SDC4,4,0,0.04
METH__CCDC88B,3,0,0.03
METH__TJP1,3,0,0.03
TPM__ARHGAP30,3,0,0.03
METH__TBC1D10C,3,0,0.03
METH__SLA2,3,0,0.03
TPM__WAS,2,0,0.02
METH__PRIC285,2,0,0.02
METH__CCDC12,2,0,0.02
METH__MTMR11,2,0,0.02
TPM__SH2D3C,2,0,0.02
METH__ABHD10,2,0,0.02
TPM__KDM2B,2,1,0.02
METH__PKIB,2,0,0.02
TPM__MFNG,2,0,0.02
METH__JUB,1,0,0.01
TPM__LMNA,1,0,0.01
METH__BCL9L,1,0,0.01
METH__GPR39,1,0,0.01
METH__HCST,1,0,0.01
METH__FAM129C,1,0,0.01
METH__TMEM149,1,0,0.01
TPM__CARMIL2,1,0,0.01
METH__PTPN7,0,0,0.0
METH__APOB48R,0,0,0.0
METH__CTSZ,0,0,0.0
TPM__HNRNPD,0,0,0.0
METH__CNR2,0,0,0.0
METH__LOC100130776,0,0,0.0
METH__CCM2,0,0,0.0
TPM__TNFRSF12A,0,0,0.0
TPM__GMFG,0,0,0.0
METH__OSM,0,0,0.0
METH__MIR142,0,0,0.0
METH__RASAL2,0,0,0.0
METH__DSTN,0,0,0.0
