feature,Selection count,Pair count,CPSS Score
MUT__BRAF,100,50,1.0
METH__SNORD49A,100,50,1.0
TPM__ST8SIA2,100,50,1.0
TPM__RPS6KA6,100,50,1.0
METH__EIF4E,100,50,1.0
METH__HYAL3,100,50,1.0
TPM__CRABP1,100,50,1.0
MUT__NRAS,100,50,1.0
TPM__RNU1-16P,100,50,1.0
METH__TCEANC,100,50,1.0
METH__NAT6,100,50,1.0
METH__VPS52,100,50,1.0
METH__MSH5,100,50,1.0
METH__SNX33,99,49,0.99
METH__TRAF7,99,49,0.99
METH__TFCP2,99,49,0.99
MUT__RB1,98,48,0.98
METH__C14orf80,98,48,0.98
METH__FAM3C,98,48,0.98
METH__QKI,98,48,0.98
TPM__SNORA22,96,46,0.96
METH__SYNGR4,96,46,0.96
METH__MRPS18B,96,46,0.96
METH__CCT6P1,95,45,0.95
MUT__KRAS,94,44,0.94
METH__IRF2,94,44,0.94
TPM__LINC02041,93,43,0.93
TPM__RPS28P5,92,42,0.92
CNV__FOXO1,91,41,0.91
TPM__RNU4-52P,91,41,0.91
METH__SNORD101,91,41,0.91
TPM__SNORA7B,88,38,0.88
METH__SCARNA10,87,37,0.87
METH__VTI1A,87,37,0.87
CNV__LATS2,86,36,0.86
TPM__RNVU1-25,86,36,0.86
METH__MOCS2,86,37,0.86
METH__MGAT2,85,35,0.85
TPM__SNORA18,84,34,0.84
METH__DPH3,84,34,0.84
METH__ZBTB37,83,33,0.83
METH__TMEM143,80,31,0.8
TPM__MIR1307,80,32,0.8
CNV__FOXP1,79,30,0.79
MUT__APC,78,28,0.78
CNV__ARHGEF10,78,30,0.78
METH__TXN2,76,27,0.76
TPM__TMSB4XP1,73,28,0.73
CNV__PCM1,73,27,0.73
TPM__RNU1-91P,72,26,0.72
TPM__SNORA47,70,25,0.7
CNV__BCL2,68,23,0.68
METH__MED7,68,21,0.68
CNV__ESR1,66,18,0.66
TPM__SNORA4,64,21,0.64
TPM__SNORA80B,63,16,0.63
METH__SON,62,16,0.62
METH__C6orf217,61,16,0.61
CNV__TCF4,60,18,0.6
TPM__SNORA63,60,14,0.6
METH__AHI1,60,18,0.6
TPM__SNORA20,59,15,0.59
CNV__KDSR,59,16,0.59
CNV__PAX7,59,15,0.59
METH__ZNF571,59,13,0.59
METH__TTC1,57,15,0.57
METH__GART,56,13,0.56
METH__RBM14,55,9,0.55
TPM__SCARNA4,55,13,0.55
TPM__SNORA71D,54,12,0.54
METH__POLS,54,12,0.54
METH__RNFT1,54,11,0.54
METH__SNORA70B,53,13,0.53
TPM__RNU4-89P,53,14,0.53
METH__ARHGAP26,52,12,0.52
METH__NCRNA00081,52,9,0.52
CNV__NOTCH1,51,12,0.51
CNV__PTPRK,48,11,0.48
TPM__SNORD10,48,10,0.48
METH__ARSA,47,10,0.47
TPM__SNORA14B,47,12,0.47
CNV__NRG1,47,11,0.47
METH__CN5H6.4,47,11,0.47
TPM__RNA5SP323,46,7,0.46
METH__HNRNPA3,46,7,0.46
CNV__RSPO3,46,10,0.46
METH__MBOAT1,46,7,0.46
METH__C7orf70,46,10,0.46
METH__CCDC64,45,9,0.45
METH__SH3GL1,45,9,0.45
TPM__SNORA29,44,9,0.44
METH__CWF19L1,43,8,0.43
CNV__WRN,43,8,0.43
METH__SLC7A6,43,9,0.43
CNV__LMO2,43,7,0.43
TPM__SNORA16B,42,7,0.42
METH__MTMR4,42,5,0.42
CNV__SMAD2,41,5,0.41
TPM__VTRNA2-1,41,6,0.41
METH__ACBD4,41,6,0.41
CNV__SMAD4,40,8,0.4
TPM__SNORA2A,39,5,0.39
METH__FUNDC1,39,6,0.39
TPM__SNORA2B,38,6,0.38
TPM__SNORA49,38,5,0.38
TPM__RNVU1-26,37,5,0.37
CNV__ZNF521,37,3,0.37
TPM__RNA5S9,36,7,0.36
TPM__SNORA15,36,5,0.36
METH__C22orf29,35,5,0.35
METH__CUL3,35,1,0.35
METH__PSME4,35,1,0.35
CNV__RPS3A,34,4,0.34
