feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__LINC02245,95,45,0.95,0.1899999976158142,-0.43,0.05,True,0.458
TPM__LIF-AS2,86,36,0.86,0.1599999964237213,0.45,0.13,False,0.0
TPM__SERPINB2,83,33,0.83,0.12999999523162842,0.29,0.05,False,0.0
TPM__FKBP5,78,28,0.78,0.10999999940395355,-0.38,0.12,False,0.0
METH__CDH17,74,24,0.74,0.12999999523162842,0.37,0.09,False,0.0
TPM__HTR7,73,23,0.73,0.14000000059604645,0.39,0.2,False,0.0
TPM__INSYN2B,72,23,0.72,0.14000000059604645,0.3,0.12,False,0.0
TPM__PSORS1C1,71,21,0.71,0.12999999523162842,0.4,0.04,False,0.0
TPM__ARMC9,68,18,0.68,0.14000000059604645,0.35,0.12,False,0.0
TPM__NR2F1-AS1,66,17,0.66,0.11999999731779099,0.39,0.08,False,0.0
METH__C21orf96,61,14,0.61,0.15000000596046448,0.41,0.1,False,0.0
TPM__MOCS2,61,11,0.61,0.10999999940395355,0.34,0.04,False,0.0
TPM__SNRPA,57,8,0.57,0.10999999940395355,-0.3,0.1,False,0.013
TPM__PDLIM4,57,12,0.57,0.10999999940395355,0.34,0.16,False,0.0
TPM__PLSCR3,55,7,0.55,0.10999999940395355,0.36,0.1,True,0.053
TPM__FAM114A1,51,7,0.51,0.10999999940395355,0.34,0.15,True,0.053
TPM__MIR222HG,47,3,0.47,0.10999999940395355,0.33,0.05,True,0.992
TPM__SUCLG2-DT,46,2,0.46,0.14000000059604645,0.38,0.04,True,1.0
TPM__SNAPC1,44,2,0.44,0.11999999731779099,0.34,0.11,True,1.0
TPM__MAZ,44,3,0.44,0.14000000059604645,-0.41,0.14,True,0.992
TPM__EPHA2,43,2,0.43,0.10999999940395355,0.34,0.06,True,1.0
TPM__AGAP2,42,2,0.42,0.11999999731779099,-0.33,0.07,True,1.0
TPM__H3-3A,41,3,0.41,0.12999999523162842,-0.38,0.12,True,0.992
TPM__PPP2R3A,41,0,0.41,0.10999999940395355,0.37,0.0,False,
TPM__CPA4,39,1,0.39,0.14000000059604645,0.43,0.08,True,1.0
TPM__SAMD4A,39,1,0.39,0.14000000059604645,0.4,0.11,True,1.0
TPM__RAI14,39,0,0.39,0.11999999731779099,0.38,0.2,False,
TPM__DLC1,39,1,0.39,0.11999999731779099,0.37,0.11,True,1.0
TPM__LINC02454,38,2,0.38,0.1899999976158142,0.49,0.11,True,1.0
TPM__EVA1A,38,0,0.38,0.1899999976158142,0.46,0.15,False,
TPM__FHL2,38,2,0.38,0.12999999523162842,0.39,0.17,True,1.0
TPM__OSMR,38,1,0.38,0.10999999940395355,0.36,0.1,True,1.0
TPM__ATOSB,38,1,0.38,0.11999999731779099,0.36,0.02,True,1.0
TPM__TICAM2,38,3,0.38,0.10999999940395355,0.33,0.02,True,0.992
METH__IQCB1,37,0,0.37,0.11999999731779099,0.36,0.14,False,
TPM__SERPINE1,36,0,0.36,0.12999999523162842,0.38,0.08,False,
TPM__LPAR1,36,0,0.36,0.11999999731779099,0.36,0.09,False,
TPM__MMP1,35,1,0.35,0.11999999731779099,0.38,0.08,True,1.0
TPM__FGF2,35,0,0.35,0.11999999731779099,0.36,0.07,False,
TPM__BTBD19,34,0,0.34,0.10999999940395355,0.32,0.08,False,
TPM__NAV3,33,1,0.33,0.14000000059604645,0.43,0.09,True,1.0
TPM__SEC14L2,33,0,0.33,0.12999999523162842,0.38,0.09,False,
TPM__CC2D2A,33,0,0.33,0.12999999523162842,0.36,0.09,False,
TPM__LINC00702,32,4,0.32,0.10999999940395355,0.4,0.16,True,0.832
METH__ITGB7,32,1,0.32,0.12999999523162842,0.35,0.03,True,1.0
METH__CDKN2D,31,0,0.31,0.11999999731779099,0.37,0.14,False,
TPM__SNX21,31,0,0.31,0.14000000059604645,0.37,0.08,False,
TPM__UBTD1,30,0,0.3,0.11999999731779099,0.38,0.07,False,
TPM__HRH1,29,0,0.29,0.11999999731779099,0.4,0.1,False,
TPM__S100A13,29,2,0.29,0.11999999731779099,0.37,0.11,True,1.0
TPM__COL8A1,29,0,0.29,0.14000000059604645,0.39,0.13,False,
METH__ARHGAP15,28,2,0.28,0.11999999731779099,0.35,0.06,True,1.0
TPM__ITGB1P1,28,0,0.28,0.10999999940395355,0.36,0.1,False,
TPM__RPSAP52,28,1,0.28,0.15000000596046448,0.37,0.17,True,1.0
TPM__BRI3BP,27,7,0.27,0.11999999731779099,-0.33,0.06,True,0.053
TPM__TADA1,27,1,0.27,0.14000000059604645,-0.43,0.15,True,1.0
METH__EIF3G,27,1,0.27,0.14000000059604645,-0.41,0.09,True,1.0
TPM__CAPN2,26,0,0.26,0.11999999731779099,0.42,0.15,False,
TPM__PRR16,25,1,0.25,0.11999999731779099,0.38,0.05,True,1.0
TPM__VEPH1,25,0,0.25,0.11999999731779099,0.38,0.12,False,
TPM__TGFB1I1,25,0,0.25,0.11999999731779099,0.36,0.06,False,
TPM__MIR22HG,24,0,0.24,0.14000000059604645,0.38,0.19,False,
TPM__RASSF8,24,1,0.24,0.11999999731779099,0.36,0.14,True,1.0
TPM__THBS1,23,1,0.23,0.12999999523162842,0.38,0.15,True,1.0
METH__HCFC1R1,23,0,0.23,0.10999999940395355,-0.37,0.08,False,
TPM__BDNF,23,0,0.23,0.15000000596046448,0.41,0.1,False,
METH__BLID,22,0,0.22,0.12999999523162842,0.37,0.06,False,
TPM__ANXA2,22,0,0.22,0.11999999731779099,0.41,0.14,False,
TPM__AHNAK2,22,0,0.22,0.11999999731779099,0.37,0.05,False,
TPM__MIR23AHG,22,1,0.22,0.10999999940395355,0.37,0.04,True,1.0
TPM__EHD2,22,0,0.22,0.1899999976158142,0.45,0.15,False,
TPM__SEMA3A,21,3,0.21,0.12999999523162842,0.37,0.1,True,0.992
TPM__LASTR,21,0,0.21,0.10999999940395355,0.42,0.13,False,
TPM__NRP1,20,4,0.2,0.15000000596046448,0.4,0.07,True,0.832
TPM__NRG1,20,2,0.2,0.12999999523162842,0.39,0.12,True,1.0
TPM__CAV1,20,0,0.2,0.18000000715255737,0.44,0.14,False,
TPM__GPR39,20,0,0.2,0.10999999940395355,0.35,0.03,False,
TPM__TEAD1,20,0,0.2,0.10999999940395355,0.35,0.1,False,
TPM__CCDC80,19,0,0.19,0.1599999964237213,0.43,0.08,False,
TPM__SERPINE2,19,0,0.19,0.10999999940395355,0.33,0.11,False,
TPM__SERPINB7,19,2,0.19,0.11999999731779099,0.4,0.12,True,1.0
TPM__PXDC1,19,1,0.19,0.10999999940395355,0.36,0.12,True,1.0
TPM__SPATS2L,19,1,0.19,0.11999999731779099,0.4,0.12,True,1.0
TPM__FAM78A,19,0,0.19,0.11999999731779099,-0.31,0.1,False,
TPM__CCDC88C,18,1,0.18,0.1599999964237213,-0.39,0.11,True,1.0
TPM__GEM,18,3,0.18,0.10999999940395355,0.32,0.05,True,0.992
TPM__IQCJ-SCHIP1,18,0,0.18,0.18000000715255737,0.46,0.18,False,
TPM__RTN4,18,0,0.18,0.11999999731779099,0.36,0.0,False,
TPM__INHBA,18,0,0.18,0.15000000596046448,0.39,0.15,False,
TPM__RASAL2-AS1,17,1,0.17,0.11999999731779099,0.38,0.14,True,1.0
TPM__AMOTL2,17,0,0.17,0.11999999731779099,0.34,0.12,False,
TPM__PROCR,17,3,0.17,0.11999999731779099,0.35,0.08,True,0.992
TPM__ANXA2P2,17,0,0.17,0.11999999731779099,0.37,0.09,False,
TPM__EPB41,17,6,0.17,0.11999999731779099,-0.38,0.07,True,0.181
TPM__CAVIN3,17,3,0.17,0.10999999940395355,0.37,0.05,True,0.992
TPM__TGM2,17,1,0.17,0.14000000059604645,0.41,0.08,True,1.0
TPM__TPM4P2,17,1,0.17,0.10999999940395355,0.34,0.04,True,1.0
TPM__CLIP4,16,1,0.16,0.12999999523162842,0.4,0.11,True,1.0
TPM__CAV2,16,0,0.16,0.10999999940395355,0.38,0.08,False,
TPM__VEGFC,16,1,0.16,0.11999999731779099,0.35,0.15,True,1.0
TPM__CRIM1,16,0,0.16,0.11999999731779099,0.37,0.11,False,
TPM__CORO7,16,0,0.16,0.10999999940395355,-0.33,0.11,False,
TPM__SRPX2,16,2,0.16,0.10999999940395355,0.43,0.13,True,1.0
TPM__PPFIBP1,16,0,0.16,0.11999999731779099,0.38,0.08,False,
TPM__DCBLD2,16,0,0.16,0.1599999964237213,0.43,0.14,False,
TPM__PHLDA3,16,3,0.16,0.11999999731779099,0.34,0.12,True,0.992
TPM__LAMA4,15,2,0.15,0.11999999731779099,0.36,0.15,True,1.0
TPM__KCTD11,15,0,0.15,0.10999999940395355,0.35,0.08,False,
TPM__ADORA2B,15,0,0.15,0.14000000059604645,0.41,0.06,False,
TPM__MIR100HG,15,1,0.15,0.17000000178813934,0.47,0.1,True,1.0
TPM__COL7A1,15,4,0.15,0.11999999731779099,0.36,0.02,True,0.832
TPM__S100A16,14,0,0.14,0.11999999731779099,0.33,0.15,False,
TPM__MSANTD3,14,1,0.14,0.10999999940395355,0.37,0.09,True,1.0
TPM__CTCF,14,0,0.14,0.10999999940395355,-0.35,0.1,False,
TPM__GNG12,14,0,0.14,0.15000000596046448,0.42,0.17,False,
TPM__STRBP,14,0,0.14,0.14000000059604645,-0.37,0.04,False,
TPM__ERRFI1,14,0,0.14,0.14000000059604645,0.4,0.08,False,
TPM__MYOSLID,14,4,0.14,0.11999999731779099,0.4,0.1,True,0.832
TPM__IGFBP6,14,3,0.14,0.17000000178813934,0.42,0.08,True,0.992
TPM__C11orf68,14,4,0.14,0.11999999731779099,0.34,0.06,True,0.832
TPM__RGS20,13,1,0.13,0.12999999523162842,0.39,0.0,True,1.0
TPM__CD59,13,0,0.13,0.12999999523162842,0.4,0.1,False,
TPM__FJX1,13,2,0.13,0.10999999940395355,0.37,0.0,True,1.0
TPM__AFAP1L1,13,2,0.13,0.11999999731779099,0.4,0.1,True,1.0
TPM__CRIM1-DT,13,2,0.13,0.11999999731779099,0.38,0.1,True,1.0
TPM__LBR,13,0,0.13,0.11999999731779099,-0.36,0.14,False,
TPM__NT5E,12,4,0.12,0.1599999964237213,0.41,0.04,True,0.832
TPM__SDC4,12,0,0.12,0.11999999731779099,0.38,0.05,False,
