feature,Selection count,Pair count,CPSS Score
TPM__PHLDB1,100,50,1.0
TPM__PLEKHN1,100,50,1.0
TPM__ANXA1,100,50,1.0
TPM__UPP1,100,50,1.0
TPM__FHIP1A,100,50,1.0
TPM__SH3TC2,100,50,1.0
TPM__LINC00973,100,50,1.0
TPM__RAI14,100,50,1.0
TPM__PLEC,100,50,1.0
TPM__RUSC2,100,50,1.0
TPM__HTR7,100,50,1.0
TPM__RND3,100,50,1.0
TPM__MIR22HG,100,50,1.0
TPM__ITGA3,100,50,1.0
TPM__CCN1,100,50,1.0
TPM__IQCJ-SCHIP1,100,50,1.0
TPM__ITGA2,99,49,0.99
TPM__B9D1,99,49,0.99
TPM__IDH2,99,49,0.99
TPM__LINC01605,99,49,0.99
TPM__ANLN,99,49,0.99
TPM__GPC1,99,49,0.99
METH__MIR1205,98,48,0.98
TPM__LINC00511,97,47,0.97
TPM__DENND4B,97,47,0.97
TPM__PKD1L2,97,47,0.97
METH__RAB11FIP1,96,46,0.96
METH__HEG1,95,45,0.95
TPM__ANKRD46,95,45,0.95
TPM__TCIM,94,44,0.94
TPM__LINC02367,89,39,0.89
METH__CCM2,89,40,0.89
TPM__RCSD1,88,38,0.88
TPM__DLX6,86,36,0.86
TPM__PPP1R16A,85,37,0.85
METH__LRP1,68,22,0.68
TPM__SPN,68,24,0.68
METH__ARSJ,65,19,0.65
METH__PTPN14,53,11,0.53
CNV__PTPN13,45,4,0.45
METH__CKMT1A,44,11,0.44
METH__SPEF1,43,10,0.43
METH__LSM14A,38,7,0.38
METH__UBE2R2,33,2,0.33
METH__GPR6,33,7,0.33
METH__C6orf129,31,4,0.31
METH__MAN1A1,26,1,0.26
CNV__PSIP1,25,1,0.25
METH__PSME4,25,0,0.25
CNV__ZMYM2,23,2,0.23
METH__ZNF707,23,1,0.23
CNV__PTPN11,21,0,0.21
METH__FBXL13,17,0,0.17
METH__SUPT7L,17,1,0.17
METH__TMEM231,14,0,0.14
METH__EFNA5,13,0,0.13
METH__DPH2,12,0,0.12
TPM__RNU4-89P,12,2,0.12
CNV__CARS1,12,0,0.12
CNV__TRRAP,11,2,0.11
CNV__DTX1,11,0,0.11
CNV__CHD2,10,0,0.1
CNV__FANCL,10,0,0.1
METH__MIR760,10,0,0.1
METH__DAG1,10,1,0.1
CNV__FANCI,10,0,0.1
MUT__BRAF,10,0,0.1
METH__FLJ45244,9,0,0.09
CNV__BCL7A,8,1,0.08
CNV__BLM,8,0,0.08
TPM__SNORA2B,7,0,0.07
CNV__FAM174B,6,0,0.06
METH__C14orf104,6,0,0.06
CNV__CRTC3,5,0,0.05
METH__C6orf130,5,0,0.05
CNV__REL,5,0,0.05
CNV__CLIP1,4,0,0.04
CNV__HRAS,4,0,0.04
CNV__FES,4,0,0.04
CNV__PDGFRB,4,0,0.04
CNV__CD74,4,0,0.04
METH__HNRNPK,4,0,0.04
CNV__NRP1,4,0,0.04
TPM__SNORA70,4,0,0.04
CNV__ZEB1,3,0,0.03
METH__FAM21A,3,0,0.03
METH__POLDIP3,3,0,0.03
METH__RPL38,3,0,0.03
METH__C22orf30,3,0,0.03
METH__MIR1915,3,0,0.03
METH__GYS1,3,0,0.03
CNV__NTRK3,3,0,0.03
CNV__HNF1A,3,0,0.03
METH__PTPN12,3,0,0.03
METH__PNPLA8,3,0,0.03
CNV__ERCC5,3,1,0.03
CNV__FAT2,3,0,0.03
CNV__NCOR2,2,0,0.02
METH__ARMC6,2,0,0.02
METH__MRPL17,2,0,0.02
METH__SDF2L1,2,0,0.02
METH__VASP,2,0,0.02
METH__SNX13,2,0,0.02
METH__LIN52,2,0,0.02
MUT__PIK3CA,2,0,0.02
CNV__IDH2,2,0,0.02
METH__HNRNPA1,1,0,0.01
METH__PIAS4,1,0,0.01
MUT__SPEN,1,0,0.01
METH__UPF1,1,0,0.01
METH__C7orf55,1,0,0.01
METH__VPS35,1,0,0.01
MUT__KMT2D,1,0,0.01
MUT__STK11,1,0,0.01
METH__CAMSAP1L1,1,0,0.01
MUT__HLA-A,0,0,0.0
MUT__GRIN2A,0,0,0.0
MUT__VHL,0,0,0.0
MUT__NCOR2,0,0,0.0
MUT__HLA-B,0,0,0.0
MUT__WNK2,0,0,0.0
MUT__BCOR,0,0,0.0
MUT__UBR5,0,0,0.0
CNV__KIF5B,0,0,0.0
METH__DMXL1,0,0,0.0
MUT__FAT4,0,0,0.0
MUT__EP300,0,0,0.0
MUT__FBXW7,0,0,0.0
MUT__LRP1B,0,0,0.0
MUT__CLTCL1,0,0,0.0
MUT__KMT2B,0,0,0.0
MUT__ARID1A,0,0,0.0
MUT__NTRK1,0,0,0.0
MUT__SMARCB1,0,0,0.0
MUT__MSH2,0,0,0.0
METH__CCNK,0,0,0.0
MUT__RGPD3,0,0,0.0
MUT__PTPRT,0,0,0.0
MUT__BCL9L,0,0,0.0
MUT__NBN,0,0,0.0
MUT__TET2,0,0,0.0
MUT__KEAP1,0,0,0.0
MUT__CDH1,0,0,0.0
MUT__ARHGAP35,0,0,0.0
MUT__PTPN13,0,0,0.0
METH__RAB6A,0,0,0.0
MUT__BCORL1,0,0,0.0
MUT__CASP8,0,0,0.0
MUT__RB1,0,0,0.0
MUT__HERC2,0,0,0.0
MUT__PIK3R1,0,0,0.0
MUT__DIS3,0,0,0.0
MUT__ERBB2,0,0,0.0
MUT__RASA1,0,0,0.0
MUT__APC,0,0,0.0
MUT__ZNF208,0,0,0.0
MUT__KMT2C,0,0,0.0
MUT__TGFBR2,0,0,0.0
MUT__ARID1B,0,0,0.0
MUT__PRDM2,0,0,0.0
MUT__NBEA,0,0,0.0
MUT__EGFR,0,0,0.0
MUT__SDHA,0,0,0.0
MUT__BAX,0,0,0.0
MUT__ATM,0,0,0.0
MUT__CTCF,0,0,0.0
MUT__BRIP1,0,0,0.0
MUT__FAT3,0,0,0.0
MUT__BRCA2,0,0,0.0
MUT__MLH1,0,0,0.0
MUT__SMAD4,0,0,0.0
MUT__MYH9,0,0,0.0
MUT__ERBB4,0,0,0.0
MUT__PTPRK,0,0,0.0
MUT__NIPBL,0,0,0.0
MUT__QKI,0,0,0.0
MUT__RHOA,0,0,0.0
MUT__JAK1,0,0,0.0
METH__USPL1,0,0,0.0
MUT__ZFHX3,0,0,0.0
METH__DIS3,0,0,0.0
CNV__AFF1,0,0,0.0
MUT__CREBBP,0,0,0.0
MUT__MGA,0,0,0.0
METH__ADAM9,0,0,0.0
METH__FAM168A,0,0,0.0
MUT__RPL22,0,0,0.0
MUT__POLQ,0,0,0.0
MUT__KDM6A,0,0,0.0
MUT__NFE2L2,0,0,0.0
MUT__SMARCA4,0,0,0.0
METH__SKI,0,0,0.0
METH__LOC338799,0,0,0.0
METH__SETD1B,0,0,0.0
METH__ZNF33B,0,0,0.0
MUT__ZEB1,0,0,0.0
MUT__PBRM1,0,0,0.0
MUT__BMPR2,0,0,0.0
MUT__DDX3X,0,0,0.0
