feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__BCL2L1,100,50,1.0,0.1599999964237213,0.42,0.07,True,1.0
TPM__GPAT3,96,46,0.96,0.1899999976158142,0.44,0.15,True,0.832
TPM__ARHGAP29,93,43,0.93,0.23999999463558197,0.5,0.2,True,0.053
TPM__EEF2,84,34,0.84,0.1599999964237213,-0.41,0.13,False,0.0
TPM__GPSM3,83,33,0.83,0.1599999964237213,-0.33,0.15,False,0.0
TPM__WFS1,83,33,0.83,0.17000000178813934,0.38,0.13,False,0.0
TPM__RASSF7,82,32,0.82,0.17000000178813934,0.43,0.13,False,0.0
TPM__SETDB2,78,28,0.78,0.17000000178813934,-0.36,0.09,False,0.0
TPM__TRAF3IP3,78,28,0.78,0.23000000417232513,-0.39,0.22,False,0.0
TPM__EPS8,77,27,0.77,0.20999999344348907,0.43,0.15,False,0.0
TPM__RPL10A,77,27,0.77,0.17000000178813934,-0.42,0.17,False,0.0
TPM__ENC1,73,23,0.73,0.17000000178813934,0.41,0.12,False,0.0
TPM__APLP2,72,22,0.72,0.17000000178813934,0.42,0.11,False,0.0
METH__MIPOL1,71,22,0.71,0.2199999988079071,-0.4,0.23,False,0.0
TPM__PTTG1IP,71,21,0.71,0.1599999964237213,0.41,0.1,False,0.0
TPM__SNX24,69,19,0.69,0.17000000178813934,0.36,0.11,False,0.0
TPM__ARHGEF6,68,18,0.68,0.18000000715255737,-0.35,0.18,False,0.0
TPM__RNASEH2B,65,15,0.65,0.1899999976158142,-0.37,0.11,False,0.0
TPM__SQSTM1,65,15,0.65,0.1599999964237213,0.42,0.17,False,0.0
METH__AGXT2L2,63,16,0.63,0.15000000596046448,0.39,0.11,False,0.0
TPM__TRNP1,63,13,0.63,0.1599999964237213,0.4,0.17,False,0.0
TPM__PTGR1,62,15,0.62,0.17000000178813934,0.39,0.13,False,0.0
TPM__CHMP3,61,12,0.61,0.1599999964237213,0.41,0.13,False,0.0
METH__NUP43,60,12,0.6,0.1599999964237213,-0.33,0.11,False,0.0
TPM__RASAL2-AS1,60,10,0.6,0.15000000596046448,0.4,0.16,False,0.0
TPM__SDSL,59,10,0.59,0.15000000596046448,0.35,0.12,False,0.0
TPM__TRG-AS1,59,9,0.59,0.18000000715255737,-0.37,0.17,False,0.002
TPM__CLIP1,59,12,0.59,0.1599999964237213,0.38,0.15,False,0.0
TPM__SSH3,58,12,0.58,0.1599999964237213,0.39,0.12,False,0.0
METH__RAB27B,58,9,0.58,0.23000000417232513,-0.43,0.12,False,0.002
METH__PER3,56,8,0.56,0.1899999976158142,-0.36,0.12,False,0.013
TPM__PDCD6IP-DT,56,7,0.56,0.1599999964237213,0.42,0.15,True,0.053
TPM__DCBLD2,55,10,0.55,0.18000000715255737,0.44,0.17,False,0.0
TPM__DOCK1,55,9,0.55,0.1599999964237213,0.29,0.12,False,0.002
METH__CD46,54,8,0.54,0.15000000596046448,-0.4,0.14,False,0.013
TPM__CLDN4,54,8,0.54,0.1599999964237213,0.43,0.12,False,0.013
METH__AMOTL2,51,4,0.51,0.1599999964237213,-0.4,0.15,True,0.832
TPM__LTBR,50,5,0.5,0.20000000298023224,0.41,0.13,True,0.458
TPM__BTC,50,3,0.5,0.1599999964237213,0.46,0.15,True,0.992
METH__THBS1,50,6,0.5,0.23999999463558197,-0.46,0.2,True,0.181
TPM__SH3D19,49,2,0.49,0.18000000715255737,0.39,0.16,True,1.0
TPM__PLPP2,49,4,0.49,0.23999999463558197,0.45,0.14,True,0.832
TPM__TOM1L1,48,7,0.48,0.18000000715255737,0.26,0.13,True,0.053
METH__MARVELD3,48,5,0.48,0.23999999463558197,-0.42,0.2,True,0.458
METH__PTGFRN,47,5,0.47,0.15000000596046448,-0.3,0.16,True,0.458
METH__MORN4,47,4,0.47,0.18000000715255737,-0.34,0.1,True,0.832
TPM__SDC1,47,3,0.47,0.18000000715255737,0.38,0.13,True,0.992
METH__MGAT1,46,7,0.46,0.17000000178813934,0.32,0.17,True,0.053
TPM__PLS3,45,4,0.45,0.18000000715255737,0.39,0.15,True,0.832
METH__PROCA1,45,4,0.45,0.2199999988079071,0.38,0.19,True,0.832
METH__PLA2R1,45,3,0.45,0.1599999964237213,-0.39,0.1,True,0.992
TPM__BAIAP2,43,2,0.43,0.2199999988079071,0.43,0.14,True,1.0
TPM__MIR22HG,43,0,0.43,0.1599999964237213,0.38,0.12,False,
TPM__KDM2B,43,1,0.43,0.17000000178813934,-0.38,0.14,True,1.0
METH__LAPTM4A,43,2,0.43,0.1599999964237213,-0.29,0.24,True,1.0
METH__VTRNA1-2,42,2,0.42,0.1599999964237213,-0.35,0.09,True,1.0
METH__CCDC88B,42,1,0.42,0.17000000178813934,0.34,0.08,True,1.0
METH__LAMB1,42,0,0.42,0.1599999964237213,-0.33,0.1,False,
TPM__AOPEP,42,4,0.42,0.1599999964237213,0.39,0.14,True,0.832
METH__ZNF579,42,1,0.42,0.1899999976158142,-0.4,0.13,True,1.0
TPM__AGAP2,41,2,0.41,0.23999999463558197,-0.48,0.16,True,1.0
TPM__SH3BP4,41,0,0.41,0.2199999988079071,0.4,0.13,False,
METH__LYPD6,41,3,0.41,0.15000000596046448,-0.28,0.16,True,0.992
METH__GNMT,41,2,0.41,0.1599999964237213,-0.39,0.1,True,1.0
TPM__CCDC9B,40,2,0.4,0.17000000178813934,0.41,0.08,True,1.0
METH__HRCT1,40,1,0.4,0.18000000715255737,-0.39,0.11,True,1.0
METH__FAM46A,40,0,0.4,0.1599999964237213,-0.19,0.12,False,
TPM__PXDC1,40,0,0.4,0.20000000298023224,0.41,0.2,False,
TPM__PPP1R16B,40,1,0.4,0.1599999964237213,-0.3,0.22,True,1.0
TPM__ITGAV,39,0,0.39,0.1599999964237213,0.36,0.1,False,
METH__ANKRD44,38,3,0.38,0.1899999976158142,0.36,0.16,True,0.992
TPM__TNFAIP1,38,1,0.38,0.1599999964237213,0.38,0.14,True,1.0
METH__ITGA3,37,2,0.37,0.1599999964237213,-0.36,0.19,True,1.0
TPM__ANXA2P2,37,0,0.37,0.2199999988079071,0.46,0.15,False,
METH__KCNK1,37,3,0.37,0.1599999964237213,-0.36,0.17,True,0.992
TPM__TSPAN15,37,2,0.37,0.15000000596046448,0.36,0.06,True,1.0
METH__FAT1,36,0,0.36,0.18000000715255737,-0.33,0.2,False,
METH__C15orf52,36,0,0.36,0.15000000596046448,-0.35,0.07,False,
TPM__CD59,35,1,0.35,0.18000000715255737,0.41,0.13,True,1.0
METH__GPD2,35,1,0.35,0.15000000596046448,-0.35,0.07,True,1.0
TPM__LGALS3,34,1,0.34,0.18000000715255737,0.4,0.12,True,1.0
TPM__MAP4K1,34,0,0.34,0.20000000298023224,-0.32,0.13,False,
TPM__PLAAT3,34,4,0.34,0.18000000715255737,0.42,0.14,True,0.832
TPM__NCEH1,34,0,0.34,0.17000000178813934,0.43,0.18,False,
TPM__YAP1,33,1,0.33,0.20000000298023224,0.42,0.1,True,1.0
METH__POLD3,33,1,0.33,0.18000000715255737,-0.36,0.14,True,1.0
TPM__CTNND1,33,0,0.33,0.17000000178813934,0.36,0.13,False,
TPM__PARVA,32,0,0.32,0.1599999964237213,0.35,0.16,False,
METH__PTP4A1,32,1,0.32,0.1599999964237213,-0.39,0.09,True,1.0
TPM__CTNNA1,32,0,0.32,0.1599999964237213,0.43,0.17,False,
