feature,Selection count,Pair count,CPSS Score
METH__APOLD1,100,50,1.0
METH__CROCCL1,99,49,0.99
METH__AP1B1,99,49,0.99
TPM__FOXG1,97,47,0.97
METH__SIAH1,97,47,0.97
TPM__RNVU1-26,95,45,0.95
METH__ZNF697,94,44,0.94
METH__CYB5RL,91,41,0.91
METH__WDHD1,91,41,0.91
METH__BCL2L2,85,35,0.85
CNV__APOBEC3B,85,35,0.85
METH__PSENEN,81,31,0.81
CNV__PDGFB,79,30,0.79
METH__CDK9,77,29,0.77
TPM__SNORA70,75,26,0.75
METH__TMEM49,75,25,0.75
METH__HAT1,74,25,0.74
METH__RAB18,73,23,0.73
METH__YIPF3,73,25,0.73
METH__ALS2,71,23,0.71
CNV__KRAS,71,25,0.71
CNV__PPFIBP1,69,21,0.69
METH__C19orf20,68,19,0.68
METH__C12orf41,67,20,0.67
CNV__MRTFA,65,17,0.65
CNV__EP300,65,17,0.65
CNV__IRF4,64,20,0.64
METH__EFNA5,64,15,0.64
CNV__NT5C3A,63,19,0.63
CNV__RSPO2,63,19,0.63
CNV__CDH10,60,18,0.6
CNV__UBE2D2,59,14,0.59
CNV__RGS7,58,14,0.58
METH__XPR1,58,13,0.58
CNV__SDHA,58,16,0.58
CNV__DEK,58,14,0.58
METH__CWF19L1,57,14,0.57
METH__ASPHD2,57,11,0.57
CNV__PIK3R1,57,14,0.57
CNV__TERT,56,14,0.56
CNV__LOX,56,11,0.56
METH__COMMD6,56,12,0.56
METH__RPL21,55,13,0.55
METH__E4F1,55,16,0.55
METH__RNF168,53,13,0.53
METH__ARMC10,53,11,0.53
CNV__RECQL4,53,13,0.53
CNV__IKZF1,52,13,0.52
CNV__AJUBA,52,7,0.52
CNV__FAM135B,48,10,0.48
METH__RAB30,48,8,0.48
METH__TTC35,47,8,0.47
METH__FAM119A,45,8,0.45
CNV__EGFR,44,7,0.44
CNV__ITK,43,7,0.43
CNV__ELK4,43,11,0.43
CNV__CARD11,43,11,0.43
METH__BCAS2,42,6,0.42
METH__WIPI2,40,3,0.4
CNV__FH,40,8,0.4
CNV__BRD7,40,3,0.4
METH__RIOK2,39,6,0.39
METH__LRRC40,39,5,0.39
CNV__FGFR1,39,6,0.39
CNV__MAP3K1,39,5,0.39
METH__AIMP2,38,6,0.38
CNV__NCOA2,38,6,0.38
CNV__CR1,37,7,0.37
CNV__EIF3E,37,6,0.37
CNV__PAX7,36,6,0.36
METH__DSN1,35,3,0.35
METH__LMBR1,33,5,0.33
METH__CCDC93,33,3,0.33
CNV__ZNF93,33,2,0.33
METH__LOC286016,32,6,0.32
CNV__IL6ST,32,2,0.32
CNV__RET,32,4,0.32
METH__ALG14,32,2,0.32
CNV__AKT3,32,5,0.32
CNV__HEY1,31,5,0.31
METH__SPCS3,31,2,0.31
CNV__PREX2,31,4,0.31
CNV__ZNF331,31,3,0.31
METH__ENTPD6,31,2,0.31
CNV__PTEN,30,2,0.3
CNV__CYLD,30,6,0.3
CNV__NBN,30,6,0.3
METH__CDC45L,29,2,0.29
METH__MRPS18B,29,4,0.29
METH__ALG10B,29,2,0.29
METH__SNORD49A,29,3,0.29
METH__CSRP2BP,29,3,0.29
METH__ZNHIT2,28,3,0.28
CNV__SETBP1,28,1,0.28
METH__DEDD,28,0,0.28
METH__TRMT112,27,2,0.27
CNV__SIX1,27,3,0.27
CNV__ZNF429,27,0,0.27
TPM__SNORA80B,26,2,0.26
METH__BAT5,26,1,0.26
CNV__POLD1,26,1,0.26
METH__C6orf52,26,3,0.26
CNV__ZNF680,26,3,0.26
CNV__NBEA,26,3,0.26
METH__UROD,25,2,0.25
METH__AAAS,25,2,0.25
METH__POLM,24,0,0.24
METH__PIK3R3,24,1,0.24
METH__PAK1IP1,24,0,0.24
CNV__KAT6B,24,2,0.24
CNV__HIF1A,24,3,0.24
CNV__SPEN,23,2,0.23
CNV__BUB1B,23,1,0.23
METH__WDR92,23,1,0.23
CNV__TCEA1,23,2,0.23
CNV__MAX,23,2,0.23
METH__SCAMP1,22,3,0.22
CNV__KTN1,22,1,0.22
METH__WDR7,22,2,0.22
CNV__PTPN13,22,1,0.22
CNV__SBDS,22,2,0.22
METH__ERCC2,21,1,0.21
MUT__FLCN,21,0,0.21
CNV__IKZF3,21,1,0.21
METH__CYCS,21,0,0.21
METH__SLC25A32,21,1,0.21
METH__UBR5,20,0,0.2
CNV__CDK12,20,1,0.2
CNV__EPHA3,20,0,0.2
CNV__MLLT6,20,0,0.2
METH__DCAF13,20,0,0.2
METH__ARID3B,20,2,0.2
CNV__BMPR1A,20,0,0.2
CNV__AKT2,19,0,0.19
CNV__BRCA2,19,2,0.19
METH__SMC1A,19,1,0.19
CNV__ZFHX3,19,2,0.19
CNV__CDX2,18,2,0.18
