feature,Selection count,Pair count,CPSS Score
TPM__BCL2L1,100,50,1.0
TPM__CTSA,93,43,0.93
TPM__KIF21B,91,41,0.91
TPM__PDCD6IP-DT,89,39,0.89
TPM__DDN,89,39,0.89
TPM__KDM2B,87,37,0.87
TPM__OSBPL10,85,35,0.85
TPM__ANKRD1,80,30,0.8
METH__LAT,80,30,0.8
TPM__SNX21,76,26,0.76
TPM__NPTN,74,24,0.74
TPM__LRRC8E,73,23,0.73
TPM__PSAP,73,23,0.73
TPM__APLP2,72,23,0.72
TPM__AOPEP,71,21,0.71
METH__CEBPE,71,21,0.71
TPM__ZCCHC3,67,18,0.67
TPM__AVPI1,67,18,0.67
TPM__NPAS2,66,16,0.66
METH__PTPN14,65,16,0.65
TPM__EPS8,65,16,0.65
TPM__PTGR1,64,14,0.64
TPM__PTTG1IP,61,12,0.61
METH__TBC1D10C,60,12,0.6
TPM__FLI1,59,9,0.59
TPM__MID2,59,11,0.59
TPM__MORC4,58,10,0.58
TPM__DCBLD2,58,11,0.58
METH__KRI1,58,12,0.58
TPM__AREG,57,9,0.57
METH__TSPAN12,57,10,0.57
TPM__ZBED4,56,8,0.56
TPM__KDM8,56,8,0.56
TPM__CXCR4,55,8,0.55
TPM__ITGAV,55,7,0.55
TPM__TMEM54,53,7,0.53
TPM__PARP1,53,5,0.53
METH__TLCD2,52,7,0.52
TPM__GPSM3,52,4,0.52
TPM__PARVA,52,5,0.52
TPM__ITGA4,50,4,0.5
METH__MGAT1,49,5,0.49
METH__SEMA3C,49,5,0.49
METH__FCHO2,48,4,0.48
METH__MGC29506,48,5,0.48
TPM__MYCBP2,47,4,0.47
TPM__ITGB1P1,46,4,0.46
TPM__PPP1R26,46,4,0.46
TPM__GRAMD2B,46,4,0.46
METH__NCRNA00111,45,3,0.45
TPM__BCAR3,45,1,0.45
TPM__TAX1BP3,44,3,0.44
METH__VAV1,43,3,0.43
TPM__TNFAIP1,43,3,0.43
TPM__SDC1,43,2,0.43
TPM__TM4SF1,42,1,0.42
TPM__PLEKHN1,41,1,0.41
TPM__ARHGAP4,41,2,0.41
TPM__YAP1,41,3,0.41
TPM__GIPC1,41,0,0.41
TPM__DDR1,40,4,0.4
TPM__MIR22HG,40,1,0.4
METH__HCG22,40,2,0.4
TPM__AGRN,40,1,0.4
TPM__GRK2,40,1,0.4
METH__NLRC3,39,0,0.39
TPM__CUEDC1,39,0,0.39
TPM__CORO1A-AS1,39,2,0.39
TPM__CRIM1,39,2,0.39
TPM__PPIC,39,2,0.39
TPM__PRKCB,39,2,0.39
TPM__GPR39,39,3,0.39
TPM__TGFBI,38,0,0.38
TPM__CTNNA1,38,2,0.38
