feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue,threshold_type,threshold_value,above_threshold
METH__C14orf128,100,50,1.0,0.07999999821186066,-0.29,0.25,True,1.0,unimodal,0.71,True
METH__BAT4,100,50,1.0,0.07000000029802322,0.26,0.25,True,1.0,unimodal,0.71,True
TPM__PIK3CG,100,50,1.0,0.18000000715255737,-0.26,0.26,True,1.0,unimodal,0.71,True
METH__DSTN,100,50,1.0,0.17000000178813934,-0.36,0.27,True,1.0,unimodal,0.71,True
METH__TMEM51,100,50,1.0,0.11999999731779099,-0.2,0.24,True,1.0,unimodal,0.71,True
METH__ARHGAP5,100,50,1.0,0.07999999821186066,-0.26,0.24,True,1.0,unimodal,0.71,True
TPM__AGAP2,100,50,1.0,0.20999999344348907,-0.45,0.25,True,1.0,unimodal,0.71,True
METH__ITGB8,100,50,1.0,0.10999999940395355,-0.29,0.24,True,1.0,unimodal,0.71,True
METH__LRIG3,100,50,1.0,0.1599999964237213,-0.33,0.24,True,1.0,unimodal,0.71,True
METH__PCDH1,100,50,1.0,0.11999999731779099,-0.25,0.24,True,1.0,unimodal,0.71,True
METH__LCA5,100,50,1.0,0.14000000059604645,-0.26,0.25,True,1.0,unimodal,0.71,True
METH__LRP6,100,50,1.0,0.09000000357627869,-0.24,0.26,True,1.0,unimodal,0.71,True
METH__ZNF697,100,50,1.0,0.11999999731779099,-0.25,0.25,True,1.0,unimodal,0.71,True
METH__LAPTM4A,100,50,1.0,0.12999999523162842,-0.25,0.24,True,1.0,unimodal,0.71,True
METH__NRP1,100,50,1.0,0.11999999731779099,-0.3,0.26,True,1.0,unimodal,0.71,True
METH__ATG4D,98,48,0.98,0.009999999776482582,0.1,0.23,True,1.0,unimodal,0.71,True
METH__TOP2A,98,48,0.98,0.09000000357627869,-0.22,0.23,True,1.0,unimodal,0.71,True
METH__PTGR2,98,48,0.98,0.07999999821186066,-0.3,0.25,True,1.0,unimodal,0.71,True
METH__PABPN1,97,47,0.97,0.009999999776482582,0.09,0.24,True,0.992,unimodal,0.71,True
METH__CEBPD,95,45,0.95,0.10000000149011612,-0.22,0.25,True,0.458,unimodal,0.71,True
METH__C9orf21,91,41,0.91,0.019999999552965164,-0.05,0.26,False,0.002,worst_case,0.8950617283950617,True
METH__BAG5,91,41,0.91,0.07000000029802322,-0.21,0.24,False,0.002,worst_case,0.8950617283950617,True
