feature,Selection count,Pair count,CPSS Score
TPM__BMS1P23,91,41,0.91
TPM__WFS1,89,39,0.89
TPM__TRNP1,86,36,0.86
TPM__DOCK1,85,35,0.85
TPM__CUEDC1,84,34,0.84
METH__MIER3,83,33,0.83
TPM__LRATD2,81,31,0.81
TPM__NDFIP1,80,30,0.8
METH__RPIA,79,29,0.79
TPM__POLR1H,77,27,0.77
TPM__SH3BP4,72,22,0.72
TPM__FAM174A,72,22,0.72
TPM__EAF2,71,21,0.71
TPM__TPM1,68,18,0.68
TPM__NPTN,66,16,0.66
TPM__KIF21B,63,15,0.63
TPM__APLP2,62,13,0.62
TPM__RYK,61,13,0.61
TPM__EPS8,60,11,0.6
TPM__RASAL2,60,11,0.6
TPM__FCHO1,60,11,0.6
TPM__ATP8B1-AS1,57,11,0.57
TPM__AOPEP,57,9,0.57
TPM__RPL18A,56,10,0.56
TPM__PLPP2,56,7,0.56
METH__EXOC6B,55,8,0.55
METH__TLR9,55,9,0.55
TPM__CARD8-AS1,54,6,0.54
TPM__TM4SF1,54,7,0.54
METH__GHRL,52,7,0.52
METH__DOCK1,52,3,0.52
METH__B2M,51,7,0.51
TPM__SHTN1,50,6,0.5
TPM__HDAC11,49,3,0.49
TPM__KCNAB2,49,5,0.49
TPM__PSTPIP1,49,4,0.49
TPM__RPS6,49,3,0.49
TPM__MANSC1,48,4,0.48
TPM__RPL10A,48,3,0.48
METH__PTGFRN,48,3,0.48
METH__C15orf52,48,3,0.48
METH__KIAA1715,47,3,0.47
TPM__CHMP3,47,2,0.47
TPM__DBNDD1,47,1,0.47
METH__FOXJ3,46,5,0.46
METH__EIF3K,46,3,0.46
TPM__ATP9A,45,2,0.45
METH__NLRP14,45,1,0.45
TPM__LAPTM5,44,2,0.44
TPM__APBB1IP,43,0,0.43
TPM__ASAP2,43,2,0.43
TPM__CAPN2,42,3,0.42
METH__SPIRE2,42,2,0.42
METH__GSPT1,42,2,0.42
METH__AGAP2,41,2,0.41
TPM__TNKS1BP1,41,0,0.41
TPM__PLS3,41,1,0.41
TPM__SHB,41,2,0.41
TPM__TOM1L1,41,5,0.41
METH__ARHGEF10,41,0,0.41
TPM__CYB561,40,3,0.4
METH__PFKFB2,40,1,0.4
TPM__TANC1,40,3,0.4
METH__FIGN,39,1,0.39
METH__C17orf87,39,1,0.39
METH__LRFN3,39,0,0.39
METH__ERRFI1,39,1,0.39
METH__KRI1,38,2,0.38
METH__ADAMTS9,38,0,0.38
TPM__OCRL,38,0,0.38
METH__PDIA5,38,1,0.38
TPM__SEPTIN10,38,3,0.38
METH__PWWP2A,38,1,0.38
TPM__AGAP2,38,0,0.38
TPM__CD79A,37,2,0.37
METH__CD22,37,2,0.37
METH__ITGA4,36,1,0.36
TPM__AK1,36,1,0.36
METH__MIR150,36,0,0.36
TPM__CYTH4,36,1,0.36
TPM__DDR1,36,1,0.36
METH__AADAT,36,0,0.36
TPM__KBTBD8,36,2,0.36
METH__CRB3,35,1,0.35
METH__FN3K,35,0,0.35
TPM__RPL3,35,0,0.35
TPM__CD37,34,0,0.34
METH__LAT,34,4,0.34
METH__PTPN6,34,0,0.34
TPM__SOX13,34,2,0.34
TPM__PFN2,33,0,0.33
TPM__RHPN2,33,1,0.33
METH__FAM47E,32,1,0.32
TPM__IL21R,32,1,0.32
TPM__CD38,32,2,0.32
METH__MAP4K1,32,2,0.32
METH__CTSL2,32,1,0.32
METH__ZNF462,32,1,0.32
METH__ZNF234,31,0,0.31
TPM__NIBAN2,31,0,0.31
TPM__MFNG,31,1,0.31
METH__CD1C,31,0,0.31
TPM__DSTN,31,0,0.31
METH__CENPH,31,2,0.31
METH__U2AF1L4,30,1,0.3
METH__C9orf150,30,3,0.3
TPM__S100A13,30,3,0.3
TPM__ARHGAP25,30,0,0.3
TPM__NQO1,29,0,0.29
METH__UGGT2,29,0,0.29
TPM__PTPRF,29,0,0.29
TPM__TMEM132A,28,1,0.28
TPM__NHERF2,28,5,0.28
METH__SLA2,28,0,0.28
TPM__MORC4,28,8,0.28
