feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__MAD1L1,97,47,0.97,0.11999999731779099,-0.22,0.04,True,0.992
METH__AMIGO2,93,43,0.93,0.12999999523162842,-0.38,0.2,True,0.053
TPM__BCL2L1,88,38,0.88,0.14000000059604645,0.42,0.15,False,0.0
TPM__WNT9A,86,36,0.86,0.14000000059604645,0.42,0.13,False,0.0
TPM__SLC2A8,85,35,0.85,0.14000000059604645,0.35,0.14,False,0.0
TPM__SHB,82,32,0.82,0.15000000596046448,0.39,0.2,False,0.0
TPM__FBXL2,81,31,0.81,0.15000000596046448,0.41,0.07,False,0.0
TPM__BCL2A1,81,31,0.81,0.12999999523162842,-0.21,0.16,False,0.0
TPM__SCARA3,81,31,0.81,0.18000000715255737,0.43,0.16,False,0.0
TPM__MIR3142HG,78,28,0.78,0.1599999964237213,-0.24,0.12,False,0.0
TPM__MRPS18AP1,78,28,0.78,0.11999999731779099,-0.34,0.12,False,0.0
TPM__MET,77,27,0.77,0.1899999976158142,0.47,0.14,False,0.0
METH__PRTFDC1,76,26,0.76,0.14000000059604645,-0.28,0.13,False,0.0
TPM__IL13RA1,73,23,0.73,0.1599999964237213,0.41,0.12,False,0.0
TPM__PAWR,72,22,0.72,0.11999999731779099,0.34,0.09,False,0.0
TPM__SLC1A4,71,22,0.71,0.12999999523162842,-0.33,0.09,False,0.0
TPM__ELOVL7,67,19,0.67,0.11999999731779099,0.35,0.08,False,0.0
TPM__ALDH3B1,66,16,0.66,0.14000000059604645,0.41,0.18,False,0.0
TPM__PPP1R26,66,17,0.66,0.14000000059604645,0.33,0.12,False,0.0
TPM__THAP10,66,17,0.66,0.15000000596046448,0.37,0.14,False,0.0
TPM__SERTAD4-AS1,65,16,0.65,0.11999999731779099,0.4,0.14,False,0.0
METH__SNORA74A,65,15,0.65,0.1599999964237213,0.3,0.12,False,0.0
METH__LPXN,64,16,0.64,0.1599999964237213,0.26,0.15,False,0.0
