feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__LHFPL2,91,41,0.91,0.14000000059604645,0.36,0.07,False,0.002
TPM__GPAT3,84,34,0.84,0.15000000596046448,0.39,0.1,False,0.0
TPM__TMEM51,78,28,0.78,0.12999999523162842,0.33,0.17,False,0.0
METH__CDSN,77,27,0.77,0.12999999523162842,0.38,0.09,False,0.0
METH__RPS6KA1,73,23,0.73,0.12999999523162842,0.37,0.08,False,0.0
TPM__PLS3,72,23,0.72,0.11999999731779099,0.3,0.11,False,0.0
TPM__PTGR1,71,21,0.71,0.11999999731779099,0.33,0.11,False,0.0
TPM__PRSS23,67,18,0.67,0.20999999344348907,0.45,0.13,False,0.0
METH__PKM2,66,17,0.66,0.12999999523162842,-0.36,0.13,False,0.0
TPM__LAPTM4A,65,16,0.65,0.1599999964237213,0.39,0.15,False,0.0
TPM__HKDC1,65,16,0.65,0.12999999523162842,0.42,0.15,False,0.0
TPM__CUEDC1,64,14,0.64,0.18000000715255737,0.39,0.15,False,0.0
TPM__ENC1,62,12,0.62,0.14000000059604645,0.38,0.12,False,0.0
TPM__PTTG1IP,61,12,0.61,0.15000000596046448,0.37,0.12,False,0.0
METH__TERF1,61,11,0.61,0.1599999964237213,-0.38,0.2,False,0.0
TPM__BTC,60,10,0.6,0.12999999523162842,0.4,0.06,False,0.0
METH__GCET2,59,11,0.59,0.15000000596046448,0.38,0.11,False,0.0
TPM__GDF15,59,11,0.59,0.14000000059604645,0.39,0.1,False,0.0
TPM__MALL,56,7,0.56,0.14000000059604645,0.38,0.16,True,0.053
TPM__PSAP,55,9,0.55,0.12999999523162842,0.35,0.16,False,0.002
TPM__DCBLD2,54,9,0.54,0.1599999964237213,0.4,0.1,False,0.002
METH__TBC1D10C,53,6,0.53,0.12999999523162842,0.37,0.18,True,0.181
METH__PPIL6,52,5,0.52,0.11999999731779099,-0.35,0.16,True,0.458
METH__INPP5D,52,2,0.52,0.12999999523162842,0.36,0.1,True,1.0
METH__AGXT2L2,51,5,0.51,0.12999999523162842,0.39,0.09,True,0.458
TPM__AOPEP,50,3,0.5,0.12999999523162842,0.37,0.1,True,0.992
TPM__CEMIP2,50,3,0.5,0.14000000059604645,0.37,0.1,True,0.992
TPM__CARD10,49,5,0.49,0.1599999964237213,0.38,0.14,True,0.458
TPM__ITPRIPL1,49,4,0.49,0.15000000596046448,-0.37,0.16,True,0.832
TPM__PSTPIP1,48,2,0.48,0.15000000596046448,-0.36,0.12,True,1.0
METH__FAIM3,48,6,0.48,0.15000000596046448,0.38,0.12,True,0.181
METH__LGMN,47,3,0.47,0.12999999523162842,-0.27,0.16,True,0.992
METH__RHEB,46,2,0.46,0.12999999523162842,-0.35,0.12,True,1.0
TPM__AGAP2,46,2,0.46,0.20999999344348907,-0.44,0.2,True,1.0
METH__APOB48R,46,3,0.46,0.14000000059604645,0.34,0.12,True,0.992
TPM__ABLIM3,46,2,0.46,0.12999999523162842,0.4,0.13,True,1.0
TPM__ANXA2,45,3,0.45,0.14000000059604645,0.4,0.11,True,0.992
