feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__BCL2L1,100,50,1.0,0.09000000357627869,0.3,0.03,True,1.0
TPM__WFS1,93,43,0.93,0.11999999731779099,0.33,0.11,True,0.053
METH__TMPRSS8,89,39,0.89,0.07999999821186066,0.25,0.06,False,0.0
TPM__SLC38A6,85,35,0.85,0.07999999821186066,0.3,0.09,False,0.0
TPM__RASAL2-AS1,85,35,0.85,0.09000000357627869,0.33,0.17,False,0.0
TPM__NDFIP1,83,33,0.83,0.07999999821186066,0.25,0.1,False,0.0
TPM__CC2D2A,80,30,0.8,0.09000000357627869,0.29,0.14,False,0.0
TPM__ZBED4,79,29,0.79,0.09000000357627869,-0.29,0.08,False,0.0
TPM__HRCT1,78,28,0.78,0.07999999821186066,0.37,0.15,False,0.0
TPM__GPSM3,78,28,0.78,0.07999999821186066,-0.25,0.08,False,0.0
TPM__SAMD4A,77,27,0.77,0.09000000357627869,0.3,0.05,False,0.0
TPM__POLR1H,75,25,0.75,0.10000000149011612,-0.31,0.08,False,0.0
TPM__RND3,73,23,0.73,0.07999999821186066,0.28,0.08,False,0.0
TPM__RPS18,71,22,0.71,0.07999999821186066,-0.29,0.08,False,0.0
TPM__BTC,70,20,0.7,0.09000000357627869,0.32,0.13,False,0.0
METH__MIER3,70,20,0.7,0.07999999821186066,-0.27,0.05,False,0.0
METH__THBS1,68,20,0.68,0.07999999821186066,-0.28,0.13,False,0.0
METH__ITGA4,67,17,0.67,0.09000000357627869,0.27,0.07,False,0.0
TPM__CCND1,66,18,0.66,0.10000000149011612,0.29,0.1,False,0.0
TPM__MID2,66,16,0.66,0.07999999821186066,0.29,0.13,False,0.0
TPM__ITGAV,61,11,0.61,0.07999999821186066,0.28,0.14,False,0.0
TPM__ZCCHC3,61,12,0.61,0.07999999821186066,-0.27,0.06,False,0.0
TPM__SBDS,60,11,0.6,0.07999999821186066,0.31,0.07,False,0.0
TPM__KRT80,60,12,0.6,0.07000000029802322,0.29,0.09,False,0.0
METH__GTPBP10,59,12,0.59,0.07999999821186066,-0.27,0.17,False,0.0
TPM__RPL36AP44,59,12,0.59,0.07999999821186066,0.31,0.08,False,0.0
TPM__GPAT3,59,9,0.59,0.09000000357627869,0.31,0.08,False,0.002
METH__TSPAN12,57,9,0.57,0.09000000357627869,-0.28,0.07,False,0.002
TPM__BCL11A,57,10,0.57,0.09000000357627869,-0.26,0.12,False,0.0
TPM__CDT1,56,8,0.56,0.09000000357627869,-0.3,0.1,False,0.013
TPM__PYGB,56,10,0.56,0.07999999821186066,0.29,0.04,False,0.0
TPM__KDM2B,56,11,0.56,0.10999999940395355,-0.31,0.08,False,0.0
METH__ENTPD7,55,5,0.55,0.07000000029802322,-0.24,0.12,True,0.458
TPM__DOCK1,54,7,0.54,0.07999999821186066,0.23,0.09,True,0.053
TPM__AK1,54,7,0.54,0.10999999940395355,0.31,0.1,True,0.053
METH__CEBPE,53,7,0.53,0.07999999821186066,0.24,0.07,True,0.053
TPM__FN1,50,3,0.5,0.07999999821186066,0.3,0.1,True,0.992
METH__NLRC3,49,3,0.49,0.07999999821186066,0.19,0.14,True,0.992
TPM__PLEC,49,7,0.49,0.07999999821186066,0.28,0.07,True,0.053
TPM__ATP2A3,49,3,0.49,0.09000000357627869,-0.28,0.09,True,0.992
TPM__TRNP1,48,4,0.48,0.10000000149011612,0.33,0.11,True,0.832
TPM__LAMB1,48,4,0.48,0.07999999821186066,0.26,0.08,True,0.832
TPM__FKBP9,48,2,0.48,0.10000000149011612,0.29,0.1,True,1.0
TPM__CRIM1-DT,47,6,0.47,0.09000000357627869,0.32,0.08,True,0.181
TPM__CFL2,47,5,0.47,0.07999999821186066,0.29,0.09,True,0.458
TPM__PXDC1,47,3,0.47,0.07999999821186066,0.27,0.09,True,0.992
TPM__LCP1,47,4,0.47,0.09000000357627869,-0.26,0.12,True,0.832
TPM__KLRG1,46,4,0.46,0.07999999821186066,-0.27,0.06,True,0.832
METH__NLRP14,45,2,0.45,0.09000000357627869,-0.28,0.06,True,1.0
TPM__PALS1,43,0,0.43,0.07000000029802322,0.29,0.12,False,
METH__EVL,43,2,0.43,0.09000000357627869,0.24,0.16,True,1.0
TPM__SH3BP4,43,1,0.43,0.10999999940395355,0.29,0.13,True,1.0
TPM__TM4SF1,42,0,0.42,0.11999999731779099,0.34,0.1,False,
TPM__PLXNB3,42,3,0.42,0.07999999821186066,0.29,0.08,True,0.992
TPM__GNG12,42,1,0.42,0.10000000149011612,0.32,0.1,True,1.0
METH__TNK1,41,0,0.41,0.09000000357627869,-0.25,0.11,False,
METH__BCL9L,41,0,0.41,0.09000000357627869,-0.28,0.09,False,
TPM__EVA1A,41,2,0.41,0.09000000357627869,0.32,0.13,True,1.0
METH__DDAH1,41,4,0.41,0.09000000357627869,-0.27,0.07,True,0.832
