feature,Selection count,Pair count,CPSS Score
TPM__BCL2L1,100,50,1.0
TPM__WFS1,93,43,0.93
METH__TMPRSS8,89,39,0.89
TPM__SLC38A6,85,35,0.85
TPM__RASAL2-AS1,85,35,0.85
TPM__NDFIP1,83,33,0.83
TPM__CC2D2A,80,30,0.8
TPM__ZBED4,79,29,0.79
TPM__HRCT1,78,28,0.78
TPM__GPSM3,78,28,0.78
TPM__SAMD4A,77,27,0.77
TPM__POLR1H,75,25,0.75
TPM__RND3,73,23,0.73
TPM__RPS18,71,22,0.71
METH__MIER3,70,20,0.7
TPM__BTC,70,20,0.7
METH__THBS1,68,20,0.68
METH__ITGA4,67,17,0.67
TPM__CCND1,66,18,0.66
TPM__MID2,66,16,0.66
TPM__ITGAV,61,11,0.61
TPM__ZCCHC3,61,12,0.61
TPM__SBDS,60,11,0.6
TPM__KRT80,60,12,0.6
METH__GTPBP10,59,12,0.59
TPM__RPL36AP44,59,12,0.59
TPM__GPAT3,59,9,0.59
METH__TSPAN12,57,9,0.57
TPM__BCL11A,57,10,0.57
TPM__PYGB,56,10,0.56
TPM__KDM2B,56,11,0.56
TPM__CDT1,56,8,0.56
METH__ENTPD7,55,5,0.55
TPM__DOCK1,54,7,0.54
TPM__AK1,54,7,0.54
METH__CEBPE,53,7,0.53
TPM__FN1,50,3,0.5
METH__NLRC3,49,3,0.49
TPM__PLEC,49,7,0.49
TPM__ATP2A3,49,3,0.49
TPM__TRNP1,48,4,0.48
TPM__LAMB1,48,4,0.48
TPM__FKBP9,48,2,0.48
TPM__LCP1,47,4,0.47
TPM__PXDC1,47,3,0.47
TPM__CFL2,47,5,0.47
TPM__CRIM1-DT,47,6,0.47
TPM__KLRG1,46,4,0.46
METH__NLRP14,45,2,0.45
TPM__PALS1,43,0,0.43
METH__EVL,43,2,0.43
TPM__SH3BP4,43,1,0.43
TPM__TM4SF1,42,0,0.42
TPM__PLXNB3,42,3,0.42
TPM__GNG12,42,1,0.42
METH__TNK1,41,0,0.41
METH__BCL9L,41,0,0.41
TPM__EVA1A,41,2,0.41
METH__DDAH1,41,4,0.41
TPM__PRSS23,41,1,0.41
METH__POLD3,40,1,0.4
METH__ERBB2,40,0,0.4
TPM__AKNA,40,1,0.4
TPM__DAG1,40,1,0.4
METH__AGAP2,39,0,0.39
TPM__SHB,38,2,0.38
TPM__SEPTIN6,38,1,0.38
TPM__ANKRD1,38,2,0.38
TPM__SRGAP1,37,1,0.37
TPM__GNS,37,0,0.37
TPM__ASAP2,37,0,0.37
TPM__GRK2,37,1,0.37
TPM__HVCN1,36,0,0.36
METH__MTMR11,36,1,0.36
TPM__DSTN,36,2,0.36
TPM__TPM1,36,0,0.36
TPM__MRPS18AP1,36,3,0.36
METH__PROCA1,36,0,0.36
TPM__CHMP3,36,1,0.36
TPM__RPS28,35,3,0.35
TPM__NACC2,35,2,0.35
METH__C15orf52,35,0,0.35
TPM__EXT1,35,0,0.35
TPM__NRBP2,35,0,0.35
TPM__PDCD6IP-DT,35,4,0.35
TPM__RCC2,34,1,0.34
TPM__CYTH4,34,2,0.34
METH__RASAL2,34,1,0.34
METH__ZNF214,34,1,0.34
METH__IBTK,34,3,0.34
TPM__SEPTIN10,34,0,0.34
TPM__THSD4,33,2,0.33
TPM__PARVA,33,1,0.33
METH__MAP1LC3B2,33,0,0.33
TPM__TGFB2,32,0,0.32
TPM__MIR22HG,32,1,0.32
TPM__SDC1,32,0,0.32
TPM__PPP2R3A,32,0,0.32
METH__PARP10,32,0,0.32
METH__FAM129C,32,0,0.32
TPM__OPHN1,32,1,0.32
TPM__SNX24,32,1,0.32
TPM__CARD10,31,0,0.31
TPM__PTPRC,31,0,0.31
TPM__PPP1R26,31,1,0.31
TPM__SHROOM1,31,1,0.31
TPM__VRK1,31,1,0.31
TPM__RRAS,31,1,0.31
TPM__MTF2,31,0,0.31
TPM__TXNRD3,30,1,0.3
TPM__EAF2,30,0,0.3
TPM__TMEM131L,30,0,0.3
TPM__DDAH1,30,1,0.3
METH__RAVER1,30,2,0.3
TPM__TGFA,30,1,0.3
METH__C7orf23,30,0,0.3
TPM__TSPAN4,29,1,0.29
TPM__ENC1,29,0,0.29
METH__CDC42BPB,29,0,0.29
METH__ICAM3,29,0,0.29
TPM__EPS8,28,2,0.28
TPM__ARPIN-AP3S2,28,1,0.28
TPM__LINC00973,28,1,0.28
TPM__CCDC88C,28,0,0.28
METH__SSH3,28,0,0.28
METH__CASZ1,28,0,0.28
TPM__F2RL1,27,2,0.27
TPM__IGFBP6,27,0,0.27
TPM__PSAP,27,1,0.27
TPM__ARHGAP29,27,0,0.27
TPM__MYO1C,27,1,0.27
METH__CDKN2D,26,2,0.26
METH__TRIM44,26,1,0.26
TPM__P4HA2,26,0,0.26
TPM__SNX21,26,0,0.26
TPM__RASAL2,26,0,0.26
TPM__ANKLE1,25,0,0.25
TPM__RPL18A,25,1,0.25
TPM__CUEDC1,25,0,0.25
TPM__PCED1B-AS1,24,0,0.24
TPM__SEMA3B,24,2,0.24
TPM__CLIP1,24,0,0.24
TPM__SOX9,23,0,0.23
TPM__LTBP3,23,2,0.23
TPM__PMEPA1,23,6,0.23
METH__CCDC12,23,0,0.23
TPM__ARSJ,23,1,0.23
TPM__FERMT3,23,0,0.23
TPM__BAIAP2,23,1,0.23
TPM__BCAM,23,3,0.23
METH__NR2F2,22,0,0.22
TPM__SLC49A4,22,1,0.22
METH__CDC14B,22,0,0.22
TPM__NTN4,22,3,0.22
TPM__PPP1R14B-AS1,22,0,0.22
TPM__KBTBD8,22,0,0.22
METH__ADAMTS9,22,0,0.22
TPM__TANC1,22,2,0.22
TPM__CNTRL,22,1,0.22
TPM__CAST,22,1,0.22
TPM__TWF1,21,1,0.21
TPM__TNS2,21,0,0.21
TPM__SNX9,21,0,0.21
TPM__CNN3,21,0,0.21
TPM__PLPP2,21,0,0.21
TPM__FHL2,21,0,0.21
TPM__UACA,20,0,0.2
TPM__TGM2,20,1,0.2
TPM__SUMF1,20,4,0.2
TPM__PLS3,20,0,0.2
TPM__TAF5,20,2,0.2
TPM__GULP1,20,4,0.2
TPM__NR2F2,20,3,0.2
TPM__NT5E,20,5,0.2
TPM__RPS11,20,2,0.2
TPM__NIBAN2,20,0,0.2
TPM__CTSL,20,0,0.2
TPM__GRAMD2B,20,5,0.2
TPM__TBC1D10C,20,0,0.2
METH__TBC1D10C,20,0,0.2
TPM__SEC14L2,19,0,0.19
METH__PRIC285,19,0,0.19
TPM__SPR,19,0,0.19
TPM__CD52,19,0,0.19
TPM__EPHX1,19,0,0.19
TPM__BMS1P23,19,2,0.19
METH__TERF1,19,1,0.19
TPM__SGMS2,19,0,0.19
TPM__SNX7,19,1,0.19
TPM__MORC4,18,6,0.18
TPM__CHPF,18,3,0.18
TPM__IL12RB1,18,0,0.18
TPM__IQSEC2,18,4,0.18
TPM__OSGIN1,18,2,0.18
METH__SOAT2,18,2,0.18
TPM__UBTD1,17,0,0.17
TPM__MYOF,17,0,0.17
TPM__CALD1,17,0,0.17
METH__SHC2,17,3,0.17
METH__AK1,17,1,0.17
TPM__NPAS2,17,2,0.17
METH__GHRLOS,17,1,0.17
METH__FAM110C,16,3,0.16
TPM__TNFRSF13C,16,1,0.16
TPM__PLAAT3,16,2,0.16
TPM__FUCA2,16,2,0.16
TPM__LIF,16,1,0.16
TPM__IL17RC,16,0,0.16
TPM__ADAM9,16,0,0.16
TPM__SPATS2L,15,5,0.15
METH__ANKRD57,15,0,0.15
METH__RHEB,15,4,0.15
TPM__IL13RA1,15,1,0.15
TPM__AOPEP,15,4,0.15
METH__MARVELD3,15,0,0.15
METH__PTRF,15,6,0.15
TPM__TSPOAP1-AS1,15,0,0.15
TPM__ERRFI1,15,0,0.15
