feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__SLFN11,100,50,1.0,0.20999999344348907,-0.45,0.18,True,1.0
TPM__SLC38A5,99,49,0.99,0.15000000596046448,-0.37,0.06,True,1.0
METH__MIER3,94,44,0.94,0.10999999940395355,-0.32,0.08,True,0.181
TPM__PSAP,93,43,0.93,0.11999999731779099,0.37,0.09,True,0.053
TPM__ALDH3B1,92,42,0.92,0.11999999731779099,0.35,0.09,False,0.013
TPM__RPL10A,88,38,0.88,0.12999999523162842,-0.39,0.09,False,0.0
TPM__STX3,87,37,0.87,0.10999999940395355,0.34,0.12,False,0.0
TPM__TACC2,86,36,0.86,0.11999999731779099,0.3,0.17,False,0.0
TPM__DDN,85,35,0.85,0.11999999731779099,-0.36,0.07,False,0.0
TPM__MRPS18AP1,84,34,0.84,0.10999999940395355,-0.3,0.09,False,0.0
TPM__MOB3A,84,34,0.84,0.10999999940395355,-0.32,0.14,False,0.0
TPM__SYTL2,78,28,0.78,0.10999999940395355,0.36,0.12,False,0.0
METH__CUL1,78,28,0.78,0.14000000059604645,0.36,0.08,False,0.0
TPM__SH3D19,75,25,0.75,0.14000000059604645,0.36,0.11,False,0.0
TPM__PDCD6IP-DT,75,25,0.75,0.11999999731779099,0.37,0.15,False,0.0
TPM__APLP2,75,25,0.75,0.10999999940395355,0.32,0.11,False,0.0
TPM__AGAP2,73,23,0.73,0.20000000298023224,-0.46,0.11,False,0.0
METH__DGKZ,72,22,0.72,0.12999999523162842,0.35,0.08,False,0.0
TPM__NPTN,69,19,0.69,0.11999999731779099,0.36,0.12,False,0.0
TPM__KDM2B,68,18,0.68,0.1599999964237213,-0.4,0.09,False,0.0
TPM__TUFT1,67,17,0.67,0.18000000715255737,0.41,0.17,False,0.0
TPM__TM4SF1,67,18,0.67,0.1599999964237213,0.41,0.17,False,0.0
TPM__NRBP2,66,16,0.66,0.10999999940395355,0.31,0.09,False,0.0
TPM__GIMAP2,65,17,0.65,0.10999999940395355,-0.27,0.08,False,0.0
TPM__CARD10,65,15,0.65,0.12999999523162842,0.37,0.15,False,0.0
METH__ERBB2,64,16,0.64,0.10999999940395355,-0.36,0.12,False,0.0
TPM__DUSP3,63,14,0.63,0.11999999731779099,0.33,0.11,False,0.0
TPM__RPL3,63,13,0.63,0.10999999940395355,-0.36,0.1,False,0.0
METH__POLR1B,62,12,0.62,0.10999999940395355,0.32,0.09,False,0.0
TPM__PIR,61,12,0.61,0.12999999523162842,0.35,0.09,False,0.0
TPM__IL13RA1,61,13,0.61,0.11999999731779099,0.33,0.09,False,0.0
TPM__MLPH,61,13,0.61,0.12999999523162842,0.39,0.1,False,0.0
METH__PROCA1,60,13,0.6,0.10999999940395355,0.31,0.1,False,0.0
METH__MGAT1,60,13,0.6,0.12999999523162842,0.31,0.1,False,0.0
TPM__FERMT3,60,12,0.6,0.12999999523162842,-0.31,0.12,False,0.0
TPM__RFXAP,57,9,0.57,0.15000000596046448,-0.4,0.12,False,0.002
TPM__GULP1,56,8,0.56,0.14000000059604645,0.38,0.1,False,0.013
METH__ITPRIPL2,52,7,0.52,0.10999999940395355,-0.32,0.15,True,0.053
TPM__KIF21B,51,5,0.51,0.11999999731779099,-0.33,0.12,True,0.458
TPM__RPS11,50,8,0.5,0.10999999940395355,-0.38,0.09,False,0.013
METH__TLCD2,49,4,0.49,0.10999999940395355,-0.33,0.08,True,0.832
TPM__BTC,48,4,0.48,0.10999999940395355,0.37,0.11,True,0.832
TPM__SQSTM1,48,2,0.48,0.14000000059604645,0.4,0.12,True,1.0
METH__MTMR11,47,3,0.47,0.14000000059604645,-0.32,0.19,True,0.992
TPM__TRNP1,47,2,0.47,0.10999999940395355,0.34,0.09,True,1.0
TPM__RCSD1,46,3,0.46,0.14000000059604645,-0.25,0.11,True,0.992
TPM__PVR,46,3,0.46,0.10999999940395355,0.3,0.1,True,0.992
METH__SYTL4,44,3,0.44,0.12999999523162842,-0.31,0.12,True,0.992
METH__SLC44A3,44,0,0.44,0.17000000178813934,-0.41,0.14,False,
TPM__CUEDC1,44,1,0.44,0.15000000596046448,0.37,0.12,True,1.0
METH__PIK3CG,44,0,0.44,0.15000000596046448,0.34,0.13,False,
TPM__AHNAK2,43,2,0.43,0.11999999731779099,0.36,0.08,True,1.0
METH__BOK,43,2,0.43,0.11999999731779099,-0.32,0.08,True,1.0
TPM__TCF3,42,1,0.42,0.10999999940395355,-0.32,0.1,True,1.0
TPM__SHTN1,42,1,0.42,0.15000000596046448,0.37,0.07,True,1.0
METH__HOOK1,41,2,0.41,0.14000000059604645,-0.37,0.1,True,1.0
METH__FAM47E,41,1,0.41,0.12999999523162842,-0.35,0.13,True,1.0
TPM__LCP1,41,2,0.41,0.11999999731779099,-0.31,0.15,True,1.0
TPM__ID1,41,1,0.41,0.10999999940395355,0.32,0.12,True,1.0
TPM__CTNND1,40,0,0.4,0.10999999940395355,0.33,0.08,False,
TPM__MID1,39,0,0.39,0.11999999731779099,0.35,0.13,False,
METH__FAIM3,39,2,0.39,0.10999999940395355,0.31,0.09,True,1.0
