feature,Selection count,Pair count,CPSS Score
TPM__CTTN,100,50,1.0
TPM__CORO1A,100,50,1.0
TPM__CHMP3,100,50,1.0
TPM__TMEM54,100,50,1.0
TPM__PTPN7,100,50,1.0
TPM__PDE1B,100,50,1.0
TPM__OSGIN1,100,50,1.0
TPM__TUFT1,100,50,1.0
TPM__TM4SF1,100,50,1.0
TPM__TACC2,100,50,1.0
TPM__KRT15,100,50,1.0
TPM__AMOTL2,100,50,1.0
TPM__MIR142HG,100,50,1.0
TPM__CHST3,100,50,1.0
TPM__THBS1,100,50,1.0
TPM__LIMD2,100,50,1.0
METH__GPR125,100,50,1.0
TPM__RPL18,100,50,1.0
TPM__ZNF22,100,50,1.0
TPM__SLFN11,100,50,1.0
TPM__TTC39A,100,50,1.0
TPM__GPX8,100,50,1.0
TPM__PDCD6IP-DT,100,50,1.0
TPM__CARD8,100,50,1.0
TPM__NCKAP1L,100,50,1.0
TPM__SEPTIN6,100,50,1.0
TPM__RBPMS-AS1,100,50,1.0
METH__ARHGDIB,100,50,1.0
TPM__LAMB2,100,50,1.0
METH__CCDC12,99,49,0.99
TPM__SRXN1,99,49,0.99
TPM__PDCD7,99,49,0.99
METH__MIR574,99,49,0.99
TPM__FLI1,99,49,0.99
TPM__HOXD13,99,49,0.99
TPM__CCND1,99,49,0.99
METH__PTPRCAP,98,48,0.98
TPM__PIK3CG,98,48,0.98
TPM__CYFIP2,98,48,0.98
TPM__MAFF,98,48,0.98
METH__RHOH,98,48,0.98
TPM__PAQR5,96,46,0.96
METH__PFKFB2,96,46,0.96
TPM__EPHA2-AS1,96,46,0.96
METH__FAM114A1,95,45,0.95
METH__GNPNAT1,94,44,0.94
METH__OGFR,92,42,0.92
METH__PTPN14,92,42,0.92
METH__CCDC88B,91,41,0.91
METH__S100A2,91,41,0.91
METH__LRIG3,90,41,0.9
METH__CCM2,90,40,0.9
METH__ITGB8,88,38,0.88
TPM__MANCR,88,39,0.88
METH__INTU,87,37,0.87
METH__MTMR11,86,38,0.86
METH__POLD3,86,36,0.86
METH__PTPRK,83,34,0.83
METH__C3orf39,83,33,0.83
METH__IGSF3,82,33,0.82
METH__PBX4,81,34,0.81
METH__KITLG,81,32,0.81
METH__PAWR,80,31,0.8
METH__THBS1,79,31,0.79
METH__DHRS7B,78,28,0.78
TPM__MIR200CHG,76,29,0.76
METH__UGGT2,74,25,0.74
METH__FAM98B,72,26,0.72
TPM__ATP5F1EP2,72,24,0.72
METH__DSTN,68,20,0.68
METH__ACY1,65,20,0.65
TPM__SNORA11F,62,23,0.62
METH__FAT1,58,18,0.58
TPM__RNVU1-7,57,12,0.57
METH__PPIC,56,16,0.56
METH__C4orf37,54,12,0.54
METH__TEAD4,51,9,0.51
METH__RXRA,49,8,0.49
METH__TERF1,49,9,0.49
CNV__SF3B1,45,5,0.45
CNV__FLT4,44,8,0.44
METH__HCFC1R1,43,8,0.43
METH__C6orf153,42,8,0.42
METH__SOS2,41,7,0.41
CNV__FANCM,41,7,0.41
METH__ARHGEF12,40,4,0.4
TPM__SNORA7A,39,6,0.39
TPM__SCARNA1,36,6,0.36
METH__CCAR1,35,0,0.35
TPM__RNVU1-3,35,7,0.35
METH__PCCA,35,3,0.35
METH__WBSCR22,35,4,0.35
METH__ABCD3,34,3,0.34
CNV__CD274,33,3,0.33
MUT__KRAS,32,2,0.32
CNV__JAK2,31,5,0.31
CNV__TMPRSS2,31,3,0.31
METH__KLF4,30,4,0.3
CNV__KMT2B,30,2,0.3
METH__LRBA,29,2,0.29
METH__C17orf95,29,5,0.29
CNV__ZEB1,29,1,0.29
METH__SLC2A6,28,0,0.28
METH__JAG1,28,1,0.28
METH__LRP6,27,0,0.27
CNV__BMPR2,27,3,0.27
CNV__NIN,27,2,0.27
CNV__PMS1,25,2,0.25
METH__FAM171A1,25,1,0.25
CNV__STRN,24,4,0.24
MUT__EP300,24,1,0.24
TPM__SNORA2B,24,2,0.24
CNV__CD74,23,1,0.23
METH__PAPD4,23,0,0.23
CNV__HOXD13,23,1,0.23
CNV__OLIG2,22,0,0.22
METH__ZNF566,22,0,0.22
TPM__SNORA14B,22,0,0.22
CNV__CEBPA,22,0,0.22
TPM__RNU4-89P,22,2,0.22
CNV__ZNF780A,22,2,0.22
METH__ACTN1,22,2,0.22
METH__SPAG9,22,2,0.22
TPM__RNVU1-26,22,1,0.22
CNV__ABI1,21,0,0.21
METH__ZNF697,21,1,0.21
CNV__KIF5B,21,1,0.21
METH__RNASEH2B,20,2,0.2
CNV__H3-3B,20,2,0.2
TPM__RNU1-91P,20,2,0.2
METH__SS18,19,2,0.19
METH__SLC25A14,19,0,0.19
CNV__PDCD1LG2,18,0,0.18
CNV__ALK,17,0,0.17
CNV__SRSF2,17,0,0.17
MUT__PBRM1,17,0,0.17
METH__RGMB,17,0,0.17
CNV__FOXP1,16,0,0.16
MUT__ZNF208,16,0,0.16
METH__PARD3B,16,1,0.16
CNV__RAP1GDS1,16,0,0.16
TPM__SNORA72,16,2,0.16
METH__LNPEP,16,0,0.16
CNV__RHPN2,16,0,0.16
TPM__RNA5SP216,16,0,0.16
CNV__AKT2,15,2,0.15
MUT__CDKN2A,15,0,0.15
TPM__RNA5SP187,15,0,0.15
CNV__IRF1,15,0,0.15
TPM__SNORA7B,15,1,0.15
TPM__SNORA49,15,0,0.15
CNV__SOS1,15,0,0.15
TPM__SNORA26,14,0,0.14
MUT__NRAS,14,0,0.14
CNV__AFF4,14,2,0.14
TPM__SCARNA4,14,0,0.14
TPM__VTRNA2-1,13,0,0.13
METH__DNAJC30,13,0,0.13
CNV__CBLC,13,1,0.13
CNV__RPS3A,13,1,0.13
CNV__ENPEP,13,0,0.13
METH__C10orf41,13,0,0.13
CNV__HOXD11,13,0,0.13
CNV__ARHGAP35,12,0,0.12
CNV__EFTUD2,12,0,0.12
METH__COPB2,12,0,0.12
METH__MAGI3,12,0,0.12
METH__C1orf84,12,0,0.12
CNV__FAT4,11,0,0.11
METH__TOP2A,11,0,0.11
CNV__LOX,10,0,0.1
CNV__FBXW7,10,0,0.1
TPM__SCARNA8,10,0,0.1
CNV__PIK3R1,10,0,0.1
CNV__FBXO11,10,1,0.1
METH__C10orf114,9,0,0.09
CNV__LEF1,9,0,0.09
CNV__FGFR3,9,0,0.09
MUT__RB1,9,0,0.09
METH__LOC81691,9,0,0.09
METH__MRPS35,9,0,0.09
CNV__CD79A,8,0,0.08
TPM__SNORA80E,8,0,0.08
METH__C14orf147,8,0,0.08
CNV__TET2,8,0,0.08
CNV__ALB,8,0,0.08
CNV__SYK,8,1,0.08
CNV__ERCC1,8,0,0.08
METH__C17orf61,7,0,0.07
METH__ERI2,7,0,0.07
CNV__EPAS1,7,0,0.07
CNV__PRKD2,7,0,0.07
METH__RTCD1,7,0,0.07
TPM__SNORA80B,7,0,0.07
CNV__BAX,7,0,0.07
CNV__EHD2,7,0,0.07
METH__RPS6KA4,7,0,0.07
CNV__BCL3,7,0,0.07
CNV__JAK1,7,0,0.07
METH__ZNF57,7,0,0.07
METH__LAPTM4A,7,0,0.07
CNV__FBN2,6,1,0.06
MUT__LRP1B,6,0,0.06
TPM__SNORA33,6,0,0.06
METH__DDX50,6,0,0.06
CNV__IL2,6,0,0.06
CNV__IFNAR1,6,0,0.06
CNV__GNAQ,6,0,0.06
METH__ALG6,6,0,0.06
METH__OR4X1,6,0,0.06
METH__C6orf217,5,0,0.05
CNV__MAP2K2,5,0,0.05
METH__RAPH1,5,1,0.05
CNV__PCBP1,5,0,0.05
CNV__ERCC2,5,1,0.05
CNV__FAT1,5,0,0.05
TPM__SNORA71D,5,0,0.05
MUT__ARID1A,5,0,0.05
METH__SKI,5,0,0.05
MUT__SMAD4,4,0,0.04
CNV__EML4,4,0,0.04
CNV__PATZ1,4,0,0.04
CNV__SH3GL1,4,0,0.04
CNV__TLL1,4,0,0.04
METH__GMFB,4,0,0.04
METH__APPL1,4,0,0.04
TPM__SNORA80D,3,0,0.03
METH__EFNA5,3,0,0.03
METH__FRYL,3,0,0.03
MUT__B2M,3,0,0.03
MUT__CASP8,3,0,0.03
MUT__PIK3CA,3,0,0.03
METH__TBK1,3,0,0.03
METH__MAP3K12,3,0,0.03
CNV__RBFOX2,3,0,0.03
TPM__SNORD10,3,0,0.03
TPM__RNA5SP323,3,0,0.03
CNV__MYH9,3,0,0.03
METH__MIR1915,3,0,0.03
CNV__PPP3CA,3,0,0.03
MUT__HLA-A,3,0,0.03
METH__ARHGEF17,2,0,0.02
MUT__DNMT3A,2,0,0.02
METH__INCENP,2,0,0.02
MUT__BRAF,2,0,0.02
MUT__KMT2C,2,0,0.02
METH__SMAD1,2,0,0.02
METH__TROAP,2,0,0.02
TPM__SNORA46,2,0,0.02
MUT__FAT1,2,0,0.02
METH__OSBPL8,2,0,0.02
METH__TOMM7,2,0,0.02
METH__DDIT4,2,0,0.02
CNV__FBLN1,2,0,0.02
CNV__GNA11,2,0,0.02
METH__TRMT5,2,0,0.02
METH__KIAA1328,2,0,0.02
METH__RNGTT,2,0,0.02
METH__AIMP2,2,0,0.02
METH__RNFT1,2,0,0.02
METH__PPTC7,1,0,0.01
METH__KAT2B,1,0,0.01
METH__TIPRL,1,0,0.01
METH__TRIM24,1,0,0.01
METH__ZNF443,1,0,0.01
METH__PDIK1L,1,0,0.01
METH__RANGAP1,1,0,0.01
MUT__NF2,1,0,0.01
METH__SHQ1,1,0,0.01
MUT__TGFBR2,1,0,0.01
MUT__SMARCA4,1,0,0.01
MUT__APC,1,0,0.01
