feature,Selection count,Pair count,CPSS Score
TPM__ABHD12,95,45,0.95
TPM__KIF21B,93,43,0.93
METH__SRRM2,90,40,0.9
TPM__AGAP2,87,37,0.87
METH__TSPAN12,85,35,0.85
TPM__ZNF589,84,34,0.84
METH__NUDT16P,84,34,0.84
METH__AGXT2L2,82,32,0.82
TPM__DDN,82,32,0.82
METH__TCF3,80,30,0.8
TPM__NAV2,76,26,0.76
TPM__EPHA2-AS1,74,24,0.74
TPM__PTTG1IP,72,22,0.72
TPM__CYFIP2,72,22,0.72
TPM__EVA1A,71,21,0.71
TPM__SYNJ2,70,20,0.7
TPM__RGL3,70,20,0.7
METH__SPATS2L,70,21,0.7
TPM__CARMIL2,69,19,0.69
TPM__ATP9A,67,17,0.67
TPM__ASAP2,66,17,0.66
TPM__PLPP2,66,17,0.66
TPM__TRNP1,63,14,0.63
METH__LOC283404,62,13,0.62
METH__GPR39,58,10,0.58
METH__ITGAL,57,10,0.57
METH__PVRL3,57,7,0.57
TPM__ITPRIPL1,56,9,0.56
TPM__ERRFI1,53,6,0.53
TPM__CTSA,52,4,0.52
TPM__CTNND1,51,6,0.51
TPM__ANXA4,51,7,0.51
METH__MARVELD2,51,6,0.51
TPM__APLP2,51,7,0.51
TPM__PON2,50,4,0.5
TPM__SPATS2L,50,4,0.5
METH__TERF1,50,5,0.5
METH__DNMBP,49,4,0.49
METH__C11orf90,49,4,0.49
TPM__GPAT3,48,5,0.48
TPM__PLK2,47,5,0.47
TPM__TPM1,47,4,0.47
TPM__INF2,46,3,0.46
TPM__ALDH3B1,46,1,0.46
METH__PTPN14,44,2,0.44
TPM__TOM1L1,44,1,0.44
METH__CCDC88B,44,3,0.44
TPM__MTMR11,44,1,0.44
TPM__LGALS3,43,3,0.43
TPM__SHTN1,43,2,0.43
TPM__EPHX1,42,3,0.42
TPM__CARD10,42,0,0.42
METH__FAM84A,42,1,0.42
TPM__DAG1,41,2,0.41
TPM__GULP1,41,2,0.41
TPM__ARHGAP29,40,1,0.4
TPM__KRT8,40,3,0.4
TPM__EPS8,40,2,0.4
TPM__EGFR,40,2,0.4
TPM__RND3,40,3,0.4
TPM__GIPC1,40,1,0.4
TPM__NBL1,39,2,0.39
TPM__KLF4,38,3,0.38
TPM__ANXA2P2,38,1,0.38
TPM__PARVA,37,1,0.37
TPM__ZNF101,37,3,0.37
TPM__ATP1B1,37,0,0.37
TPM__PPARG,37,1,0.37
TPM__CDC42EP2,37,1,0.37
TPM__CORO1A,37,1,0.37
TPM__AHNAK,37,1,0.37
TPM__RIN2,35,0,0.35
METH__SLC44A2,35,1,0.35
TPM__CCDC9B,35,0,0.35
TPM__F2RL1,35,0,0.35
TPM__SNX33,35,0,0.35
TPM__BCAR1,34,1,0.34
METH__CASZ1,34,1,0.34
