feature,Selection count,Pair count,CPSS Score
TPM__HRCT1,98,48,0.98
CNV__MET,95,45,0.95
TPM__FN1,90,40,0.9
TPM__FKBP5,89,39,0.89
METH__AGXT2L2,88,38,0.88
TPM__METRN,87,37,0.87
TPM__BCL2L1,83,33,0.83
TPM__MIR3936HG,82,32,0.82
TPM__PEA15,82,32,0.82
TPM__TRNP1,80,30,0.8
TPM__TCEAL3,79,29,0.79
TPM__POLR1H,78,28,0.78
TPM__PXDC1,71,21,0.71
TPM__GPC1,71,22,0.71
TPM__PPIC,71,21,0.71
METH__BCAM,71,21,0.71
TPM__CCDC148,69,19,0.69
TPM__ANKRD1,69,19,0.69
TPM__GPRC5B,68,18,0.68
TPM__RPL10A,66,16,0.66
METH__MIER3,66,18,0.66
TPM__AGAP2,63,13,0.63
TPM__PLCL2,63,14,0.63
TPM__WFS1,62,12,0.62
METH__IFITM1,61,13,0.61
TPM__MRPS18AP1,60,12,0.6
TPM__SOX13,60,12,0.6
TPM__CORO1A-AS1,59,10,0.59
TPM__KDM2B,57,10,0.57
TPM__PDCD6IP-DT,57,9,0.57
TPM__NGLY1,55,7,0.55
TPM__GNS,54,8,0.54
TPM__ZNF503,54,7,0.54
METH__S100A4,54,7,0.54
TPM__SAMD4A,53,6,0.53
TPM__NUAK1,52,5,0.52
METH__RBM38,52,7,0.52
TPM__GPR39,52,5,0.52
TPM__TPM1,51,5,0.51
TPM__RTN4,50,3,0.5
TPM__ALCAM,50,5,0.5
TPM__SNX7,48,4,0.48
TPM__NIBAN2,48,6,0.48
METH__GCET2,48,3,0.48
TPM__ARHGAP45,48,4,0.48
TPM__PARD3B,47,6,0.47
TPM__TMEM131L,47,5,0.47
METH__LOC148709,47,4,0.47
METH__CEBPE,47,8,0.47
TPM__DNAH5,47,4,0.47
TPM__EVA1A,47,6,0.47
METH__CASZ1,46,1,0.46
TPM__SLC43A1,46,2,0.46
TPM__ITPRIPL1,46,3,0.46
TPM__RAI14,45,2,0.45
METH__FAIM3,44,3,0.44
TPM__PLPP2,44,5,0.44
TPM__RSL24D1,44,3,0.44
TPM__YAP1,44,1,0.44
METH__ABHD10,43,2,0.43
METH__NLRP14,42,2,0.42
TPM__KIF21B,42,1,0.42
TPM__ANKLE1,42,2,0.42
METH__PRRG1,42,1,0.42
METH__B2M,42,1,0.42
TPM__PTTG1IP,42,4,0.42
TPM__NUAK2,42,2,0.42
TPM__NXNL2,41,0,0.41
METH__PROCA1,40,0,0.4
TPM__LAMB1,39,2,0.39
TPM__CETN2,39,3,0.39
TPM__NHSL3,38,0,0.38
TPM__OPHN1,37,1,0.37
TPM__CCND1,37,2,0.37
TPM__DCBLD2,36,0,0.36
METH__C1orf55,36,0,0.36
METH__FAT1,36,0,0.36
TPM__ARHGEF17,36,2,0.36
METH__S1PR4,36,0,0.36
TPM__DAG1,36,3,0.36
METH__DOK3,35,0,0.35
TPM__BAIAP2,34,1,0.34
METH__MIR150,34,0,0.34
TPM__RASAL2-AS1,34,3,0.34
