feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
METH__RBL1,100,50,1.0,0.03999999910593033,0.2,0.25,True,1.0
METH__TEAD4,99,49,0.99,0.05999999865889549,-0.19,0.26,True,1.0
METH__C6orf217,99,49,0.99,0.03999999910593033,-0.21,0.28,True,1.0
METH__LRP6,98,48,0.98,0.05000000074505806,-0.2,0.25,True,1.0
METH__TIAL1,96,46,0.96,0.029999999329447746,0.18,0.25,True,0.832
METH__ANKRD10,96,46,0.96,0.029999999329447746,-0.14,0.27,True,0.832
CNV__CBL,93,43,0.93,0.019999999552965164,0.18,0.25,True,0.053
METH__LDOC1L,91,41,0.91,0.03999999910593033,-0.1,0.24,False,0.002
CNV__FGFR4,90,40,0.9,0.019999999552965164,0.22,0.26,False,0.0
CNV__KDM3B,90,40,0.9,0.03999999910593033,0.21,0.25,False,0.0
METH__SS18,89,39,0.89,0.03999999910593033,-0.14,0.26,False,0.0
CNV__PTPRT,89,39,0.89,0.029999999329447746,0.19,0.25,False,0.0
METH__KDM4D,86,36,0.86,0.03999999910593033,-0.15,0.25,False,0.0
METH__PPAPDC1B,85,35,0.85,0.019999999552965164,-0.15,0.25,False,0.0
METH__SUPT6H,84,35,0.84,0.009999999776482582,-0.09,0.24,False,0.0
CNV__UBE2D2,80,31,0.8,0.03999999910593033,0.21,0.25,False,0.0
METH__SKI,79,29,0.79,0.05000000074505806,-0.17,0.23,False,0.0
METH__JKAMP,77,27,0.77,0.03999999910593033,-0.14,0.24,False,0.0
METH__MOBKL1A,75,28,0.75,0.009999999776482582,-0.16,0.24,False,0.0
METH__DUSP6,75,25,0.75,0.009999999776482582,-0.08,0.25,False,0.0
CNV__NF1,75,25,0.75,0.019999999552965164,0.15,0.24,False,0.0
CNV__CRNKL1,74,26,0.74,0.009999999776482582,0.14,0.26,False,0.0
CNV__NSD1,74,28,0.74,0.029999999329447746,0.22,0.26,False,0.0
CNV__IRF1,74,24,0.74,0.029999999329447746,0.18,0.27,False,0.0
CNV__SUZ12,72,23,0.72,0.019999999552965164,0.16,0.24,False,0.0
CNV__SOS1,69,21,0.69,0.019999999552965164,0.15,0.23,False,0.0
CNV__STRN,69,23,0.69,0.019999999552965164,0.15,0.24,False,0.0
CNV__SGK1,68,20,0.68,0.009999999776482582,0.11,0.25,False,0.0
CNV__CDKN1A,67,21,0.67,0.0,0.06,0.24,False,0.0
CNV__PLCB4,66,21,0.66,0.009999999776482582,0.11,0.27,False,0.0
METH__KIAA1328,65,18,0.65,0.029999999329447746,-0.13,0.26,False,0.0
