feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__BCL2L1,100,50,1.0,0.1899999976158142,0.45,0.15,True,1.0
TPM__FRAT2,97,47,0.97,0.14000000059604645,-0.37,0.12,True,0.992
TPM__TMEM245,96,46,0.96,0.12999999523162842,0.37,0.08,True,0.832
TPM__SPATS2L,88,38,0.88,0.23999999463558197,0.53,0.23,False,0.0
TPM__HRCT1,87,37,0.87,0.14000000059604645,0.55,0.19,False,0.0
METH__HNRNPC,85,35,0.85,0.14000000059604645,0.34,0.2,False,0.0
TPM__BCL11A,84,34,0.84,0.14000000059604645,-0.37,0.08,False,0.0
TPM__SAMD4A,83,33,0.83,0.1899999976158142,0.46,0.14,False,0.0
TPM__PEA15,82,32,0.82,0.17000000178813934,0.43,0.12,False,0.0
TPM__FAM3C,81,31,0.81,0.15000000596046448,0.39,0.07,False,0.0
TPM__BTC,76,26,0.76,0.14000000059604645,0.47,0.2,False,0.0
TPM__NPTN,76,26,0.76,0.1599999964237213,0.45,0.15,False,0.0
TPM__FN1,69,19,0.69,0.15000000596046448,0.43,0.15,False,0.0
TPM__TNFAIP1,69,19,0.69,0.15000000596046448,0.42,0.14,False,0.0
TPM__MIR22HG,68,18,0.68,0.18000000715255737,0.47,0.22,False,0.0
TPM__RAI14,66,16,0.66,0.15000000596046448,0.42,0.12,False,0.0
TPM__SLC2A1,66,16,0.66,0.1599999964237213,0.45,0.13,False,0.0
TPM__LIMD2,63,13,0.63,0.14000000059604645,-0.42,0.16,False,0.0
TPM__PTGR1,60,11,0.6,0.14000000059604645,0.44,0.1,False,0.0
METH__C9orf150,59,9,0.59,0.15000000596046448,-0.28,0.27,False,0.002
TPM__SPSB1,59,11,0.59,0.12999999523162842,0.36,0.13,False,0.0
METH__CD1C,58,9,0.58,0.14000000059604645,-0.24,0.22,False,0.002
METH__PQLC3,58,11,0.58,0.14000000059604645,0.41,0.18,False,0.0
TPM__SH3BP4,57,11,0.57,0.17000000178813934,0.4,0.18,False,0.0
TPM__RAB37,57,13,0.57,0.12999999523162842,-0.24,0.11,False,0.0
TPM__RRAS2,57,10,0.57,0.15000000596046448,0.4,0.11,False,0.0
TPM__PMEPA1,57,10,0.57,0.1899999976158142,0.47,0.14,False,0.0
METH__RUFY1,57,10,0.57,0.12999999523162842,-0.26,0.19,False,0.0
TPM__SLC25A19,56,9,0.56,0.14000000059604645,-0.39,0.12,False,0.002
TPM__B4GALT4,56,8,0.56,0.15000000596046448,0.41,0.12,False,0.013
TPM__CLCF1,56,6,0.56,0.23000000417232513,0.54,0.15,True,0.181
TPM__SHISA4,56,7,0.56,0.18000000715255737,0.46,0.14,True,0.053
TPM__EVA1A,54,9,0.54,0.18000000715255737,0.47,0.13,False,0.002
TPM__WFDC3,54,10,0.54,0.14000000059604645,0.46,0.15,False,0.0
TPM__KIF21B,54,5,0.54,0.12999999523162842,-0.37,0.13,True,0.458
TPM__PALLD,54,9,0.54,0.12999999523162842,0.38,0.14,False,0.002
TPM__PVR,54,4,0.54,0.15000000596046448,0.48,0.13,True,0.832
TPM__LASP1,53,5,0.53,0.14000000059604645,0.46,0.18,True,0.458
TPM__KLRG1,53,5,0.53,0.15000000596046448,-0.45,0.12,True,0.458
TPM__UGCG,52,3,0.52,0.12999999523162842,0.42,0.11,True,0.992
TPM__ARMH1,52,5,0.52,0.12999999523162842,-0.24,0.09,True,0.458
TPM__KCNAB2,52,7,0.52,0.15000000596046448,-0.38,0.14,True,0.053
METH__PATL1,52,6,0.52,0.14000000059604645,-0.43,0.14,True,0.181
METH__RPS6KA1,52,8,0.52,0.14000000059604645,0.35,0.08,False,0.013
TPM__EAF2,52,6,0.52,0.15000000596046448,-0.37,0.14,True,0.181
TPM__SYNJ2,51,6,0.51,0.12999999523162842,0.42,0.12,True,0.181
TPM__ALDH3B1,51,6,0.51,0.15000000596046448,0.48,0.16,True,0.181
TPM__TGFBI,50,4,0.5,0.20999999344348907,0.53,0.17,True,0.832
METH__TMEM160,50,3,0.5,0.15000000596046448,-0.43,0.22,True,0.992
TPM__TANC1,49,6,0.49,0.14000000059604645,0.36,0.13,True,0.181
TPM__CRIM1,49,5,0.49,0.23000000417232513,0.52,0.15,True,0.458
TPM__ASPH,49,4,0.49,0.17000000178813934,0.5,0.22,True,0.832
TPM__LRRC8E,49,5,0.49,0.1599999964237213,0.44,0.19,True,0.458
TPM__WFS1,47,2,0.47,0.1599999964237213,0.37,0.1,True,1.0
TPM__P3H2,46,3,0.46,0.15000000596046448,0.47,0.17,True,0.992
TPM__ARHGAP19,46,2,0.46,0.15000000596046448,-0.45,0.19,True,1.0
TPM__FAM78A,46,4,0.46,0.23000000417232513,-0.49,0.21,True,0.832
TPM__TRG-AS1,45,5,0.45,0.14000000059604645,-0.35,0.22,True,0.458
TPM__FRAT1,45,5,0.45,0.15000000596046448,-0.36,0.09,True,0.458
TPM__CAPN2,45,3,0.45,0.18000000715255737,0.54,0.2,True,0.992
TPM__CRIM1-DT,45,1,0.45,0.20000000298023224,0.51,0.22,True,1.0
TPM__TGFA,44,3,0.44,0.17000000178813934,0.46,0.16,True,0.992
TPM__PON2,44,3,0.44,0.12999999523162842,0.43,0.14,True,0.992
TPM__PLK2,43,4,0.43,0.1899999976158142,0.49,0.14,True,0.832
TPM__AHNAK,43,2,0.43,0.15000000596046448,0.47,0.19,True,1.0
METH__NOLC1,43,4,0.43,0.12999999523162842,-0.38,0.09,True,0.832
TPM__ARHGAP4,42,3,0.42,0.14000000059604645,-0.4,0.12,True,0.992
TPM__ANKLE1,42,3,0.42,0.20000000298023224,-0.45,0.18,True,0.992
TPM__TINAGL1,41,1,0.41,0.14000000059604645,0.42,0.15,True,1.0
TPM__RASAL2-AS1,41,2,0.41,0.15000000596046448,0.45,0.16,True,1.0
TPM__DAG1,41,3,0.41,0.15000000596046448,0.41,0.14,True,0.992
TPM__NGEF,41,1,0.41,0.12999999523162842,0.44,0.16,True,1.0
TPM__AMIGO2,41,1,0.41,0.17000000178813934,0.45,0.14,True,1.0
TPM__CLDN1,41,1,0.41,0.1599999964237213,0.5,0.18,True,1.0
TPM__ARHGAP29,41,1,0.41,0.23000000417232513,0.54,0.23,True,1.0
METH__RGS1,40,2,0.4,0.1599999964237213,0.38,0.1,True,1.0
TPM__IGFBP3,39,1,0.39,0.18000000715255737,0.48,0.16,True,1.0
TPM__IER3,39,2,0.39,0.12999999523162842,0.41,0.18,True,1.0
TPM__CETN2,39,0,0.39,0.14000000059604645,0.43,0.08,False,
TPM__RPL36AP44,39,4,0.39,0.15000000596046448,0.49,0.16,True,0.832
TPM__DOCK1,39,1,0.39,0.15000000596046448,0.36,0.15,True,1.0
TPM__F3,38,6,0.38,0.15000000596046448,0.51,0.16,True,0.181
TPM__PTTG1IP,38,0,0.38,0.18000000715255737,0.49,0.19,False,
TPM__CREB3,38,1,0.38,0.15000000596046448,0.41,0.1,True,1.0
METH__YIF1B,38,1,0.38,0.14000000059604645,-0.38,0.18,True,1.0
TPM__RAPH1,37,1,0.37,0.1599999964237213,0.37,0.17,True,1.0
TPM__ADM,37,0,0.37,0.14000000059604645,0.43,0.12,False,
TPM__SNX9,37,2,0.37,0.15000000596046448,0.38,0.15,True,1.0
TPM__ITGA2,37,1,0.37,0.15000000596046448,0.48,0.18,True,1.0
METH__GHRL,37,0,0.37,0.14000000059604645,0.32,0.1,False,
TPM__MARS2,36,0,0.36,0.14000000059604645,-0.45,0.11,False,
TPM__TWF1,36,0,0.36,0.15000000596046448,0.43,0.16,False,
TPM__HVCN1,36,1,0.36,0.14000000059604645,-0.27,0.17,True,1.0
TPM__PLEC,36,1,0.36,0.18000000715255737,0.51,0.17,True,1.0
METH__MGAT1,35,1,0.35,0.14000000059604645,0.32,0.09,True,1.0
METH__CCM2,35,0,0.35,0.20000000298023224,0.41,0.24,False,
TPM__HSPG2,34,0,0.34,0.12999999523162842,0.44,0.1,False,
METH__CEBPE,34,0,0.34,0.15000000596046448,0.36,0.09,False,
TPM__CDC42EP1,33,0,0.33,0.15000000596046448,0.44,0.16,False,
TPM__CCN2,32,1,0.32,0.14000000059604645,0.45,0.11,True,1.0
TPM__CTSL,32,0,0.32,0.12999999523162842,0.41,0.11,False,
TPM__MEAK7,32,1,0.32,0.17000000178813934,0.46,0.14,True,1.0
TPM__SEC14L2,32,0,0.32,0.17000000178813934,0.44,0.19,False,
