feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
METH__THBS1,100,50,1.0,0.1599999964237213,-0.5,0.23,True,1.0
TPM__SH3RF2,100,50,1.0,0.17000000178813934,0.48,0.22,True,1.0
TPM__ANKRD1,100,50,1.0,0.15000000596046448,0.49,0.22,True,1.0
TPM__CTTN,100,50,1.0,0.1899999976158142,0.46,0.22,True,1.0
TPM__GPR39,100,50,1.0,0.2199999988079071,0.54,0.25,True,1.0
TPM__LINC01186,100,50,1.0,0.14000000059604645,0.5,0.23,True,1.0
TPM__ARHGAP29,100,50,1.0,0.23000000417232513,0.54,0.23,True,1.0
TPM__RCSD1,100,50,1.0,0.15000000596046448,-0.26,0.22,True,1.0
TPM__MET,100,50,1.0,0.25,0.55,0.25,True,1.0
TPM__GPRC5A,100,50,1.0,0.2199999988079071,0.55,0.22,True,1.0
TPM__LINC01836,100,50,1.0,0.10999999940395355,0.47,0.22,True,1.0
TPM__ASPH,100,50,1.0,0.17000000178813934,0.5,0.22,True,1.0
TPM__PERP,100,50,1.0,0.18000000715255737,0.44,0.22,True,1.0
TPM__PLCD3,100,50,1.0,0.1899999976158142,0.49,0.24,True,1.0
METH__PTPN14,100,50,1.0,0.11999999731779099,-0.41,0.26,True,1.0
TPM__MANCR,100,50,1.0,0.07999999821186066,0.49,0.21,True,1.0
TPM__SPATS2L,100,50,1.0,0.23999999463558197,0.53,0.23,True,1.0
TPM__ANXA2,100,50,1.0,0.2199999988079071,0.58,0.23,True,1.0
TPM__PRSS23,100,50,1.0,0.23999999463558197,0.55,0.25,True,1.0
TPM__EPHA2-AS1,100,50,1.0,0.15000000596046448,0.5,0.22,True,1.0
TPM__AXL,100,50,1.0,0.20000000298023224,0.53,0.24,True,1.0
TPM__ARHGAP9,100,50,1.0,0.20000000298023224,-0.45,0.21,True,1.0
TPM__SDC4,100,50,1.0,0.25,0.58,0.28,True,1.0
TPM__CRIM1-DT,100,50,1.0,0.20000000298023224,0.51,0.22,True,1.0
TPM__SH3TC2,100,50,1.0,0.10000000149011612,0.46,0.22,True,1.0
TPM__ITGA3,100,50,1.0,0.28999999165534973,0.58,0.24,True,1.0
METH__HCFC1R1,100,50,1.0,0.11999999731779099,-0.4,0.22,True,1.0
TPM__MIR142HG,100,50,1.0,0.1899999976158142,-0.3,0.24,True,1.0
TPM__CDCP1,100,50,1.0,0.17000000178813934,0.48,0.23,True,1.0
TPM__EGFR,100,50,1.0,0.2199999988079071,0.54,0.22,True,1.0
TPM__MYOF,100,50,1.0,0.23999999463558197,0.55,0.27,True,1.0
TPM__LAMB1,100,50,1.0,0.17000000178813934,0.44,0.23,True,1.0
TPM__GJB3,100,50,1.0,0.10999999940395355,0.42,0.21,True,1.0
METH__LOC100130987,100,50,1.0,0.10999999940395355,-0.45,0.21,True,1.0
TPM__AMOTL2,100,50,1.0,0.23999999463558197,0.53,0.23,True,1.0
METH__C13orf29,99,49,0.99,0.17000000178813934,-0.47,0.23,True,1.0
METH__EVL,99,49,0.99,0.17000000178813934,0.35,0.22,True,1.0
TPM__IKZF1,99,49,0.99,0.1899999976158142,-0.35,0.26,True,1.0
TPM__CLDN14-AS1,99,49,0.99,0.07000000029802322,0.39,0.22,True,1.0
