feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__GLIPR2,95,45,0.95,0.07999999821186066,-0.28,0.08,True,0.458
TPM__GOLGA8N,93,43,0.93,0.03999999910593033,-0.18,0.01,True,0.053
TPM__ADAMTS12,89,39,0.89,0.05999999865889549,-0.16,0.07,False,0.0
TPM__FN3K,88,38,0.88,0.07999999821186066,0.29,0.03,False,0.0
TPM__RFTN1,86,36,0.86,0.12999999523162842,-0.35,0.07,False,0.0
TPM__MRTFA,85,35,0.85,0.05999999865889549,-0.25,0.03,False,0.0
TPM__MMP2,85,35,0.85,0.05999999865889549,-0.18,0.1,False,0.0
TPM__MOB3A,84,34,0.84,0.09000000357627869,-0.3,0.1,False,0.0
TPM__ZNF469,84,34,0.84,0.05000000074505806,-0.19,0.07,False,0.0
TPM__NOS1AP,84,34,0.84,0.07999999821186066,0.29,0.09,False,0.0
TPM__STK32A,83,33,0.83,0.05000000074505806,0.17,0.07,False,0.0
TPM__TNF,83,33,0.83,0.05000000074505806,-0.19,0.12,False,0.0
TPM__BTN3A1,83,33,0.83,0.05000000074505806,-0.22,0.02,False,0.0
TPM__DYNLL2,82,32,0.82,0.05999999865889549,0.25,0.07,False,0.0
TPM__ATP10D,75,25,0.75,0.05999999865889549,-0.24,0.02,False,0.0
TPM__SYBU,72,23,0.72,0.05000000074505806,0.23,0.01,False,0.0
METH__SCT,71,21,0.71,0.03999999910593033,0.21,0.06,False,0.0
TPM__KRT8P10,67,17,0.67,0.05999999865889549,0.2,0.11,False,0.0
METH__ITGAE,67,17,0.67,0.07000000029802322,0.24,0.11,False,0.0
TPM__RPL18A,66,16,0.66,0.03999999910593033,-0.22,0.06,False,0.0
TPM__EEIG1,66,16,0.66,0.05000000074505806,0.24,0.06,False,0.0
TPM__HOOK1,65,17,0.65,0.05000000074505806,0.23,0.03,False,0.0
TPM__APOD,65,15,0.65,0.05999999865889549,0.25,0.06,False,0.0
METH__C10orf91,63,14,0.63,0.09000000357627869,0.29,0.05,False,0.0
METH__RFX8,63,13,0.63,0.03999999910593033,0.22,0.09,False,0.0
TPM__PDE9A,60,11,0.6,0.05000000074505806,0.21,0.03,False,0.0
METH__SERPINE1,59,11,0.59,0.05999999865889549,0.27,0.07,False,0.0
METH__LOC100270710,59,10,0.59,0.05000000074505806,-0.24,0.04,False,0.0
TPM__FCHSD2,58,9,0.58,0.05999999865889549,-0.24,0.07,False,0.002
TPM__TNFAIP8,58,10,0.58,0.09000000357627869,-0.3,0.07,False,0.0
TPM__ATP6V0E2,57,8,0.57,0.05000000074505806,0.24,0.05,False,0.013
METH__PIP5K1A,56,8,0.56,0.05000000074505806,-0.23,0.07,False,0.013
METH__C19orf35,56,8,0.56,0.07000000029802322,0.26,0.04,False,0.013
TPM__HOXB-AS3,55,10,0.55,0.05000000074505806,0.22,0.09,False,0.0
TPM__RPL10A,55,9,0.55,0.03999999910593033,-0.21,0.01,False,0.002
TPM__CKMT1A,54,6,0.54,0.05999999865889549,0.25,0.05,True,0.181
METH__KRTAP5-1,54,6,0.54,0.05000000074505806,0.25,0.06,True,0.181
TPM__ACTG1P25,54,9,0.54,0.05999999865889549,0.26,0.04,False,0.002
TPM__PIP4K2C,54,7,0.54,0.07000000029802322,0.29,0.05,True,0.053
TPM__ABRAXAS1,53,7,0.53,0.05000000074505806,-0.23,0.03,True,0.053
