feature,Selection count,Pair count,CPSS Score
TPM__GLIPR2,95,45,0.95
TPM__GOLGA8N,93,43,0.93
TPM__ADAMTS12,89,39,0.89
TPM__FN3K,88,38,0.88
TPM__RFTN1,86,36,0.86
TPM__MMP2,85,35,0.85
TPM__MRTFA,85,35,0.85
TPM__MOB3A,84,34,0.84
TPM__ZNF469,84,34,0.84
TPM__NOS1AP,84,34,0.84
TPM__STK32A,83,33,0.83
TPM__TNF,83,33,0.83
TPM__BTN3A1,83,33,0.83
TPM__DYNLL2,82,32,0.82
TPM__ATP10D,75,25,0.75
TPM__SYBU,72,23,0.72
METH__SCT,71,21,0.71
METH__ITGAE,67,17,0.67
TPM__KRT8P10,67,17,0.67
TPM__RPL18A,66,16,0.66
TPM__EEIG1,66,16,0.66
TPM__HOOK1,65,17,0.65
TPM__APOD,65,15,0.65
METH__C10orf91,63,14,0.63
METH__RFX8,63,13,0.63
TPM__PDE9A,60,11,0.6
METH__SERPINE1,59,11,0.59
METH__LOC100270710,59,10,0.59
TPM__FCHSD2,58,9,0.58
TPM__TNFAIP8,58,10,0.58
TPM__ATP6V0E2,57,8,0.57
METH__C19orf35,56,8,0.56
METH__PIP5K1A,56,8,0.56
TPM__HOXB-AS3,55,10,0.55
TPM__RPL10A,55,9,0.55
TPM__CKMT1A,54,6,0.54
METH__KRTAP5-1,54,6,0.54
TPM__ACTG1P25,54,9,0.54
TPM__PIP4K2C,54,7,0.54
TPM__ABRAXAS1,53,7,0.53
TPM__ICA1,51,4,0.51
METH__ATP6V1G1,51,5,0.51
TPM__ATG9B,51,8,0.51
TPM__DUSP7,50,6,0.5
TPM__INSYN2B,50,5,0.5
TPM__RUNX2,50,5,0.5
METH__C4orf45,50,5,0.5
METH__PTAFR,49,5,0.49
TPM__MANEAL,49,4,0.49
TPM__ANXA9,49,7,0.49
TPM__CLDN3,49,5,0.49
TPM__FA2H,48,4,0.48
TPM__ATP7B,47,5,0.47
