feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
METH__PSCA,90,40,0.9,0.07999999821186066,0.26,0.0,False,0.0
TPM__SERPINE2,86,36,0.86,0.12999999523162842,0.38,0.13,False,0.0
TPM__FRAT2,85,35,0.85,0.11999999731779099,-0.37,0.11,False,0.0
TPM__ENG,83,33,0.83,0.09000000357627869,0.32,0.07,False,0.0
TPM__MGLL,79,29,0.79,0.10000000149011612,0.33,0.08,False,0.0
TPM__RASAL2-AS1,76,27,0.76,0.12999999523162842,0.38,0.09,False,0.0
TPM__RAI14,75,25,0.75,0.09000000357627869,0.32,0.16,False,0.0
TPM__GALNT10,75,25,0.75,0.07999999821186066,0.29,0.09,False,0.0
TPM__LHFPL2,74,24,0.74,0.12999999523162842,0.35,0.14,False,0.0
TPM__BTNL12P,70,20,0.7,0.10999999940395355,0.36,0.04,False,0.0
TPM__INPP4B,70,20,0.7,0.07999999821186066,0.32,0.05,False,0.0
TPM__CD109,69,19,0.69,0.17000000178813934,0.42,0.11,False,0.0
TPM__INSYN2B,66,19,0.66,0.10999999940395355,0.32,0.17,False,0.0
TPM__ARMC9,65,16,0.65,0.10000000149011612,0.31,0.1,False,0.0
TPM__SLC2A1,64,15,0.64,0.09000000357627869,0.33,0.03,False,0.0
TPM__SLC16A3,63,14,0.63,0.10999999940395355,0.34,0.07,False,0.0
TPM__FBXL2,63,14,0.63,0.09000000357627869,0.3,0.02,False,0.0
TPM__MOK,61,11,0.61,0.10999999940395355,0.33,0.03,False,0.0
TPM__COL8A1,61,12,0.61,0.14000000059604645,0.39,0.12,False,0.0
TPM__RASA1,61,12,0.61,0.09000000357627869,0.3,0.05,False,0.0
TPM__ALCAM,60,10,0.6,0.09000000357627869,0.31,0.09,False,0.0
TPM__MIR100HG,58,10,0.58,0.1599999964237213,0.41,0.14,False,0.0
TPM__HMGN1P3,57,8,0.57,0.11999999731779099,0.37,0.1,False,0.013
METH__LOC91450,56,10,0.56,0.10000000149011612,-0.31,0.06,False,0.0
TPM__QSOX1,56,9,0.56,0.12999999523162842,0.37,0.11,False,0.002
TPM__TAX1BP3,55,8,0.55,0.09000000357627869,0.33,0.11,False,0.013
TPM__MYEOV,53,6,0.53,0.10000000149011612,0.35,0.11,True,0.181
METH__CDH17,53,9,0.53,0.09000000357627869,0.31,0.13,False,0.002
TPM__BTBD19,52,6,0.52,0.11999999731779099,0.35,0.15,True,0.181
TPM__OSMR,52,7,0.52,0.10999999940395355,0.34,0.08,True,0.053
TPM__PXDC1,51,4,0.51,0.10000000149011612,0.33,0.09,True,0.832
TPM__FRMD5,50,4,0.5,0.10000000149011612,0.32,0.06,True,0.832
TPM__TPBG,49,3,0.49,0.10000000149011612,0.33,0.09,True,0.992
TPM__NNMT,49,2,0.49,0.09000000357627869,0.34,0.11,True,1.0
METH__BLID,48,6,0.48,0.12999999523162842,0.36,0.09,True,0.181
TPM__P3H2,48,2,0.48,0.09000000357627869,0.34,0.04,True,1.0
TPM__PKM,48,4,0.48,0.11999999731779099,0.35,0.1,True,0.832
TPM__HSPG2,48,5,0.48,0.11999999731779099,0.35,0.03,True,0.458
METH__SNORA71B,47,3,0.47,0.09000000357627869,-0.31,0.09,True,0.992
TPM__DUSP14,46,5,0.46,0.09000000357627869,0.31,0.08,True,0.458
TPM__FSCN1,46,3,0.46,0.09000000357627869,0.27,0.0,True,0.992
METH__LOC100126784,44,3,0.44,0.10999999940395355,-0.34,0.04,True,0.992
TPM__MSANTD3,44,3,0.44,0.10000000149011612,0.33,0.06,True,0.992
TPM__PSG5,42,4,0.42,0.09000000357627869,0.38,0.18,True,0.832
TPM__MIR22HG,41,1,0.41,0.09000000357627869,0.33,0.1,True,1.0
