feature,Selection count,Pair count,CPSS Score
TPM__BCL2L1,100,50,1.0
TPM__AOPEP,91,41,0.91
METH__HCG22,88,38,0.88
TPM__ELMO1,83,33,0.83
TPM__MATN3,81,31,0.81
TPM__NXNL2,79,29,0.79
METH__SRRM2,78,28,0.78
TPM__GAS6,77,27,0.77
METH__C7orf23,77,27,0.77
METH__LOC100188949,74,24,0.74
METH__ZNF214,69,19,0.69
METH__LOC100130776,68,19,0.68
METH__MATN3,66,16,0.66
TPM__MFNG,62,13,0.62
TPM__CRIM1-DT,61,12,0.61
METH__NCRNA00203,61,13,0.61
TPM__CLCF1,60,12,0.6
TPM__CETN2,57,8,0.57
TPM__NPTN,57,8,0.57
TPM__TNFAIP1,56,7,0.56
TPM__SUMF1,56,10,0.56
TPM__PARVA,54,10,0.54
TPM__PLAAT3,52,5,0.52
TPM__SH3BP4,51,5,0.51
METH__FEZF1,51,5,0.51
METH__CDC42EP1,50,5,0.5
METH__LAMB1,50,6,0.5
METH__LOC148709,50,2,0.5
TPM__MID1,48,5,0.48
TPM__TRG-AS1,48,4,0.48
TPM__MID2,47,3,0.47
TPM__FCHO2,46,3,0.46
TPM__NGEF,46,3,0.46
METH__BOK,46,4,0.46
TPM__AGRN,46,3,0.46
METH__GOLSYN,46,5,0.46
METH__SNX7,45,3,0.45
TPM__CDR2L,44,2,0.44
METH__LOC100130987,44,4,0.44
METH__MGAT1,43,0,0.43
TPM__AHNAK2,43,2,0.43
TPM__KRT8P3,43,1,0.43
TPM__CARD10,42,1,0.42
METH__AMOTL2,41,2,0.41
TPM__ARSD,41,0,0.41
TPM__CHMP3,41,1,0.41
TPM__FBLIM1,41,2,0.41
TPM__TUFT1,40,1,0.4
METH__ABHD10,40,2,0.4
TPM__BCL9L,40,2,0.4
TPM__CTSD,39,1,0.39
TPM__ARHGAP30,39,1,0.39
TPM__SEPTIN10,39,1,0.39
TPM__PDCD6IP-DT,39,1,0.39
TPM__SHB,39,1,0.39
TPM__PLK2,39,0,0.39
TPM__THSD4,38,0,0.38
METH__FOXQ1,38,0,0.38
TPM__FAM114A1,38,0,0.38
TPM__PVR,37,1,0.37
TPM__TPBG,37,1,0.37
METH__PCDP1,37,1,0.37
TPM__ARHGEF28,37,0,0.37
TPM__IGFBP6,37,1,0.37
TPM__PXN,37,1,0.37
TPM__APLP2,37,3,0.37
METH__GPRC5A,37,1,0.37
TPM__CUEDC1,36,1,0.36
TPM__FERMT3,36,0,0.36
TPM__TNFAIP2,34,2,0.34
METH__ARHGEF10,34,0,0.34
TPM__GPR39,33,0,0.33
METH__EIF3K,33,1,0.33
TPM__DAG1,33,1,0.33
TPM__NT5E,33,1,0.33
METH__MPZL2,33,2,0.33
TPM__IL13RA1,32,3,0.32
TPM__SNX33,32,1,0.32
TPM__CNN3,32,1,0.32
METH__KITLG,31,0,0.31
TPM__CAVIN1,31,0,0.31
TPM__CTNND1,31,0,0.31
TPM__EPHA2-AS1,31,0,0.31
TPM__IQCJ-SCHIP1,30,0,0.3
METH__RHOBTB1,30,1,0.3
TPM__ATP8B1,30,2,0.3
TPM__DCBLD2,30,0,0.3
TPM__KBTBD8,30,3,0.3
TPM__LASP1,29,3,0.29
TPM__PLPP2,29,0,0.29
TPM__HSPG2,29,0,0.29
TPM__TOM1L1,29,0,0.29
TPM__IL16,28,0,0.28
METH__CCDC88B,28,0,0.28
METH__FAT1,28,0,0.28
TPM__AJUBA,28,0,0.28
TPM__GFI1,27,0,0.27
TPM__SNX21,27,0,0.27
TPM__IQSEC2,26,0,0.26
TPM__SMAP2,26,6,0.26
METH__ITGA2,26,0,0.26
TPM__MET,26,0,0.26
METH__RGNEF,26,0,0.26
TPM__FLNB,25,0,0.25
TPM__GIPC1,24,0,0.24
METH__GNMT,24,1,0.24
TPM__SEMA3C,24,1,0.24
METH__LOC144571,24,2,0.24
TPM__AGAP2,24,1,0.24
TPM__PPP1R14B-AS1,24,2,0.24
METH__RASSF1,24,3,0.24
TPM__MGAT4B,23,4,0.23
TPM__PERP,23,0,0.23
TPM__MALL,23,9,0.23
TPM__PON2,23,1,0.23
TPM__ATP1B1,23,0,0.23
METH__INTU,23,0,0.23
TPM__TAX1BP3,23,0,0.23
METH__RHEB,22,0,0.22
METH__INPP5D,22,1,0.22
METH__CDKN2D,22,1,0.22
TPM__PTGR1,22,3,0.22
TPM__RASSF7,22,4,0.22
TPM__NTN4,22,6,0.22
TPM__NQO1,22,0,0.22
TPM__GPRC5A,22,0,0.22
TPM__PPL,22,0,0.22
METH__ANKRD44,21,1,0.21
TPM__LAPTM4A,21,0,0.21
METH__MAGI1,21,0,0.21
TPM__GNG12,21,0,0.21
