feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue,threshold_type,threshold_value,above_threshold
TPM__BCAR1,100,50,1.0,0.2199999988079071,0.46,0.19,True,1.0,unimodal,0.71,True
METH__PPIC,100,50,1.0,0.1899999976158142,-0.34,0.19,True,1.0,unimodal,0.71,True
TPM__MANCR,100,50,1.0,0.05999999865889549,0.36,0.19,True,1.0,unimodal,0.71,True
TPM__NCKAP1L,100,50,1.0,0.1899999976158142,-0.33,0.22,True,1.0,unimodal,0.71,True
TPM__GPX8,100,50,1.0,0.1599999964237213,0.39,0.2,True,1.0,unimodal,0.71,True
METH__C9orf150,100,50,1.0,0.1599999964237213,-0.27,0.22,True,1.0,unimodal,0.71,True
TPM__BMS1P23,100,50,1.0,0.12999999523162842,0.38,0.2,True,1.0,unimodal,0.71,True
TPM__IL12RB1,100,50,1.0,0.14000000059604645,-0.26,0.2,True,1.0,unimodal,0.71,True
METH__DSTN,100,50,1.0,0.1899999976158142,-0.3,0.19,True,1.0,unimodal,0.71,True
METH__PTPN14,100,50,1.0,0.17000000178813934,-0.35,0.22,True,1.0,unimodal,0.71,True
TPM__SLC66A1LP,100,50,1.0,0.07000000029802322,0.37,0.22,True,1.0,unimodal,0.71,True
METH__PRSS48,100,50,1.0,0.15000000596046448,0.38,0.18,True,1.0,unimodal,0.71,True
TPM__WAS,100,50,1.0,0.20000000298023224,-0.35,0.19,True,1.0,unimodal,0.71,True
TPM__ZBTB45P2,100,50,1.0,0.10999999940395355,0.36,0.2,True,1.0,unimodal,0.71,True
METH__CYR61,100,50,1.0,0.1899999976158142,-0.4,0.19,True,1.0,unimodal,0.71,True
TPM__ERBB2,100,50,1.0,0.1599999964237213,0.44,0.19,True,1.0,unimodal,0.71,True
TPM__LINC00857,100,50,1.0,0.18000000715255737,0.43,0.23,True,1.0,unimodal,0.71,True
METH__SGEF,100,50,1.0,0.10000000149011612,-0.31,0.21,True,1.0,unimodal,0.71,True
METH__DDAH1,100,50,1.0,0.23000000417232513,-0.43,0.27,True,1.0,unimodal,0.71,True
TPM__HRCT1,100,50,1.0,0.10999999940395355,0.45,0.2,True,1.0,unimodal,0.71,True
METH__GPX8,100,50,1.0,0.12999999523162842,-0.25,0.25,True,1.0,unimodal,0.71,True
TPM__LINC01836,100,50,1.0,0.15000000596046448,0.45,0.22,True,1.0,unimodal,0.71,True
TPM__TAX1BP3,100,50,1.0,0.17000000178813934,0.44,0.2,True,1.0,unimodal,0.71,True
TPM__PDE1B,100,50,1.0,0.1599999964237213,-0.34,0.22,True,1.0,unimodal,0.71,True
TPM__MATN3,100,50,1.0,0.15000000596046448,0.47,0.19,True,1.0,unimodal,0.71,True
TPM__IRAG2,100,50,1.0,0.15000000596046448,-0.27,0.2,True,1.0,unimodal,0.71,True
TPM__EPHA2-AS1,100,50,1.0,0.15000000596046448,0.46,0.22,True,1.0,unimodal,0.71,True
METH__FAM47E,100,50,1.0,0.17000000178813934,-0.33,0.2,True,1.0,unimodal,0.71,True
TPM__SH3D19,100,50,1.0,0.1899999976158142,0.41,0.21,True,1.0,unimodal,0.71,True
METH__CCDC12,99,49,0.99,0.14000000059604645,-0.31,0.2,True,1.0,unimodal,0.71,True
METH__TRIM3,97,47,0.97,0.14000000059604645,-0.31,0.19,True,0.992,unimodal,0.71,True
METH__NUDT16,97,47,0.97,0.12999999523162842,-0.34,0.19,True,0.992,unimodal,0.71,True
METH__WDR93,97,47,0.97,0.11999999731779099,-0.28,0.21,True,0.992,unimodal,0.71,True
TPM__CGB8,97,47,0.97,0.05000000074505806,0.3,0.21,True,0.992,unimodal,0.71,True
METH__TIMM8B,96,46,0.96,0.009999999776482582,0.06,0.22,True,0.832,unimodal,0.71,True
CNV__DDX6,94,44,0.94,0.05000000074505806,0.25,0.19,True,0.181,unimodal,0.71,True
METH__TEAD4,93,43,0.93,0.11999999731779099,-0.25,0.2,True,0.053,unimodal,0.71,True
METH__ADAMTSL4,90,40,0.9,0.10000000149011612,-0.26,0.2,False,0.0,worst_case,0.8940058479532164,True
