feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue,threshold_type,threshold_value,above_threshold
METH__C10orf75,100,50,1.0,0.07000000029802322,-0.23,0.17,True,1.0,unimodal,0.71,True
TPM__SLCO1B3,100,50,1.0,0.03999999910593033,0.26,0.18,True,1.0,unimodal,0.71,True
METH__FAM114A1,100,50,1.0,0.10999999940395355,-0.34,0.19,True,1.0,unimodal,0.71,True
METH__GNPNAT1,100,50,1.0,0.12999999523162842,-0.25,0.17,True,1.0,unimodal,0.71,True
TPM__SLFN11,100,50,1.0,0.2199999988079071,-0.44,0.2,True,1.0,unimodal,0.71,True
METH__C14orf147,100,50,1.0,0.05999999865889549,-0.2,0.17,True,1.0,unimodal,0.71,True
TPM__ITPRIPL1,100,50,1.0,0.18000000715255737,-0.38,0.2,True,1.0,unimodal,0.71,True
METH__LCA5,100,50,1.0,0.12999999523162842,-0.21,0.17,True,1.0,unimodal,0.71,True
METH__MIR574,100,50,1.0,0.10999999940395355,-0.34,0.17,True,1.0,unimodal,0.71,True
METH__SNX33,99,49,0.99,0.05000000074505806,-0.25,0.18,True,1.0,unimodal,0.71,True
METH__EIF4E,99,49,0.99,0.07999999821186066,-0.21,0.18,True,1.0,unimodal,0.71,True
METH__TEAD4,99,49,0.99,0.05999999865889549,-0.22,0.17,True,1.0,unimodal,0.71,True
METH__PCCA,97,47,0.97,0.05000000074505806,-0.25,0.18,True,0.992,unimodal,0.71,True
METH__CCNB1,97,47,0.97,0.07999999821186066,-0.12,0.2,True,0.992,unimodal,0.71,True
CNV__NFATC2,96,46,0.96,0.07999999821186066,0.28,0.16,True,0.832,unimodal,0.71,True
METH__RPS6KA4,95,45,0.95,0.03999999910593033,-0.18,0.19,True,0.458,unimodal,0.71,True
METH__TMEM150A,94,44,0.94,0.029999999329447746,-0.21,0.2,True,0.181,unimodal,0.71,True
TPM__IGLV5-52,93,43,0.93,0.03999999910593033,-0.14,0.17,True,0.053,unimodal,0.71,True
METH__EFNA5,92,42,0.92,0.07999999821186066,-0.23,0.17,False,0.013,worst_case,0.8926380368098159,True
METH__BPNT1,92,42,0.92,0.05999999865889549,-0.12,0.18,False,0.013,worst_case,0.8926380368098159,True
METH__EAF2,91,41,0.91,0.029999999329447746,0.16,0.17,False,0.002,worst_case,0.8926380368098159,True
METH__PPAPDC1B,91,41,0.91,0.029999999329447746,-0.19,0.17,False,0.002,worst_case,0.8926380368098159,True
METH__ACTN1,91,41,0.91,0.07999999821186066,-0.23,0.18,False,0.002,worst_case,0.8926380368098159,True
CNV__LPP,90,40,0.9,0.05999999865889549,0.25,0.16,False,0.0,worst_case,0.8926380368098159,True
