feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
TPM__BCL2L1,99,49,0.99,0.10999999940395355,0.33,0.13,True,1.0
TPM__HASPIN,96,46,0.96,0.10000000149011612,-0.3,0.02,True,0.832
TPM__TBC1D9,95,45,0.95,0.11999999731779099,0.32,0.04,True,0.458
TPM__EVA1A,86,36,0.86,0.17000000178813934,0.41,0.18,False,0.0
TPM__MID2,85,35,0.85,0.11999999731779099,0.34,0.11,False,0.0
TPM__RASAL2-AS1,81,31,0.81,0.10999999940395355,0.37,0.12,False,0.0
TPM__NPAS2,79,29,0.79,0.10999999940395355,0.35,0.11,False,0.0
METH__HCG22,79,29,0.79,0.10000000149011612,0.31,0.08,False,0.0
METH__MIR150,73,23,0.73,0.10000000149011612,0.29,0.04,False,0.0
TPM__MRPS18AP1,72,22,0.72,0.10999999940395355,-0.32,0.06,False,0.0
TPM__F2RL1,71,21,0.71,0.10000000149011612,0.34,0.07,False,0.0
TPM__USP38-DT,70,20,0.7,0.10000000149011612,-0.27,0.07,False,0.0
TPM__SERTAD4-AS1,69,19,0.69,0.14000000059604645,0.38,0.13,False,0.0
TPM__KRT80,69,19,0.69,0.10000000149011612,0.33,0.08,False,0.0
METH__RAI14,65,15,0.65,0.11999999731779099,-0.33,0.12,False,0.0
TPM__ARHGEF28,65,15,0.65,0.10000000149011612,0.32,0.09,False,0.0
METH__FERMT3,64,14,0.64,0.12999999523162842,0.33,0.11,False,0.0
TPM__CUEDC1,64,14,0.64,0.17000000178813934,0.4,0.11,False,0.0
TPM__SEC14L2,63,14,0.63,0.10999999940395355,0.32,0.11,False,0.0
METH__NLRP14,62,17,0.62,0.11999999731779099,-0.32,0.12,False,0.0
METH__WWTR1,62,13,0.62,0.10000000149011612,-0.25,0.16,False,0.0
TPM__DOCK1,61,12,0.61,0.10000000149011612,0.25,0.09,False,0.0
TPM__ANKRD1,60,10,0.6,0.10000000149011612,0.35,0.14,False,0.0
METH__YOD1,60,12,0.6,0.14000000059604645,-0.35,0.14,False,0.0
TPM__BCL11A,59,10,0.59,0.10000000149011612,-0.28,0.05,False,0.0
TPM__SNHG1,58,9,0.58,0.10000000149011612,-0.3,0.07,False,0.002
METH__GPD2,57,8,0.57,0.11999999731779099,-0.31,0.08,False,0.013
TPM__RPS15A,57,10,0.57,0.10000000149011612,-0.34,0.06,False,0.0
TPM__ARHGAP45,57,8,0.57,0.10000000149011612,-0.27,0.11,False,0.013
TPM__ITGAV,56,7,0.56,0.10999999940395355,0.34,0.1,True,0.053
TPM__WWC2,56,8,0.56,0.10000000149011612,0.28,0.09,False,0.013
TPM__RPL10A,56,12,0.56,0.11999999731779099,-0.36,0.11,False,0.0
TPM__ADAT2,56,10,0.56,0.10000000149011612,-0.32,0.09,False,0.0
TPM__TBC1D10C,55,8,0.55,0.10000000149011612,-0.22,0.09,False,0.013
TPM__FCHO2,52,5,0.52,0.14000000059604645,0.33,0.07,True,0.458
METH__SPATS2L,52,9,0.52,0.10000000149011612,-0.29,0.07,False,0.002
METH__TBC1D9,50,5,0.5,0.10000000149011612,-0.27,0.15,True,0.458
TPM__FN1,49,2,0.49,0.10999999940395355,0.35,0.05,True,1.0
TPM__RAPH1,48,7,0.48,0.11999999731779099,0.33,0.1,True,0.053
TPM__RFXAP,48,4,0.48,0.10999999940395355,-0.31,0.07,True,0.832
TPM__TAF4B,47,4,0.47,0.10999999940395355,-0.33,0.06,True,0.832
TPM__HOXA-AS2,47,3,0.47,0.10000000149011612,0.31,0.07,True,0.992
TPM__ARSJ,47,5,0.47,0.14000000059604645,0.41,0.14,True,0.458
METH__RAB27B,47,5,0.47,0.10000000149011612,-0.29,0.16,True,0.458
TPM__MLPH,47,4,0.47,0.10000000149011612,0.34,0.17,True,0.832
TPM__PRXL2C,47,7,0.47,0.09000000357627869,0.28,0.01,True,0.053
TPM__TRAF3IP3,46,7,0.46,0.15000000596046448,-0.33,0.14,True,0.053
TPM__SLC4A3,46,2,0.46,0.11999999731779099,0.35,0.12,True,1.0
TPM__EXT1,45,2,0.45,0.10000000149011612,0.31,0.06,True,1.0
TPM__GIPC1,45,4,0.45,0.10999999940395355,0.35,0.06,True,0.832
TPM__NAV2,45,3,0.45,0.10999999940395355,0.35,0.08,True,0.992
TPM__NHSL3,44,1,0.44,0.10999999940395355,0.29,0.09,True,1.0
TPM__GULP1,44,1,0.44,0.11999999731779099,0.35,0.1,True,1.0
METH__CCDC12,43,3,0.43,0.10999999940395355,-0.27,0.17,True,0.992
TPM__OPHN1,43,1,0.43,0.10000000149011612,0.32,0.07,True,1.0
METH__LAPTM4A,43,3,0.43,0.10999999940395355,-0.28,0.25,True,0.992
TPM__SEMA3C,42,0,0.42,0.10000000149011612,0.32,0.09,False,
TPM__UACA,41,0,0.41,0.11999999731779099,0.33,0.11,False,
TPM__RPS18,41,2,0.41,0.10000000149011612,-0.32,0.11,True,1.0
METH__TERF1,41,2,0.41,0.10999999940395355,-0.3,0.13,True,1.0
TPM__IL9R,41,3,0.41,0.09000000357627869,-0.31,0.11,True,0.992
TPM__TRNP1,41,2,0.41,0.12999999523162842,0.35,0.16,True,1.0
TPM__CDCP1,40,1,0.4,0.10999999940395355,0.36,0.11,True,1.0
TPM__PEA15,40,0,0.4,0.10999999940395355,0.34,0.05,False,
METH__FAIM3,40,4,0.4,0.10000000149011612,0.3,0.08,True,0.832
METH__SSH3,40,1,0.4,0.10000000149011612,-0.25,0.12,True,1.0
TPM__TPM1,40,0,0.4,0.14000000059604645,0.37,0.13,False,
TPM__LAMB1,40,2,0.4,0.11999999731779099,0.34,0.08,True,1.0
METH__SHISA4,39,3,0.39,0.10000000149011612,-0.3,0.07,True,0.992
TPM__ZNF503,39,1,0.39,0.10000000149011612,0.32,0.09,True,1.0
TPM__PTPN22,39,1,0.39,0.10000000149011612,-0.21,0.04,True,1.0
TPM__RGL3,39,6,0.39,0.10999999940395355,0.34,0.1,True,0.181
TPM__MGAT4B,38,1,0.38,0.10000000149011612,0.35,0.07,True,1.0
TPM__THAP10,38,1,0.38,0.10000000149011612,0.28,0.06,True,1.0
METH__TSPAN12,38,1,0.38,0.10000000149011612,-0.29,0.08,True,1.0
TPM__LIF-AS2,38,2,0.38,0.10000000149011612,0.36,0.1,True,1.0
METH__MOSC2,38,3,0.38,0.10999999940395355,-0.3,0.08,True,0.992
METH__RHEB,38,3,0.38,0.10000000149011612,-0.31,0.07,True,0.992
TPM__RASGRP2,37,2,0.37,0.10999999940395355,-0.27,0.1,True,1.0
TPM__THBS1,36,0,0.36,0.12999999523162842,0.38,0.15,False,
TPM__CD59,36,0,0.36,0.10000000149011612,0.33,0.1,False,
TPM__IL6ST,36,4,0.36,0.10000000149011612,0.33,0.05,True,0.832
METH__BIN2,35,1,0.35,0.10999999940395355,0.26,0.1,True,1.0
TPM__NUAK1,35,0,0.35,0.11999999731779099,0.36,0.16,False,
TPM__TAF5,35,0,0.35,0.10000000149011612,-0.3,0.06,False,
TPM__SPATS2L,35,0,0.35,0.14000000059604645,0.38,0.13,False,
TPM__CRIP2,35,1,0.35,0.10999999940395355,0.31,0.07,True,1.0
METH__PROCA1,34,2,0.34,0.10999999940395355,0.31,0.1,True,1.0
TPM__KDM2B,34,1,0.34,0.10999999940395355,-0.34,0.09,True,1.0
TPM__IRAG2,34,1,0.34,0.14000000059604645,-0.29,0.14,True,1.0
TPM__NPTN,34,0,0.34,0.09000000357627869,0.34,0.08,False,
TPM__CLCF1,33,0,0.33,0.12999999523162842,0.36,0.07,False,
METH__EIF3K,33,0,0.33,0.12999999523162842,0.32,0.18,False,
METH__C1orf55,33,2,0.33,0.11999999731779099,0.3,0.09,True,1.0
METH__GAS2L3,33,0,0.33,0.10999999940395355,-0.27,0.1,False,
TPM__ENC1,33,2,0.33,0.10999999940395355,0.32,0.1,True,1.0
TPM__TNFAIP1,33,2,0.33,0.10999999940395355,0.36,0.08,True,1.0
TPM__CCDC9B,33,1,0.33,0.10999999940395355,0.33,0.09,True,1.0
TPM__MANBAL,32,0,0.32,0.11999999731779099,0.32,0.13,False,
TPM__TMEM51,32,0,0.32,0.11999999731779099,0.32,0.11,False,
TPM__RTN4,32,0,0.32,0.10999999940395355,0.37,0.11,False,
TPM__SHB,32,0,0.32,0.10999999940395355,0.33,0.11,False,
TPM__ABLIM3,32,1,0.32,0.10999999940395355,0.37,0.13,True,1.0
TPM__S100A13,32,1,0.32,0.12999999523162842,0.36,0.08,True,1.0
