feature,selection_count,pair_count,cpss_score,r2,spearman,mutual_info,unimodal,diptest_pvalue
METH__NRP1,100,50,1.0,0.10000000149011612,-0.28,0.26,True,1.0
METH__PTGR2,100,50,1.0,0.05999999865889549,-0.24,0.26,True,1.0
METH__AGPHD1,100,50,1.0,0.03999999910593033,-0.17,0.24,True,1.0
METH__ABCD3,100,50,1.0,0.05999999865889549,-0.2,0.24,True,1.0
TPM__PIK3CG,100,50,1.0,0.12999999523162842,-0.2,0.25,True,1.0
METH__ZNF697,100,50,1.0,0.10000000149011612,-0.18,0.25,True,1.0
METH__LAPTM4A,100,50,1.0,0.10999999940395355,-0.28,0.25,True,1.0
METH__RAPH1,99,49,0.99,0.05000000074505806,-0.17,0.23,True,1.0
METH__KDSR,97,47,0.97,0.03999999910593033,-0.07,0.24,True,0.992
METH__ATP6V1D,96,46,0.96,0.05999999865889549,-0.2,0.26,True,0.832
METH__GPN3,94,44,0.94,0.03999999910593033,0.21,0.28,True,0.181
METH__BHLHE41,94,44,0.94,0.03999999910593033,-0.11,0.22,True,0.181
CNV__HOXA9,86,36,0.86,0.03999999910593033,0.18,0.23,False,0.0
METH__ERI2,84,34,0.84,0.05000000074505806,-0.12,0.23,False,0.0
METH__MFAP3,84,34,0.84,0.019999999552965164,-0.12,0.24,False,0.0
CNV__NT5C3A,78,28,0.78,0.029999999329447746,0.18,0.26,False,0.0
CNV__NBEA,76,30,0.76,0.0,0.0,0.23,False,0.0
CNV__CCNB1IP1,73,24,0.73,0.019999999552965164,0.17,0.24,False,0.0
CNV__CLTC,72,23,0.72,0.029999999329447746,0.17,0.26,False,0.0
CNV__PPM1D,71,22,0.71,0.009999999776482582,0.17,0.24,False,0.0
CNV__JAK2,71,23,0.71,0.0,0.0,0.24,False,0.0
CNV__UGT2B17,70,24,0.7,0.0,0.04,0.26,False,0.0
METH__ZFAND5,69,20,0.69,0.019999999552965164,-0.07,0.24,False,0.0
METH__BLZF1,69,22,0.69,0.0,-0.02,0.23,False,0.0
METH__C6orf106,69,19,0.69,0.0,-0.04,0.24,False,0.0
METH__GNAZ,68,21,0.68,0.019999999552965164,-0.13,0.26,False,0.0
METH__ZNF571,66,18,0.66,0.019999999552965164,-0.17,0.23,False,0.0
CNV__MAML2,65,17,0.65,0.029999999329447746,0.15,0.24,False,0.0
METH__TIAL1,65,20,0.65,0.029999999329447746,0.17,0.25,False,0.0
CNV__TRAF3,65,20,0.65,0.019999999552965164,0.14,0.24,False,0.0
CNV__HSP90AA1,65,20,0.65,0.019999999552965164,0.15,0.24,False,0.0
CNV__RNF43,63,18,0.63,0.03999999910593033,0.17,0.25,False,0.0
